n1	n2	d1	d2	sig1	sig2	sdir
20	20	0	0	0.039	0.0769230769230769	0.498
50	20	0	0	0.044	0.0454545454545455	0.499
100	20	0	0	0.041	0.0731707317073171	0.519
150	20	0	0	0.039	0.0256410256410256	0.49
200	20	0	0	0.046	0	0.504
250	20	0	0	0.04	0.05	0.51
300	20	0	0	0.058	0.0344827586206897	0.502
350	20	0	0	0.05	0	0.494
400	20	0	0	0.047	0.0638297872340425	0.49
450	20	0	0	0.048	0.0416666666666667	0.475
500	20	0	0	0.057	0	0.499
20	50	0	0	0.039	0.0512820512820513	0.497
50	50	0	0	0.044	0.0227272727272727	0.5
100	50	0	0	0.041	0.0487804878048781	0.492
150	50	0	0	0.039	0.0256410256410256	0.523
200	50	0	0	0.046	0.0434782608695652	0.515
250	50	0	0	0.04	0.05	0.501
300	50	0	0	0.058	0.0517241379310345	0.503
350	50	0	0	0.05	0.04	0.517
400	50	0	0	0.047	0	0.531
450	50	0	0	0.048	0.0416666666666667	0.504
500	50	0	0	0.057	0.0701754385964912	0.47
20	100	0	0	0.039	0	0.487
50	100	0	0	0.044	0.0681818181818182	0.506
100	100	0	0	0.041	0	0.506
150	100	0	0	0.039	0	0.521
200	100	0	0	0.046	0.0434782608695652	0.475
250	100	0	0	0.04	0.1	0.503
300	100	0	0	0.058	0.0862068965517241	0.503
350	100	0	0	0.05	0.04	0.519
400	100	0	0	0.047	0.0638297872340425	0.471
450	100	0	0	0.048	0.0833333333333333	0.502
500	100	0	0	0.057	0.0350877192982456	0.554
20	150	0	0	0.039	0.0256410256410256	0.492
50	150	0	0	0.044	0.0454545454545455	0.521
100	150	0	0	0.041	0.0487804878048781	0.495
150	150	0	0	0.039	0.0256410256410256	0.482
200	150	0	0	0.046	0.0434782608695652	0.498
250	150	0	0	0.04	0.05	0.49
300	150	0	0	0.058	0	0.5
350	150	0	0	0.05	0.08	0.496
400	150	0	0	0.047	0.0425531914893617	0.52
450	150	0	0	0.048	0.0416666666666667	0.483
500	150	0	0	0.057	0.0175438596491228	0.491
20	200	0	0	0.039	0.102564102564103	0.472
50	200	0	0	0.044	0.0681818181818182	0.519
100	200	0	0	0.041	0	0.483
150	200	0	0	0.039	0.0256410256410256	0.52
200	200	0	0	0.046	0.0217391304347826	0.49
250	200	0	0	0.04	0.05	0.508
300	200	0	0	0.058	0.0517241379310345	0.5
350	200	0	0	0.05	0.08	0.502
400	200	0	0	0.047	0	0.506
450	200	0	0	0.048	0.0625	0.501
500	200	0	0	0.057	0.0701754385964912	0.507
20	250	0	0	0.039	0	0.508
50	250	0	0	0.044	0.0227272727272727	0.481
100	250	0	0	0.041	0.0487804878048781	0.489
150	250	0	0	0.039	0.0256410256410256	0.512
200	250	0	0	0.046	0	0.502
250	250	0	0	0.04	0.05	0.474
300	250	0	0	0.058	0.0689655172413793	0.48
350	250	0	0	0.05	0.04	0.498
400	250	0	0	0.047	0.0212765957446809	0.518
450	250	0	0	0.048	0.0208333333333333	0.503
500	250	0	0	0.057	0.0350877192982456	0.493
20	300	0	0	0.039	0.0512820512820513	0.52
50	300	0	0	0.044	0.0681818181818182	0.481
100	300	0	0	0.041	0	0.489
150	300	0	0	0.039	0.0256410256410256	0.486
200	300	0	0	0.046	0.0217391304347826	0.51
250	300	0	0	0.04	0.075	0.52
300	300	0	0	0.058	0.0344827586206897	0.498
350	300	0	0	0.05	0.2	0.506
