n1	n2	d1	d2	sig1	sig2	sdir
20	20	0	0	1	0.0769230769230769	0.58974358974359
50	20	0	0	1	0.0454545454545455	0.477272727272727
100	20	0	0	1	0.0731707317073171	0.463414634146341
150	20	0	0	1	0.0256410256410256	0.461538461538462
200	20	0	0	1	0	0.456521739130435
250	20	0	0	1	0.05	0.525
300	20	0	0	1	0.0344827586206897	0.396551724137931
350	20	0	0	1	0	0.48
400	20	0	0	1	0.0638297872340425	0.382978723404255
450	20	0	0	1	0.0416666666666667	0.4375
500	20	0	0	1	0	0.508771929824561
20	50	0	0	1	0.0512820512820513	0.512820512820513
50	50	0	0	1	0.0227272727272727	0.545454545454545
100	50	0	0	1	0.0487804878048781	0.390243902439024
150	50	0	0	1	0.0256410256410256	0.512820512820513
200	50	0	0	1	0.0434782608695652	0.521739130434783
250	50	0	0	1	0.05	0.475
300	50	0	0	1	0.0517241379310345	0.5
350	50	0	0	1	0.04	0.46
400	50	0	0	1	0	0.617021276595745
450	50	0	0	1	0.0416666666666667	0.520833333333333
500	50	0	0	1	0.0701754385964912	0.508771929824561
20	100	0	0	1	0	0.641025641025641
50	100	0	0	1	0.0681818181818182	0.5
100	100	0	0	1	0	0.51219512195122
150	100	0	0	1	0	0.615384615384615
200	100	0	0	1	0.0434782608695652	0.478260869565217
250	100	0	0	1	0.1	0.575
300	100	0	0	1	0.0862068965517241	0.431034482758621
350	100	0	0	1	0.04	0.44
400	100	0	0	1	0.0638297872340425	0.48936170212766
450	100	0	0	1	0.0833333333333333	0.5
500	100	0	0	1	0.0350877192982456	0.578947368421053
20	150	0	0	1	0.0256410256410256	0.512820512820513
50	150	0	0	1	0.0454545454545455	0.454545454545455
100	150	0	0	1	0.0487804878048781	0.560975609756098
150	150	0	0	1	0.0256410256410256	0.307692307692308
200	150	0	0	1	0.0434782608695652	0.478260869565217
250	150	0	0	1	0.05	0.45
300	150	0	0	1	0	0.448275862068966
350	150	0	0	1	0.08	0.42
400	150	0	0	1	0.0425531914893617	0.446808510638298
450	150	0	0	1	0.0416666666666667	0.479166666666667
500	150	0	0	1	0.0175438596491228	0.526315789473684
20	200	0	0	1	0.102564102564103	0.307692307692308
50	200	0	0	1	0.0681818181818182	0.568181818181818
100	200	0	0	1	0	0.48780487804878
150	200	0	0	1	0.0256410256410256	0.564102564102564
200	200	0	0	1	0.0217391304347826	0.5
250	200	0	0	1	0.05	0.35
300	200	0	0	1	0.0517241379310345	0.517241379310345
350	200	0	0	1	0.08	0.32
400	200	0	0	1	0	0.468085106382979
450	200	0	0	1	0.0625	0.375
500	200	0	0	1	0.0701754385964912	0.421052631578947
20	250	0	0	1	0	0.487179487179487
50	250	0	0	1	0.0227272727272727	0.568181818181818
100	250	0	0	1	0.0487804878048781	0.414634146341463
150	250	0	0	1	0.0256410256410256	0.358974358974359
200	250	0	0	1	0	0.5
250	250	0	0	1	0.05	0.525
300	250	0	0	1	0.0689655172413793	0.568965517241379
350	250	0	0	1	0.04	0.54
400	250	0	0	1	0.0212765957446809	0.595744680851064
450	250	0	0	1	0.0208333333333333	0.541666666666667
500	250	0	0	1	0.0350877192982456	0.403508771929825
20	300	0	0	1	0.0512820512820513	0.461538461538462
50	300	0	0	1	0.0681818181818182	0.363636363636364
100	300	0	0	1	0	0.365853658536585
150	300	0	0	1	0.0256410256410256	0.512820512820513
200	300	0	0	1	0.0217391304347826	0.5
250	300	0	0	1	0.075	0.45
300	300	0	0	1	0.0344827586206897	0.603448275862069
350	300	0	0	1	0.2	0.6
400	300	0	0	1	0	0.638297872340426
450	300	0	0	1	0.0208333333333333	0.520833333333333
500	300	0	0	1	0.087719298245614	0.491228070175439
20	350	0	0	1	0	0.333333333333333
50	350	0	0	1	0.0227272727272727	0.522727272727273
100	350	0	0	1	0.121951219512195	0.341463414634146
150	350	0	0	1	0.0256410256410256	0.512820512820513
200	350	0	0	1	0	0.5
250	350	0	0	1	0	0.5
300	350	0	0	1	0.0517241379310345	0.586206896551724
350	350	0	0	1	0.04	0.54
400	350	0	0	1	0.0851063829787234	0.446808510638298
450	350	0	0	1	0.0833333333333333	0.625
500	350	0	0	1	0.0526315789473684	0.543859649122807
20	400	0	0	1	0	0.564102564102564
50	400	0	0	1	0.0454545454545455	0.522727272727273
100	400	0	0	1	0.0487804878048781	0.48780487804878
150	400	0	0	1	0.0512820512820513	0.58974358974359
200	400	0	0	1	0.0217391304347826	0.41304347826087
250	400	0	0	1	0.025	0.525
300	400	0	0	1	0.0689655172413793	0.396551724137931
350	400	0	0	1	0.06	0.5
400	400	0	0	1	0.0425531914893617	0.425531914893617
450	400	0	0	1	0.125	0.604166666666667
500	400	0	0	1	0.087719298245614	0.473684210526316
20	450	0	0	1	0.0256410256410256	0.615384615384615
50	450	0	0	1	0.0909090909090909	0.454545454545455
100	450	0	0	1	0	0.48780487804878
150	450	0	0	1	0.0256410256410256	0.564102564102564
200	450	0	0	1	0.0434782608695652	0.5
250	450	0	0	1	0.075	0.325
300	450	0	0	1	0.0517241379310345	0.5
350	450	0	0	1	0	0.52
400	450	0	0	1	0.0638297872340425	0.48936170212766
450	450	0	0	1	0.0208333333333333	0.479166666666667
500	450	0	0	1	0.0175438596491228	0.421052631578947
20	500	0	0	1	0.0256410256410256	0.487179487179487
50	500	0	0	1	0.0909090909090909	0.409090909090909
100	500	0	0	1	0.0731707317073171	0.341463414634146
150	500	0	0	1	0.0256410256410256	0.358974358974359
200	500	0	0	1	0.130434782608696	0.58695652173913
250	500	0	0	1	0.1	0.55
300	500	0	0	1	0.0172413793103448	0.586206896551724
350	500	0	0	1	0.02	0.58
400	500	0	0	1	0.0425531914893617	0.468085106382979
450	500	0	0	1	0.0208333333333333	0.458333333333333
500	500	0	0	1	0.0701754385964912	0.403508771929825
20	20	0.1	0	1	0.0615384615384615	0.553846153846154
50	20	0.1	0	1	0.0526315789473684	0.431578947368421
100	20	0.1	0	1	0.0202020202020202	0.424242424242424
150	20	0.1	0	1	0.0451127819548872	0.548872180451128
200	20	0.1	0	1	0.0120481927710843	0.44578313253012
250	20	0.1	0	1	0.0544554455445545	0.46039603960396
300	20	0.1	0	1	0.0350877192982456	0.447368421052632
350	20	0.1	0	1	0.0418410041841004	0.468619246861925
400	20	0.1	0	1	0.0105633802816901	0.5
450	20	0.1	0	1	0.0570469798657718	0.523489932885906
500	20	0.1	0	1	0.0345821325648415	0.472622478386167
20	50	0.1	0	1	0.0769230769230769	0.476923076923077
50	50	0.1	0	1	0.0210526315789474	0.526315789473684
100	50	0.1	0	1	0.0101010101010101	0.474747474747475
150	50	0.1	0	1	0.0451127819548872	0.593984962406015
200	50	0.1	0	1	0.036144578313253	0.475903614457831
250	50	0.1	0	1	0.0297029702970297	0.534653465346535
300	50	0.1	0	1	0.043859649122807	0.5
350	50	0.1	0	1	0.0711297071129707	0.464435146443515
400	50	0.1	0	1	0.0563380281690141	0.5
450	50	0.1	0	1	0.0469798657718121	0.520134228187919
500	50	0.1	0	1	0.0518731988472622	0.53314121037464
20	100	0.1	0	1	0.0153846153846154	0.369230769230769
50	100	0.1	0	1	0.0736842105263158	0.347368421052632
100	100	0.1	0	1	0.0505050505050505	0.464646464646465
150	100	0.1	0	1	0.037593984962406	0.488721804511278
200	100	0.1	0	1	0.0542168674698795	0.475903614457831
250	100	0.1	0	1	0.0495049504950495	0.425742574257426
300	100	0.1	0	1	0.0526315789473684	0.464912280701754
350	100	0.1	0	1	0.0460251046025105	0.435146443514644
400	100	0.1	0	1	0.0352112676056338	0.436619718309859
450	100	0.1	0	1	0.0402684563758389	0.453020134228188
500	100	0.1	0	1	0.0259365994236311	0.432276657060519
20	150	0.1	0	1	0.0153846153846154	0.523076923076923
50	150	0.1	0	1	0.0210526315789474	0.473684210526316
100	150	0.1	0	1	0.0606060606060606	0.444444444444444
150	150	0.1	0	1	0.0225563909774436	0.466165413533835
200	150	0.1	0	1	0.036144578313253	0.524096385542169
250	150	0.1	0	1	0.0148514851485149	0.46039603960396
300	150	0.1	0	1	0.0175438596491228	0.447368421052632
350	150	0.1	0	1	0.0418410041841004	0.506276150627615
400	150	0.1	0	1	0.0457746478873239	0.47887323943662
450	150	0.1	0	1	0.0335570469798658	0.473154362416107
500	150	0.1	0	1	0.031700288184438	0.455331412103746
20	200	0.1	0	1	0.0153846153846154	0.4
50	200	0.1	0	1	0.0631578947368421	0.410526315789474
100	200	0.1	0	1	0.0606060606060606	0.515151515151515
150	200	0.1	0	1	0.0225563909774436	0.466165413533835
200	200	0.1	0	1	0.0421686746987952	0.439759036144578
250	200	0.1	0	1	0.0495049504950495	0.495049504950495
300	200	0.1	0	1	0.0087719298245614	0.491228070175439
350	200	0.1	0	1	0.0669456066945607	0.493723849372385
400	200	0.1	0	1	0.0387323943661972	0.426056338028169
450	200	0.1	0	1	0.0369127516778524	0.466442953020134
500	200	0.1	0	1	0.0576368876080692	0.45821325648415
20	250	0.1	0	1	0.0153846153846154	0.553846153846154
50	250	0.1	0	1	0.0631578947368421	0.526315789473684
100	250	0.1	0	1	0.0404040404040404	0.565656565656566
150	250	0.1	0	1	0.0451127819548872	0.541353383458647
200	250	0.1	0	1	0.0180722891566265	0.506024096385542
250	250	0.1	0	1	0.0594059405940594	0.564356435643564
300	250	0.1	0	1	0.0307017543859649	0.5
350	250	0.1	0	1	0.0418410041841004	0.518828451882845
400	250	0.1	0	1	0.0492957746478873	0.507042253521127
450	250	0.1	0	1	0.0436241610738255	0.526845637583893
500	250	0.1	0	1	0.0288184438040346	0.547550432276657
20	300	0.1	0	1	0.0615384615384615	0.584615384615385
50	300	0.1	0	1	0.0631578947368421	0.410526315789474
100	300	0.1	0	1	0.0505050505050505	0.484848484848485
150	300	0.1	0	1	0.0451127819548872	0.473684210526316
200	300	0.1	0	1	0.0602409638554217	0.475903614457831
250	300	0.1	0	1	0.0742574257425743	0.544554455445545
300	300	0.1	0	1	0.0394736842105263	0.473684210526316
350	300	0.1	0	1	0.0502092050209205	0.535564853556485
400	300	0.1	0	1	0.0563380281690141	0.454225352112676
450	300	0.1	0	1	0.0704697986577181	0.476510067114094
500	300	0.1	0	1	0.0806916426512968	0.515850144092219
20	350	0.1	0	1	0.0923076923076923	0.615384615384615
50	350	0.1	0	1	0.0315789473684211	0.557894736842105
100	350	0.1	0	1	0.0404040404040404	0.555555555555556
150	350	0.1	0	1	0.0451127819548872	0.496240601503759
200	350	0.1	0	1	0.0301204819277108	0.536144578313253
250	350	0.1	0	1	0.0742574257425743	0.514851485148515
300	350	0.1	0	1	0.0394736842105263	0.557017543859649
350	350	0.1	0	1	0.0543933054393305	0.535564853556485
