n1	n2	d1	d2	type	m	sig1	sig2	sigm	sdir	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
20	20	0	0	raw	100	4	4	1	50	81	81	99	96	94	100	26
20	20	0	0	sig1	4	4	0	1	2	2	2	3	3	3	4	0
20	20	0	0	bsln	2	2	0	1	2	2	2	2	2	2	2	0
20	20	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	20	0	0	big2	2	2	0	1	2	2	2	2	2	2	2	0
20	20	0	0	s2or	2	2	0	1	2	2	2	2	2	2	2	0
40	20	0	0	raw	100	7	4	6	45	89	75	99	95	95	100	29
40	20	0	0	sig1	7	7	1	5	4	5	4	7	6	6	7	2
40	20	0	0	bsln	4	4	1	4	4	4	4	4	4	4	4	2
40	20	0	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1
40	20	0	0	big2	4	4	2	4	4	4	4	4	4	4	4	2
40	20	0	0	s2or	4	4	1	4	4	4	4	4	4	4	4	2
80	20	0	0	raw	100	4	4	1	51	92	61	100	96	96	100	40
80	20	0	0	sig1	4	4	0	1	1	3	1	4	3	3	4	1
80	20	0	0	bsln	1	1	0	1	1	1	1	1	1	1	1	1
80	20	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	20	0	0	big2	1	1	1	1	1	1	1	1	1	1	1	1
80	20	0	0	s2or	1	1	0	1	1	1	1	1	1	1	1	1
160	20	0	0	raw	100	3	4	4	47	94	48	100	95	94	100	32
160	20	0	0	sig1	3	3	0	3	3	3	2	3	3	3	3	1
160	20	0	0	bsln	3	3	0	3	3	3	2	3	3	3	3	1
160	20	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	20	0	0	big2	3	3	1	3	3	3	3	3	3	3	3	1
160	20	0	0	s2or	3	3	0	3	3	3	2	3	3	3	3	1
320	20	0	0	raw	100	8	4	8	53	95	38	100	95	95	100	44
320	20	0	0	sig1	8	8	0	6	4	8	4	8	8	8	8	1
320	20	0	0	bsln	4	4	0	4	4	4	4	4	4	4	4	1
320	20	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	20	0	0	big2	4	4	1	4	4	4	4	4	4	4	4	1
320	20	0	0	s2or	4	4	0	4	4	4	4	4	4	4	4	1
20	40	0	0	raw	100	4	7	6	55	77	90	100	94	95	100	28
20	40	0	0	sig1	4	4	0	0	0	0	0	4	1	2	4	0
20	40	0	0	bsln	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	40	0	0	big2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	40	0	0	s2or	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	40	0	0	raw	100	7	7	9	52	81	81	99	95	94	100	29
40	40	0	0	sig1	7	7	0	4	4	4	4	6	5	5	7	0
40	40	0	0	bsln	4	4	0	4	4	4	4	4	4	4	4	0
40	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	40	0	0	big2	4	4	0	4	4	4	4	4	4	4	4	0
40	40	0	0	s2or	4	4	0	4	4	4	4	4	4	4	4	0
80	40	0	0	raw	100	4	7	2	52	91	72	99	96	95	100	40
80	40	0	0	sig1	4	4	0	0	2	2	0	4	4	4	4	0
80	40	0	0	bsln	2	2	0	0	2	2	0	2	2	2	2	0
