cutoff	n2	d2.020	d2.200
0.05	50	0.753637522232592	0.75267605264532
0.05	100	0.536327022512985	0.549631923094813
0.05	150	0.474140792258216	0.4855882533925
0.05	200	0.422409910280661	0.422103028559876
0.05	250	0.41994788575074	0.403916793650759
0.05	300	0.438969469171767	0.407010006934129
0.05	350	0.326198178947861	0.37426511153625
0.05	400	0.368363644022817	0.349925073652483
0.05	450	0.360139391543878	0.35742772114376
0.05	500	0.246492469278882	0.346020911363434
0.2	50	0.568514427311203	0.584081922802484
0.2	100	0.400504605183639	0.410557215654623
0.2	150	0.35109295738026	0.364996391370695
0.2	200	0.327633958410147	0.323010760464711
0.2	250	0.289109271627253	0.288700884871677
0.2	300	0.312892764845099	0.305161650987232
0.2	350	0.214010397785002	0.271435903167091
0.2	400	0.274866521613392	0.218315482069873
0.2	450	0.242843470413433	0.246331946510132
0.2	500	NA	0.237291886811304
