n	d	lo	hi
320	-2	-2.18932150696785	-1.809604679241
640	-2	-2.13383258900211	-1.86548896766658
1280	-2	-2.09470262819862	-1.9049191204418
2560	-2	-2.06701066847379	-1.93279787392658
5120	-2	-2.04740413244727	-1.95253123701847
10	-1.95	-3.01291835889919	-0.851390971823127
20	-1.95	-2.69960919133165	-1.18300190053296
40	-1.95	-2.47993502927735	-1.41148151213162
80	-1.95	-2.32496042515334	-1.57079393565093
160	-1.95	-2.21533673328302	-1.68253497460639
320	-1.95	-2.13775616276859	-1.76118266213807
640	-1.95	-2.08284353862662	-1.81659569476333
1280	-1.95	-2.04390439517845	-1.85569721269084
2560	-1.95	-2.01643191381261	-1.88336050185569
5120	-1.95	-1.99699949681209	-1.90287309708447
10	-1.9	-2.95368311284926	-0.810950012902421
20	-1.9	-2.64327391978451	-1.1394843285266
40	-1.9	-2.42554340821297	-1.36596857234655
80	-1.9	-2.27188436698639	-1.52392380994236
160	-1.9	-2.16316991995828	-1.63473356175147
320	-1.9	-2.08620315365795	-1.7127310417278
640	-1.9	-2.03175633916504	-1.76771566183692
1280	-1.9	-1.99317811086349	-1.80646886275928
2560	-1.9	-1.9659121782943	-1.83390531220198
5120	-1.9	-1.94662504113524	-1.85328028952695
10	-1.85	-2.8946308560643	-0.770363457326766
20	-1.85	-2.58710781342754	-1.09585974504563
40	-1.85	-2.37123549567222	-1.32039829041367
80	-1.85	-2.21884546252249	-1.47700563514774
160	-1.85	-2.11101253874496	-1.5869345856436
320	-1.85	-2.03468869296406	-1.66425388462807
640	-1.85	-1.98068010135695	-1.71878936219557
1280	-1.85	-1.94240063836254	-1.75723733396926
2560	-1.85	-1.91537350725276	-1.78445621447114
5120	-1.85	-1.8962719637966	-1.80366641101188
10	-1.8	-2.83575191177806	-0.729618435977297
20	-1.8	-2.53103896727884	-1.05212239868755
40	-1.8	-2.31700088530506	-1.27467875455849
80	-1.8	-2.16585481457909	-1.43002434276459
160	-1.8	-2.05893104405125	-1.53902789995247
320	-1.8	-1.98319932616348	-1.61577260316332
640	-1.8	-1.92961730400649	-1.66983750071327
1280	-1.8	-1.89169368453706	-1.70799084476595
2560	-1.8	-1.86484016794038	-1.73497334237014
5120	-1.8	-1.84588786003238	-1.75404343027988
10	-1.75	-2.77705734683397	-0.688696628224147
20	-1.75	-2.47510643885648	-1.00828508430561
40	-1.75	-2.26284754495878	-1.22895517196738
80	-1.75	-2.11293778884797	-1.38299339469841
160	-1.75	-2.0068737574717	-1.49108146588532
320	-1.75	-1.93177672040623	-1.56720617896779
640	-1.75	-1.8786217716543	-1.62087787526434
1280	-1.75	-1.84094422477953	-1.65873786907041
2560	-1.75	-1.81433829602948	-1.68549476228166
5120	-1.75	-1.79550783397468	-1.7043880626628
10	-1.7	-2.71855942253948	-0.647628165774153
20	-1.7	-2.41928049459358	-0.964314314037261
40	-1.7	-2.20883006658325	-1.18313112562415
80	-1.7	-2.06009097981876	-1.33591359895985
160	-1.7	-1.95486534864343	-1.44314821309874
320	-1.7	-1.88035206252116	-1.5186712128532
640	-1.7	-1.82760661375359	-1.57191732079976
1280	-1.7	-1.7902229282039	-1.60944050614189
2560	-1.7	-1.76385564521914	-1.6359975797644
5120	-1.7	-1.74514984485285	-1.65478020155359
10	-1.65	-2.66024679399997	-0.606393619917582
20	-1.65	-2.36359550619428	-0.920233360316514
40	-1.65	-2.1548315880498	-1.13723182658096
80	-1.65	-2.00730312592254	-1.28876862397477
160	-1.65	-1.90288154946101	-1.3951507496243
320	-1.65	-1.82896037375898	-1.47005516210855
640	-1.65	-1.77663035875091	-1.52285837726767
1280	-1.65	-1.73957135018044	-1.5601367719779
2560	-1.65	-1.71334894716753	-1.58649365700232
5120	-1.65	-1.69480675270782	-1.60511206991138
10	-1.6	-2.60214046945777	-0.564988834881058
20	-1.6	-2.30805168720434	-0.876036684767852
40	-1.6	-2.1009601703134	-1.09118522277709
80	-1.6	-1.9545806017062	-1.24153653500627
160	-1.6	-1.85096161911264	-1.34709032171844
320	-1.6	-1.77762626659961	-1.42143462466713
640	-1.6	-1.72565006963651	-1.47384816207695
1280	-1.6	-1.68886217307702	-1.51082285568484
2560	-1.6	-1.66284297869724	-1.53697495861962
5120	-1.6	-1.64445086435077	-1.55545041744234
10	-1.55	-2.54424463671814	-0.523382641589802
20	-1.55	-2.25266150189946	-0.831713466495909
40	-1.55	-2.04717633514698	-1.04512303265766
80	-1.55	-1.90192175809421	-1.1942651714574
160	-1.55	-1.79910071232538	-1.2990169081068
320	-1.55	-1.72625627938599	-1.37276644967906
640	-1.55	-1.67473940552133	-1.42480504697157
1280	-1.55	-1.63818498204955	-1.46154937726478
2560	-1.55	-1.61239092739958	-1.48744471862908
5120	-1.55	-1.59411605648612	-1.50576314583238
10	-1.5	-2.48653453315953	-0.481623791435396
20	-1.5	-2.19738463702439	-0.787270371530093
40	-1.5	-1.99350086946277	-0.998960988009404
80	-1.5	-1.8493359595908	-1.14691627321885
160	-1.5	-1.74727632549043	-1.25088119992879
320	-1.5	-1.67497961207006	-1.32411812751893
640	-1.5	-1.62381354498094	-1.37572745003157
1280	-1.5	-1.58758022995318	-1.41219746555528
2560	-1.5	-1.56196131291264	-1.43789642305787
5120	-1.5	-1.54380256106011	-1.45612457621813
10	-1.45	-2.42907854578951	-0.439738091053833
20	-1.45	-2.14225261890264	-0.742680607431051
40	-1.45	-1.93992174069697	-0.952634153418456
80	-1.45	-1.79681179807827	-1.09951725242261
160	-1.45	-1.69547492321524	-1.20270320572679
320	-1.45	-1.62373956305022	-1.27536844926725
640	-1.45	-1.57291131500803	-1.32662355259619
1280	-1.45	-1.53692508555831	-1.36279903809481
2560	-1.45	-1.51149316713102	-1.38836217773857
5120	-1.45	-1.49347891077284	-1.40641925954673
10	-1.4	-2.37183006607066	-0.397600554933202
20	-1.4	-2.08727645896182	-0.697951616647661
40	-1.4	-1.88645826202576	-0.906300452825679
80	-1.4	-1.74436325426824	-1.05206070469797
160	-1.4	-1.64374461452019	-1.1544549463768
320	-1.4	-1.5724808030267	-1.22661302532148
640	-1.4	-1.52203074493543	-1.27750931480872
1280	-1.4	-1.4863295967165	-1.31343929960065
2560	-1.4	-1.46105269210533	-1.33879141020803
5120	-1.4	-1.44320608048444	-1.35674792684416
10	-1.35	-2.31481537237128	-0.355270326556403
20	-1.35	-2.03246270473288	-0.653118077776082
40	-1.35	-1.83306056791046	-0.859815159084328
80	-1.35	-1.69199548611416	-1.00448568526354
160	-1.35	-1.59207603159371	-1.10619677897051
320	-1.35	-1.52130135266022	-1.17782292077915
640	-1.35	-1.47120069350754	-1.22834702628233
1280	-1.35	-1.43574640113596	-1.26404657510672
2560	-1.35	-1.41064757587631	-1.28922608234693
5120	-1.35	-1.39288436043778	-1.30703760916248
10	-1.3	-2.25802668832821	-0.312722264513234
20	-1.3	-1.97779787334774	-0.608128517561273
40	-1.3	-1.77979660373852	-0.813285756599595
80	-1.3	-1.6396772636228	-0.956890228495423
160	-1.3	-1.54040509835099	-1.05787255552146
320	-1.3	-1.47017044226747	-1.12899536838651
640	-1.3	-1.42037851579475	-1.17919556927554
1280	-1.3	-1.38516684773876	-1.21460468199405
2560	-1.3	-1.36022861737135	-1.2396383068575
5120	-1.3	-1.34260677142104	-1.2573368168638
10	-1.25	-2.20145164996903	-0.270023700066373
20	-1.25	-1.92328769624101	-0.562997060742463
40	-1.25	-1.72666184901669	-0.766610940195263
80	-1.25	-1.58746389863462	-0.909217791327481
160	-1.25	-1.48884555214335	-1.00948830525704
320	-1.25	-1.41905179304828	-1.0801626667326
640	-1.25	-1.36961198323723	-1.1299883975331
1280	-1.25	-1.33458758536581	-1.16519465780294
2560	-1.25	-1.30980578324178	-1.19004394624008
5120	-1.25	-1.29230977905306	-1.20758712073049
10	-1.2	-2.14516394783917	-0.227097533980029
20	-1.2	-1.86891357481969	-0.517722138183845
40	-1.2	-1.67358852055339	-0.719819289304447
80	-1.2	-1.5352792752267	-0.861452725827699
160	-1.2	-1.43732295141809	-0.96106126258438
320	-1.2	-1.36792842460191	-1.03124760710858
640	-1.2	-1.31882875366173	-1.08076863737727
1280	-1.2	-1.28403954234474	-1.11575138290809
2560	-1.2	-1.25945999341705	-1.14042618387416
5120	-1.2	-1.24206793994403	-1.15790036669441
10	-1.15	-2.0890966375308	-0.183976391142237
20	-1.15	-1.8147587193456	-0.472300953809742
40	-1.15	-1.62067675112795	-0.672978667955981
80	-1.15	-1.48322602513538	-0.813632767161885
160	-1.15	-1.38588424313438	-0.912576818117071
320	-1.15	-1.3169091938595	-0.982312667638814
640	-1.15	-1.26810249781926	-1.03152158443816
1280	-1.15	-1.23353815198339	-1.06628611230337
2560	-1.15	-1.20908967266121	-1.09081127496577
5120	-1.15	-1.19181788642266	-1.10816353243145
10	-1.1	-2.03331398937763	-0.140609235152085
20	-1.1	-1.76073558074872	-0.426729223413442
40	-1.1	-1.56788385560154	-0.626009891599101
80	-1.1	-1.431231705552	-0.76573727135464
160	-1.1	-1.33447396534664	-0.864052569095996
320	-1.1	-1.26591420148024	-0.933363857218516
640	-1.1	-1.21737797805405	-0.982232993444372
1280	-1.1	-1.18303606045063	-1.01678918242196
2560	-1.1	-1.15870018649091	-1.04116835726921
5120	-1.1	-1.14153047749916	-1.05839767373579
10	-1.05	-1.97774691906586	-0.0970401151405316
20	-1.05	-1.70688395538569	-0.380990802286382
40	-1.05	-1.51516172340981	-0.578924396588381
80	-1.05	-1.37931835220536	-0.717743605212936
160	-1.05	-1.28308976549932	-0.815428804473545
320	-1.05	-1.21493311157292	-0.884328062061678
640	-1.05	-1.16670133818874	-0.932937439518358
1280	-1.05	-1.13253346254192	-0.967272655400931
2560	-1.05	-1.108414382838	-0.991493463141221
5120	-1.05	-1.09129827306637	-1.0086557220538
10	-1	-1.92244146468375	-0.0532454110022544
20	-1	-1.65319946375394	-0.33511892603896
40	-1	-1.4625480220418	-0.531723925629166
80	-1	-1.32748632124106	-0.669689145680434
160	-1	-1.23179133963633	-0.766814859447664
320	-1	-1.16402513191799	-0.835276781146533
640	-1	-1.11604279463025	-0.883605512895749
1280	-1	-1.08208943679701	-0.917733087196707
2560	-1	-1.05805097006704	-0.941849994040788
5120	-1	-1.04106079043251	-0.958888626895791
10	-0.95	-1.86741285136368	-0.009225256976649
20	-0.95	-1.59973473122101	-0.289075379365155
40	-0.95	-1.41010505559573	-0.484437459698023
80	-0.95	-1.27575969490094	-0.621567682318512
160	-0.95	-1.18052903937441	-0.718093805504005
320	-0.95	-1.11315357012842	-0.786170685490359
640	-0.95	-1.06541447803552	-0.834245344546223
1280	-0.95	-1.03163803500737	-0.868196217932046
2560	-0.95	-1.0077345551846	-0.89216782107103
5120	-0.95	-0.990839274191771	-0.909115494837006
10	-0.9	-1.81266186927234	0.0350096014326381
20	-0.9	-1.54640126547602	-0.242858024166271
40	-0.9	-1.35775024366056	-0.437006269761132
80	-0.9	-1.2240483711204	-0.573329992789837
160	-0.9	-1.12936921500837	-0.669323761101627
320	-0.9	-1.06227870367292	-0.737051659001216
640	-0.9	-1.01482812952196	-0.784843976919256
1280	-0.9	-0.981230929826704	-0.818615588864762
2560	-0.9	-0.957456732498715	-0.842470917165333
5120	-0.9	-0.940627311911483	-0.859330273824609
10	-0.85	-1.7581553243738	0.0795350606316782
20	-0.85	-1.49329583928979	-0.196486648960257
40	-0.85	-1.30554628155087	-0.389456976355885
80	-0.85	-1.17250301971537	-0.52502367829404
160	-0.85	-1.07824304574079	-0.62052088761566
320	-0.85	-1.01148187506497	-0.687885281268826
640	-0.85	-0.964259142773165	-0.735430441535084
1280	-0.85	-0.93084415190864	-0.769047050661162
2560	-0.85	-0.907163064234632	-0.792747826802834
5120	-0.85	-0.890458559590843	-0.809527068174334
10	-0.8	-1.70395856205745	0.124275190512779
20	-0.8	-1.44034275783336	-0.149947969541584
40	-0.8	-1.25342812381824	-0.341781812765991
80	-0.8	-1.12101162813307	-0.476636726754998
160	-0.8	-1.02716568174523	-0.571642435089735
320	-0.8	-0.960754345504806	-0.638692294036267
640	-0.8	-0.913719133909269	-0.685965068304129
1280	-0.8	-0.880421878894867	-0.719413099318734
2560	-0.8	-0.856895941682163	-0.743052342788694
5120	-0.8	-0.840231841044177	-0.759734783253825
10	-0.75	-1.65000739392415	0.169262219192155
20	-0.75	-1.38758821148586	-0.10323255043947
40	-0.75	-1.20147274845283	-0.294011608610693
80	-0.75	-1.06960712777789	-0.428187155578236
160	-0.75	-0.976167163995981	-0.522732271252811
320	-0.75	-0.910055467860398	-0.589402400270159
640	-0.75	-0.86319158948866	-0.636494048733145
1280	-0.75	-0.830059297720655	-0.669775661838158
2560	-0.75	-0.806624684878058	-0.693283250411652
5120	-0.75	-0.790057508093141	-0.709925771193948
10	-0.7	-1.5963921083293	0.214510841111611
20	-0.7	-1.3350137168831	-0.0563590114959811
40	-0.7	-1.14968044760704	-0.246108748451668
80	-0.7	-1.01828977041065	-0.379603680297057
160	-0.7	-0.925245252639771	-0.473711305118439
320	-0.7	-0.859388883164709	-0.540103237337941
640	-0.7	-0.812757272133525	-0.586996527129269
1280	-0.7	-0.77973879903295	-0.620138229864713
2560	-0.7	-0.756409593715089	-0.643527928762449
5120	-0.7	-0.739889590215212	-0.660084819923491
10	-0.65	-1.5430536973655	0.259987344793731
20	-0.65	-1.28263103052691	-0.00928194896249653
40	-0.65	-1.09795917834923	-0.198105584536588
80	-0.65	-0.967087753097311	-0.330958680430975
160	-0.65	-0.874374042448852	-0.424653544045203
320	-0.65	-0.808765762553682	-0.490750710403038
640	-0.65	-0.762298958974557	-0.537448853125891
1280	-0.65	-0.729435180561565	-0.570458610708192
2560	-0.65	-0.706180538791604	-0.593741510811428
5120	-0.65	-0.689734893493997	-0.610221099495318
10	-0.6	-1.48997272563245	0.305772479011453
20	-0.6	-1.23044654871381	0.0379849711669389
40	-0.6	-1.04638904665648	-0.149931738587411
80	-0.6	-0.915943741025507	-0.282222489965675
160	-0.6	-0.823580746309791	-0.375532675954887
320	-0.6	-0.758175826297711	-0.441374294107477
640	-0.6	-0.711906418547089	-0.487885439327997
1280	-0.6	-0.679133141180967	-0.520746531564491
2560	-0.6	-0.655982382597333	-0.543966713182688
5120	-0.6	-0.639586827011771	-0.560394039169096
10	-0.55	-1.4371990308227	0.351772901259589
20	-0.55	-1.17845443963308	0.08541683482524
40	-0.55	-0.994924938048327	-0.101672489667294
80	-0.55	-0.864931070890359	-0.233401884525197
160	-0.55	-0.772840153205909	-0.326318101008242
320	-0.55	-0.707673756846895	-0.391933581993993
640	-0.55	-0.661516132170264	-0.438267308527755
1280	-0.55	-0.628873146449429	-0.471024738462538
2560	-0.55	-0.605769414506933	-0.494158986520992
5120	-0.55	-0.589448128995355	-0.510507889129704
10	-0.5	-1.38473754691748	0.398066414169722
20	-0.5	-1.12663385408644	0.133017275729374
40	-0.5	-0.943628231256947	-0.0532396394216304
80	-0.5	-0.813987384704884	-0.184477591621337
160	-0.5	-0.722138883460047	-0.277041882019955
320	-0.5	-0.657161734092139	-0.342454715743656
640	-0.5	-0.611165203456149	-0.388664456603029
1280	-0.5	-0.578632317740515	-0.421251778397556
2560	-0.5	-0.555604260059748	-0.444341963936905
5120	-0.5	-0.53932553026783	-0.460650568004384
10	-0.45	-1.33255104137295	0.444635906455678
20	-0.45	-1.07506620560705	0.180828270457227
40	-0.45	-0.89246471217304	-0.00469029568247387
80	-0.45	-0.763134366770646	-0.1354484607293
160	-0.45	-0.671559787779395	-0.227768126096527
320	-0.45	-0.60673287961499	-0.292931023968631
640	-0.45	-0.560858817221728	-0.338966566429946
1280	-0.45	-0.528426041551598	-0.371487370332036
2560	-0.45	-0.505449186525616	-0.39449453019944
5120	-0.45	-0.489205545503803	-0.410769055304759
10	-0.4	-1.2806734833983	0.491498933397926
20	-0.4	-1.02365586837056	0.228823598466234
40	-0.4	-0.841435649221293	0.0439742743061366
80	-0.4	-0.712420595750832	-0.0863595385851652
160	-0.4	-0.621009324944519	-0.178376613826094
320	-0.4	-0.556330010973453	-0.243353847437549
640	-0.4	-0.510597183602492	-0.28927577591558
1280	-0.4	-0.478232550569702	-0.321704146378854
2560	-0.4	-0.455314055623841	-0.344648015370884
5120	-0.4	-0.439137263534292	-0.360858385950725
10	-0.35	-1.2291096297112	0.538588274391934
20	-0.35	-0.972484995128933	0.27700847072673
40	-0.35	-0.790575422352732	0.092784046949147
80	-0.35	-0.661744366392912	-0.0371639864257135
160	-0.35	-0.570530673594018	-0.128902716576457
320	-0.35	-0.506011925884107	-0.193703391614456
640	-0.35	-0.460363308156059	-0.239516008027514
1280	-0.35	-0.428043116512293	-0.271892991215205
2560	-0.35	-0.405197072267654	-0.294792803924917
5120	-0.35	-0.389029827658019	-0.310959304466494
10	-0.3	-1.17781285860905	0.585980386436802
20	-0.3	-0.921486461692805	0.325378597234668
40	-0.3	-0.739823070993442	0.14172357974788
80	-0.3	-0.6112021839807	0.0121492432973566
160	-0.3	-0.52013394608503	-0.0793992396775036
320	-0.3	-0.455706158088741	-0.144061722748244
640	-0.3	-0.410125829903503	-0.189789326715748
1280	-0.3	-0.377877746347985	-0.222042981181299
2560	-0.3	-0.3550774193726	-0.244899702004813
5120	-0.3	-0.338967718438278	-0.261034278230351
10	-0.25	-1.12684673292391	0.633686596739181
20	-0.25	-0.870700993074528	0.373923487777057
40	-0.25	-0.689215518890246	0.190774913107738
80	-0.25	-0.56073065774731	0.0615004171794431
