n1	n2	d	lo	hi
5120	640	-2.95	-3.11847199193071	-2.7825372939224
5120	1280	-2.95	-3.0754019789519	-2.82502910671424
5120	2560	-2.95	-3.04704576257258	-2.85309963339323
5120	5120	-2.95	-3.02918035936996	-2.87081964063004
10	10	-2.9	-4.71779686620827	-1.08220313379173
10	20	-2.9	-4.45779788387421	-1.32197069920105
10	40	-2.9	-4.31702868243462	-1.4531563003049
10	80	-2.9	-4.24304120508466	-1.52273597653728
10	160	-2.9	-4.2050243220989	-1.55878803734672
10	320	-2.9	-4.18574886729126	-1.57726462214356
10	640	-2.9	-4.17608748044586	-1.58650500416634
10	1280	-2.9	-4.17120302237582	-1.59115764223704
10	2560	-2.9	-4.16876080775168	-1.59350108047972
10	5120	-2.9	-4.16754232267759	-1.59467237968912
20	10	-2.9	-4.47802930079895	-1.34220211612579
20	20	-2.9	-4.16985246166095	-1.63014753833905
20	40	-2.9	-3.99259384687349	-1.79740964472123
20	80	-2.9	-3.89476163272347	-1.8904431712226
20	160	-2.9	-3.84280406694768	-1.94020922646099
20	320	-2.9	-3.81593732161331	-1.96620254870803
20	640	-2.9	-3.80232493323307	-1.97933833343273
20	1280	-2.9	-3.79540390410184	-1.98598844773117
20	2560	-2.9	-3.79193330169363	-1.98934736210012
20	5120	-2.9	-3.79019917274861	-1.99102860520651
40	10	-2.9	-4.3468436996951	-1.48297131756538
40	20	-2.9	-4.00259035527877	-1.80740615312651
40	40	-2.9	-3.792715817824	-2.007284182176
40	80	-2.9	-3.6698902019808	-2.12511869917354
40	160	-2.9	-3.60146968988009	-2.19117395024587
40	320	-2.9	-3.56492209640795	-2.22678850286199
40	640	-2.9	-3.54604218306658	-2.24513059002131
40	1280	-2.9	-3.53633982167407	-2.2545132398567
40	2560	-2.9	-3.53144693509231	-2.25927832348716
40	5120	-2.9	-3.5289950590662	-2.26167011945841
80	10	-2.9	-4.27726402346272	-1.55695879491534
80	20	-2.9	-3.9095568287774	-1.90523836727653
80	40	-2.9	-3.67488130082646	-2.1301097980192
80	80	-2.9	-3.52946836464064	-2.27053163535936
80	160	-2.9	-3.44365358896801	-2.35390132711854
80	320	-2.9	-3.39560154687901	-2.40099788418119
80	640	-2.9	-3.36996808538322	-2.42603445711877
80	1280	-2.9	-3.35653900997124	-2.43908509545346
80	2560	-2.9	-3.34969404133789	-2.44578236662776
80	5120	-2.9	-3.34624464512979	-2.44916252584208
160	10	-2.9	-4.24121196265328	-1.5949756779011
160	20	-2.9	-3.85979077353901	-1.95719593305232
160	40	-2.9	-3.60882604975413	-2.19853031011991
160	80	-2.9	-3.44609867288146	-2.35634641103199
160	160	-2.9	-3.34446885519384	-2.45553114480616
160	320	-2.9	-3.28420597562817	-2.51486117528081
160	640	-2.9	-3.25051867242459	-2.54790322558546
160	1280	-2.9	-3.23229686436234	-2.56567777228013
160	2560	-2.9	-3.2228282349088	-2.57497313775518
160	5120	-2.9	-3.21800569451905	-2.5797138298029
320	10	-2.9	-4.22273537785644	-1.61425113270874
320	20	-2.9	-3.83379745129197	-1.98406267838669
320	40	-2.9	-3.57321149713801	-2.23507790359205
320	80	-2.9	-3.39900211581881	-2.40439845312099
320	160	-2.9	-3.28513882471919	-2.51579402437183
320	320	-2.9	-3.21367751398076	-2.58632248601924
320	640	-2.9	-3.17137186808336	-2.6279084583744
320	1280	-2.9	-3.14738746357446	-2.65133753717409
320	2560	-2.9	-3.13451528803703	-2.66398277678995
320	5120	-2.9	-3.12783101811497	-2.67055523695103
640	10	-2.9	-4.21349499583366	-1.62391251955414
640	20	-2.9	-3.82066166656727	-1.99767506676693
640	40	-2.9	-3.55486940997869	-2.25395781693341
640	80	-2.9	-3.37396554288123	-2.43003191461678
640	160	-2.9	-3.25209677441454	-2.54948132757541
640	320	-2.9	-3.1720915416256	-2.62862813191664
640	640	-2.9	-3.12199755636965	-2.67800244363035
640	1280	-2.9	-3.09193952532203	-2.70743279503366
640	2560	-2.9	-3.07503612361491	-2.72406467761792
640	5120	-2.9	-3.06597348300962	-2.73298500875521
1280	10	-2.9	-4.20884235776296	-1.62879697762418
1280	20	-2.9	-3.81401155226883	-2.00459609589816
1280	40	-2.9	-3.5454867601433	-2.26366017832593
1280	80	-2.9	-3.36091490454654	-2.44346099002876
1280	160	-2.9	-3.23432222771987	-2.56770313563766
1280	320	-2.9	-3.14866246282591	-2.65261253642554
1280	640	-2.9	-3.09256720496634	-2.70806047467797
1280	1280	-2.9	-3.05697131832058	-2.74302868167942
1280	2560	-2.9	-3.0357823919534	-2.76394448188907
1280	5120	-2.9	-3.02388062986923	-2.77569443436737
2560	10	-2.9	-4.20649891952027	-1.63123919224832
2560	20	-2.9	-3.81065263789988	-2.00806669830637
2560	40	-2.9	-3.54072167651284	-2.26855306490769
2560	80	-2.9	-3.35421763337224	-2.45030595866211
2560	160	-2.9	-3.22502686224482	-2.5771717650912
2560	320	-2.9	-3.13601722321005	-2.66548471196297
2560	640	-2.9	-3.07593532238208	-2.72496387638509
2560	1280	-2.9	-3.03605551811093	-2.7642176080466
2560	2560	-2.9	-3.01094127815074	-2.78905872184926
2560	5120	-2.9	-2.99600791472547	-2.80382964679001
5120	10	-2.9	-4.20532762031088	-1.63245767732241
5120	20	-2.9	-3.80897139479349	-2.00980082725139
5120	40	-2.9	-3.53832988054159	-2.2710049409338
5120	80	-2.9	-3.35083747415792	-2.45375535487021
5120	160	-2.9	-3.2202861701971	-2.58199430548095
5120	320	-2.9	-3.12944476304897	-2.67216898188503
5120	640	-2.9	-3.06701499124479	-2.73402651699038
5120	1280	-2.9	-3.02430556563263	-2.77611937013077
5120	2560	-2.9	-2.99617035320999	-2.80399208527453
5120	5120	-2.9	-2.97847476873968	-2.82152523126032
10	10	-2.85	-4.65111543728928	-1.04888456271072
10	20	-2.85	-4.39349800911494	-1.28625423231383
10	40	-2.85	-4.25395794369309	-1.41620468970283
10	80	-2.85	-4.1806004745918	-1.48517007996251
10	160	-2.85	-4.14289860887459	-1.52089938203494
10	320	-2.85	-4.12378128019419	-1.53920567159087
10	640	-2.85	-4.11420374758327	-1.54837436411205
10	1280	-2.85	-4.10935826917198	-1.55298746699395
10	2560	-2.85	-4.10693727452764	-1.55530881103808
10	5120	-2.85	-4.10572775405114	-1.55647210858627
20	10	-2.85	-4.41374576768617	-1.30650199088506
20	20	-2.85	-4.10843955423232	-1.59156044576768
20	40	-2.85	-3.93276586350586	-1.75723365831017
20	80	-2.85	-3.83578985108316	-1.84943516135655
20	160	-2.85	-3.7842755591069	-1.89874938193179
20	320	-2.85	-3.75763580652584	-1.92449956397116
20	640	-2.85	-3.74414491158773	-1.93753159961523
20	1280	-2.85	-3.73728082231416	-1.94412429303198
20	2560	-2.85	-3.73384122986633	-1.9474510758548
20	5120	-2.85	-3.732120286474	-1.94912060098741
40	10	-2.85	-4.28379531029717	-1.4460420563069
40	20	-2.85	-3.94276634168983	-1.76723413649414
40	40	-2.85	-3.73478815602795	-1.96521184397205
40	80	-2.85	-3.61305294467181	-2.08198841164553
40	160	-2.85	-3.54522585266822	-2.14744072001552
40	320	-2.85	-3.50899235440296	-2.18271980352573
40	640	-2.85	-3.49028375646426	-2.20091573334589
40	1280	-2.85	-3.48066268600595	-2.21021675546168
40	2560	-2.85	-3.47581425797547	-2.21493593709546
40	5120	-2.85	-3.47338139664472	-2.21731090171993
80	10	-2.85	-4.21482992003749	-1.5193995254082
80	20	-2.85	-3.85056483864345	-1.86421014891684
80	40	-2.85	-3.61801158835447	-2.08694705532819
80	80	-2.85	-3.47389223041461	-2.22610776958539
80	160	-2.85	-3.38882344512619	-2.30871517921036
80	320	-2.85	-3.34118493661854	-2.35536622038956
80	640	-2.85	-3.31578429298484	-2.38020206413515
80	1280	-2.85	-3.30246783567415	-2.39313862571131
80	2560	-2.85	-3.29568509542589	-2.39977108120669
80	5120	-2.85	-3.2922624610818	-2.40312729955007
160	10	-2.85	-4.17910061796506	-1.55710139112541
160	20	-2.85	-3.80125061806821	-1.9157244408931
160	40	-2.85	-3.55255927998448	-2.15477414733178
160	80	-2.85	-3.39128482078964	-2.31117655487381
160	160	-2.85	-3.29054335435143	-2.40945664564857
160	320	-2.85	-3.23080228991763	-2.46822550402411
160	640	-2.85	-3.19742301253219	-2.50100244930829
160	1280	-2.85	-3.17935525556032	-2.51862180946405
160	2560	-2.85	-3.16997335253165	-2.52782726812511
160	5120	-2.85	-3.16518855710144	-2.53253441091458
320	10	-2.85	-4.16079432840913	-1.57621871980581
320	20	-2.85	-3.77550043602884	-1.94236419347416
320	40	-2.85	-3.51728019647427	-2.19100764559704
320	80	-2.85	-3.34463377961044	-2.35881506338146
320	160	-2.85	-3.23177449597589	-2.46919771008237
320	320	-2.85	-3.160940030747	-2.539059969253
320	640	-2.85	-3.11902800663012	-2.58031272308076
320	1280	-2.85	-3.09525130596927	-2.60353815283865
320	2560	-2.85	-3.08250003235435	-2.61606153350286
320	5120	-2.85	-3.07586975282697	-2.62258773736525
640	10	-2.85	-4.15162563588795	-1.58579625241673
640	20	-2.85	-3.76246840038477	-1.95585508841227
640	40	-2.85	-3.49908426665411	-2.20971624353574
640	80	-2.85	-3.31979793586485	-2.38421570701516
640	160	-2.85	-3.19899755069171	-2.50257698746781
640	320	-2.85	-3.11968727691924	-2.58097199336988
640	640	-2.85	-3.07005361383659	-2.62994638616341
640	1280	-2.85	-3.04025174819381	-2.65911834101565
640	2560	-2.85	-3.02350443699209	-2.6755879254826
640	5120	-2.85	-3.014513433656	-2.68444426066401
1280	10	-2.85	-4.14701253300605	-1.59064173082802
1280	20	-2.85	-3.75587570696802	-1.96271917768584
1280	40	-2.85	-3.48978324453832	-2.21933731399405
1280	80	-2.85	-3.30686137428869	-2.39753216432585
1280	160	-2.85	-3.18137819053595	-2.52064474443968
1280	320	-2.85	-3.09646184716135	-2.60474869403073
1280	640	-2.85	-3.04088165898435	-2.65974825180619
1280	1280	-2.85	-3.00558901781576	-2.69441098218424
1280	2560	-2.85	-2.98459570732388	-2.7151233657533
1280	5120	-2.85	-2.97278796613414	-2.72678945842444
2560	10	-2.85	-4.14469118896192	-1.59306272547236
2560	20	-2.85	-3.7525489241452	-1.96615877013367
2560	40	-2.85	-3.48506406290454	-2.22418574202453
2560	80	-2.85	-3.30022891879331	-2.40431490457411
2560	160	-2.85	-3.17217273187489	-2.53002664746835
2560	320	-2.85	-3.08393846649714	-2.61749996764565
2560	640	-2.85	-3.0244120745174	-2.67649556300791
2560	1280	-2.85	-2.9848766342467	-2.71540429267612
2560	2560	-2.85	-2.95999894740796	-2.74000105259204
2560	5120	-2.85	-2.94518743944556	-2.75466427993409
5120	10	-2.85	-4.14352789141373	-1.59427224594886
5120	20	-2.85	-3.75087939901259	-1.967879713526
5120	40	-2.85	-3.48268909828007	-2.22661860335528
5120	80	-2.85	-3.29687270044993	-2.4077375389182
5120	160	-2.85	-3.16746558908542	-2.53481144289856
5120	320	-2.85	-3.07741226263475	-2.62413024717303
5120	640	-2.85	-3.01555573933599	-2.685486566344
5120	1280	-2.85	-2.97321054157556	-2.72721203386586
5120	2560	-2.85	-2.94533572006591	-2.75481256055444
5120	5120	-2.85	-2.9277803298902	-2.7722196701098
10	10	-2.8	-4.58458068878832	-1.01541931121168
10	20	-2.8	-4.32930411419178	-1.25040512311275
10	40	-2.8	-4.19099060451608	-1.37914369731379
10	80	-2.8	-4.11825873964819	-1.44749401321291
10	160	-2.8	-4.08086888473008	-1.48289729173219
10	320	-2.8	-4.06191849775248	-1.5010462790714
10	640	-2.8	-4.05241330066492	-1.51012959560991
10	1280	-2.8	-4.04761231531358	-1.51470782636597
10	2560	-2.8	-4.0452088996859	-1.51700795473713
10	5120	-2.8	-4.04400971166019	-1.51816105945402
20	10	-2.8	-4.34959487688725	-1.27069588580822
20	20	-2.8	-4.04711151119816	-1.55288848880185
20	40	-2.8	-3.8730195289607	-1.71700624573783
20	80	-2.8	-3.77689413568609	-1.80837744923654
20	160	-2.8	-3.72581917648573	-1.85723683620215
20	320	-2.8	-3.69941889164555	-1.88276305787328
20	640	-2.8	-3.6860333646999	-1.89567234974862
20	1280	-2.8	-3.67923406269385	-1.9022144963898
20	2560	-2.8	-3.67582033062496	-1.90551052152888
20	5120	-2.8	-3.67411452932891	-1.90716524015484
40	10	-2.8	-4.22085630268621	-1.40900939548392
40	20	-2.8	-3.88299375426217	-1.7269804710393
40	40	-2.8	-3.67690322153529	-1.92309677846471
40	80	-2.8	-3.55624764643984	-2.03881732064455
40	160	-2.8	-3.4890061668495	-2.10366231526491
40	320	-2.8	-3.45310236032097	-2.13863217785405
40	640	-2.8	-3.4345419401185	-2.15665539003013
40	1280	-2.8	-3.42501270979802	-2.16588439645383
40	2560	-2.8	-3.42020125922473	-2.17055960150016
40	5120	-2.8	-3.41779006206949	-2.17291332612161
80	10	-2.8	-4.15250598678709	-1.48174126035181
80	20	-2.8	-3.79162255076346	-1.82310586431391
80	40	-2.8	-3.56118267935545	-2.04375235356016
80	80	-2.8	-3.4183448181699	-2.1816551818301
80	160	-2.8	-3.33401246181003	-2.26349518735705
80	320	-2.8	-3.28680848849275	-2.30973615371221
80	640	-2.8	-3.26160945092266	-2.33433538895026
80	1280	-2.8	-3.24842022570445	-2.34717128904237
80	2560	-2.8	-3.24168927240279	-2.35374171372347
80	5120	-2.8	-3.23829712776106	-2.35706779371704
160	10	-2.8	-4.11710270826781	-1.51913111526992
160	20	-2.8	-3.74276316379785	-1.87418082351427
160	40	-2.8	-3.49633768473509	-2.1109938331505
160	80	-2.8	-3.33650481264295	-2.26598753818997
160	160	-2.8	-3.23664219814385	-2.36335780185615
160	320	-2.8	-3.17745145952835	-2.42161179433319
160	640	-2.8	-3.14434050736532	-2.45407728436115
160	1280	-2.8	-3.12644723716447	-2.47155999531361
160	2560	-2.8	-3.11713800337896	-2.48067970111295
160	5120	-2.8	-3.11239633806286	-2.48534473693654
320	10	-2.8	-4.0989537209286	-1.53808150224752
320	20	-2.8	-3.71723694212672	-1.90058110835445
320	40	-2.8	-3.46136782214595	-2.14689763967903
320	80	-2.8	-3.29026384628779	-2.31319151150725
320	160	-2.8	-3.17838820566681	-2.42254854047165
320	320	-2.8	-3.10820582292996	-2.49179417707004
320	640	-2.8	-3.06663009957703	-2.53265056518641
320	1280	-2.8	-3.04308233921897	-2.55569275127704
320	2560	-2.8	-3.03042946464166	-2.56809776115462
320	5120	-2.8	-3.02385865411668	-2.57456457759766
640	10	-2.8	-4.08987040439009	-1.54758669933508
640	20	-2.8	-3.70432765025138	-1.9139666353001
640	40	-2.8	-3.44334460996987	-2.1654580598815
640	80	-2.8	-3.26566461104974	-2.33839054907734
640	160	-2.8	-3.14592271563885	-2.45565949263468
640	320	-2.8	-3.06734943481358	-2.53336990042297
640	640	-2.8	-3.01812038191711	-2.58187961808289
640	1280	-2.8	-2.98861048392753	-2.61082597300077
640	2560	-2.8	-2.97199601501852	-2.62714332788687
640	5120	-2.8	-2.96308766976734	-2.6359210239359
1280	10	-2.8	-4.08529217363403	-1.55238768468642
1280	20	-2.8	-3.6977855036102	-1.92076593730615
1280	40	-2.8	-3.43411560354617	-2.17498729020198
1280	80	-2.8	-3.25282871095763	-2.35157977429555
1280	160	-2.8	-3.12844000468639	-2.47355276283553
1280	320	-2.8	-3.04430724872296	-2.55691766078103
1280	640	-2.8	-2.98917402699923	-2.61138951607247
1280	1280	-2.8	-2.95422135432817	-2.64577864567183
1280	2560	-2.8	-2.93339018204385	-2.66629568917296
1280	5120	-2.8	-2.92168771307564	-2.67785531519565
2560	10	-2.8	-4.08299204526287	-1.5547911003141
2560	20	-2.8	-3.69448947847112	-1.92417966937504
2560	40	-2.8	-3.42944039849984	-2.17979874077527
2560	80	-2.8	-3.24625828627653	-2.35831072759721
2560	160	-2.8	-3.11932029888705	-2.48286199662104
2560	320	-2.8	-3.03190223884538	-2.56957053535834
2560	640	-2.8	-2.97285667211313	-2.62800398498148
2560	1280	-2.8	-2.93370431082704	-2.66660981795615
2560	2560	-2.8	-2.90902090289761	-2.69097909710239
2560	5120	-2.8	-2.89434254669288	-2.70551170146082
5120	10	-2.8	-4.08183894054598	-1.55599028833981
5120	20	-2.8	-3.69283475984516	-1.92588547067109
5120	40	-2.8	-3.42708667387839	-2.18220993793051
5120	80	-2.8	-3.24293220628295	-2.36170287223894
5120	160	-2.8	-3.11465526306346	-2.48760366193714
5120	320	-2.8	-3.02543542240234	-2.57614134588332
5120	640	-2.8	-2.9640789760641	-2.63691233023266
5120	1280	-2.8	-2.92214468480435	-2.67831228692436
5120	2560	-2.8	-2.89448829853918	-2.70565745330712
5120	5120	-2.8	-2.87709083868215	-2.72290916131785
10	10	-2.75	-4.51819528926015	-0.981804710739852
10	20	-2.75	-4.26527622546293	-1.21443565568296
10	40	-2.75	-4.12815717418457	-1.34196704722835
10	80	-2.75	-4.05604924584134	-1.40969648110904
10	160	-2.75	-4.01896173121519	-1.44480151276337
10	320	-2.75	-4.00016664636288	-1.46270745434352
10	640	-2.75	-3.99074089426777	-1.47179217711661
10	1280	-2.75	-3.98597820322131	-1.47633055034935
10	2560	-2.75	-3.9835980221923	-1.47861316575546
10	5120	-2.75	-3.98240854974167	-1.47975529945182
20	10	-2.75	-4.28556434431704	-1.23472377453707
20	20	-2.75	-3.98592285925507	-1.51407714074493
20	40	-2.75	-3.81337221673901	-1.67663880516284
