n1	n2	d	scpd
640	2560	0.3	0.229154835288278
640	5120	0.3	0.242602934137325
1280	10	0.3	-0.470538519612251
1280	20	0.3	-0.241225258978679
1280	40	0.3	-0.0857595844608826
1280	80	0.3	0.0224228754345233
1280	160	0.3	0.0985434245359599
1280	320	0.3	0.152323580744725
1280	640	0.3	0.190360404662864
1280	1280	0.3	0.217290201541122
1280	2560	0.3	0.236354613873277
1280	5120	0.3	0.249839798837919
2560	10	0.3	-0.465064346973397
2560	20	0.3	-0.23597625658026
2560	40	0.3	-0.0805767425730261
2560	80	0.3	0.0275718220525556
2560	160	0.3	0.103688651099922
2560	320	0.3	0.15745712439057
2560	640	0.3	0.195513555177645
2560	1280	0.3	0.222438098895689
2560	2560	0.3	0.241494528037131
2560	5120	0.3	0.254967020878679
5120	10	0.3	-0.461223807196607
5120	20	0.3	-0.2322505233698
5120	40	0.3	-0.07693788375553
5120	80	0.3	0.0311850744417473
5120	160	0.3	0.107308741199952
5120	320	0.3	0.161062423727328
5120	640	0.3	0.199089100460865
5120	1280	0.3	0.226047602807357
5120	2560	0.3	0.245088485791528
5120	5120	0.3	0.258608750915072
10	10	0.35	-0.615933372389778
10	20	0.35	-0.380754852399094
10	40	0.35	-0.222907406750383
10	80	0.35	-0.113696320164108
10	160	0.35	-0.0371739684400605
10	320	0.35	0.0167579964360924
10	640	0.35	0.0548164120266245
10	1280	0.35	0.0817553149197428
10	2560	0.35	0.100768844237918
10	5120	0.35	0.114215310717599
20	10	0.35	-0.550626333369229
20	20	0.35	-0.318149405726867
20	40	0.35	-0.161455004580739
20	80	0.35	-0.0527318893941211
20	160	0.35	0.0235871183482352
20	320	0.35	0.0774189187400261
20	640	0.35	0.115463949314319
20	1280	0.35	0.142402208836144
20	2560	0.35	0.161428043809807
20	5120	0.35	0.174905808131135
40	10	0.35	-0.505465050630031
40	20	0.35	-0.2747570201252
40	40	0.35	-0.118784569289402
40	80	0.35	-0.0103520256459551
40	160	0.35	0.0658319647883588
40	320	0.35	0.1196562473082
40	640	0.35	0.157676446915651
40	1280	0.35	0.184607578039375
40	2560	0.35	0.203657359633086
40	5120	0.35	0.21716236442033
80	10	0.35	-0.473866110406227
80	20	0.35	-0.244443059418807
80	40	0.35	-0.0889067827107193
80	80	0.35	0.0192936005230172
80	160	0.35	0.0954092021329959
80	320	0.35	0.149206740037486
80	640	0.35	0.187237590799532
80	1280	0.35	0.214196348959216
80	2560	0.35	0.233219429867122
80	5120	0.35	0.246725566321205
160	10	0.35	-0.451758933844477
160	20	0.35	-0.223158446423437
160	40	0.35	-0.0679645568374772
160	80	0.35	0.0401191237730794
160	160	0.35	0.116200299799892
160	320	0.35	0.169947999707959
160	640	0.35	0.208005989540476
160	1280	0.35	0.234954132195866
160	2560	0.35	0.254010268392354
160	5120	0.35	0.267517505633247
320	10	0.35	-0.43619806157426
320	20	0.35	-0.208144370854649
320	40	0.35	-0.053201330243967
320	80	0.35	0.0547941822147933
320	160	0.35	0.130838751497949
320	320	0.35	0.184592200580289
320	640	0.35	0.222652123880253
320	1280	0.35	0.24959233570793
320	2560	0.35	0.268661400055047
320	5120	0.35	0.282164211493846
640	10	0.35	-0.425273245968031
640	20	0.35	-0.197617281246488
640	40	0.35	-0.0428010441023131
640	80	0.35	0.0651081965929988
640	160	0.35	0.141126656863885
640	320	0.35	0.194879501588398
640	640	0.35	0.232932149375154
640	1280	0.35	0.259888522257149
640	2560	0.35	0.278966119976835
640	5120	0.35	0.292453316029833
1280	10	0.35	-0.417572637338601
1280	20	0.35	-0.190195269082019
1280	40	0.35	-0.0355193635469124
1280	80	0.35	0.0723773211643182
1280	160	0.35	0.148382846986404
1280	320	0.35	0.202132908889509
1280	640	0.35	0.240188375958445
1280	1280	0.35	0.267145476444407
1280	2560	0.35	0.286253939803915
1280	5120	0.35	0.299749001650388
2560	10	0.35	-0.412113380936419
2560	20	0.35	-0.18493259593699
2560	40	0.35	-0.0303190100505931
2560	80	0.35	0.0775189538523292
2560	160	0.35	0.153532120073208
2560	320	0.35	0.207297709117724
2560	640	0.35	0.245335876178795
2560	1280	0.35	0.272296191788315
2560	2560	0.35	0.291371382528206
2560	5120	0.35	0.304872783000403
5120	10	0.35	-0.408234371430617
5120	20	0.35	-0.181192780726559
5120	40	0.35	-0.0266206321716574
5120	80	0.35	0.0811751407513364
5120	160	0.35	0.157198664788725
5120	320	0.35	0.21094327375947
5120	640	0.35	0.248995395169439
5120	1280	0.35	0.275950960043474
5120	2560	0.35	0.29505340709294
5120	5120	0.35	0.308568792348845
10	10	0.4	-0.563447395336617
10	20	0.4	-0.330456294616977
10	40	0.4	-0.173504638935485
