n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
320	2560	0.8	0.7	1	1	1	1	0.255	0.742	0.273	1	0.809	1	0.909	0.934	1	0.763	0.774	0.842	1	0.998	1	1	1	1	0.995	0.403	1	0.45	0.875	0.125
640	2560	0.8	0.7	1	1	1	1	0.246	0.569	0.287	0.999	0.721	1	0.869	0.952	1	0.639	0.649	0.813	1	0.997	1	1	1	1	0.997	0.337	1	0.429	0.944	0.056
1280	2560	0.8	0.7	1	1	1	1	0.177	0.329	0.238	0.79	0.649	0.924	0.768	0.964	1	0.488	0.493	0.825	1	0.973	1	1	1	1	1	0.22	1	0.488	0.981	0.019
2560	2560	0.8	0.7	1	1	1	1	0.133	0.137	0.297	0.307	0.629	0.637	0.633	0.991	0.994	0.299	0.304	0.929	0.937	0.932	1	1	1	1	1	0.159	1	0.684	0.991	0.009
5120	2560	0.8	0.7	1	1	1	1	0.107	0.05	0.458	0.077	0.677	0.334	0.452	0.998	0.827	0.193	0.196	0.997	0.542	0.856	1	1	1	1	1	0.106	1	0.968	0.995	0.005
10	5120	0.8	0.7	1	1	1	1	0	0.885117493472585	0	1	0.885117493472585	1	0.908616187989556	0.908616187989556	1	0.825065274151436	0.885117493472585	0.885117493472585	1	1	1	0.725848563968668	1	0.744125326370757	1	0.0391644908616188	1	0.0417754569190601	1	0
20	5120	0.8	0.7	1	1	1	1	0.12630014858841	0.931649331352155	0.12630014858841	1	0.931649331352155	1	0.943536404160475	0.945022288261516	1	0.901931649331352	0.931649331352155	0.931649331352155	1	1	1	1	1	1	1	0.408618127786033	1	0.410104011887073	0.907875185735513	0.0921248142644874
40	5120	0.8	0.7	1	1	1	1	0.126059322033898	0.930084745762712	0.127118644067797	1	0.930084745762712	1	0.951271186440678	0.955508474576271	1	0.909957627118644	0.930084745762712	0.930084745762712	1	1	1	1	1	1	1	0.509533898305085	1	0.511652542372881	0.727754237288136	0.272245762711864
80	5120	0.8	0.7	1	1	1	1	0.154154154154154	0.904904904904905	0.155155155155155	1	0.907907907907908	1	0.932932932932933	0.936936936936937	1	0.901901901901902	0.905905905905906	0.908908908908909	1	1	1	1	1	1	0.986986986986987	0.506506506506507	1	0.511511511511512	0.741741741741742	0.258258258258258
160	5120	0.8	0.7	1	1	1	1	0.196	0.86	0.197	1	0.872	1	0.921	0.93	1	0.857	0.869	0.877	1	0.996	1	1	1	1	0.995	0.456	1	0.463	0.814	0.186
320	5120	0.8	0.7	1	1	1	1	0.182	0.749	0.187	1	0.775	1	0.876	0.905	1	0.758	0.762	0.791	1	0.998	1	1	1	1	0.994	0.342	1	0.355	0.888	0.112
640	5120	0.8	0.7	1	1	1	1	0.141	0.594	0.147	1	0.671	1	0.81	0.872	1	0.621	0.631	0.714	1	0.991	1	1	1	1	1	0.235	1	0.282	0.937	0.063
1280	5120	0.8	0.7	1	1	1	1	0.093	0.332	0.115	0.967	0.487	0.991	0.665	0.83	1	0.391	0.399	0.58	1	0.959	1	1	1	1	0.999	0.146	1	0.221	0.988	0.012
2560	5120	0.8	0.7	1	1	1	1	0.04	0.107	0.082	0.487	0.338	0.722	0.464	0.814	1	0.192	0.196	0.547	1	0.853	1	1	1	1	1	0.072	1	0.193	0.995	0.005
5120	5120	0.8	0.7	1	1	1	1	0.018	0.018	0.059	0.06	0.257	0.262	0.261	0.867	0.886	0.059	0.059	0.675	0.688	0.682	1	1	1	1	1	0.021	1	0.294	1	0
10	10	0.9	0.7	1	1	1	1	0.951219512195122	0.963414634146341	0.98780487804878	0.99390243902439	1	1	1	1	1	0.99390243902439	0.99390243902439	1	1	1	1	1	1	1	0.975609756097561	0.98780487804878	1	1	0.585365853658537	0.414634146341463
20	10	0.9	0.7	1	1	1	1	0.932539682539683	0.80952380952381	1	0.892857142857143	1	0.98015873015873	0.992063492063492	1	1	0.976190476190476	0.94047619047619	1	0.992063492063492	1	1	1	1	1	0.892857142857143	1	0.936507936507937	1	0.293650793650794	0.706349206349206
40	10	0.9	0.7	1	1	1	1	0.93730407523511	0.626959247648903	1	0.686520376175549	1	0.96551724137931	0.987460815047022	1	0.996865203761755	0.956112852664577	0.927899686520376	1	0.981191222570533	1	1	1	1	1	0.780564263322884	1	0.858934169278997	1	0.15987460815047	0.84012539184953
80	10	0.9	0.7	1	1	1	1	0.934984520123839	0.504643962848297	1	0.51702786377709	1	0.956656346749226	0.981424148606811	1	0.984520123839009	0.95046439628483	0.910216718266254	1	0.962848297213622	1	0.996904024767802	1	1	1	0.69969040247678	1	0.736842105263158	1	0.111455108359133	0.888544891640867
160	10	0.9	0.7	1	1	1	1	0.95046439628483	0.352941176470588	1	0.365325077399381	1	0.95046439628483	0.975232198142415	1	0.975232198142415	0.95046439628483	0.91640866873065	1	0.956656346749226	1	1	1	1	1	0.631578947368421	1	0.659442724458204	1	0.0588235294117647	0.941176470588235
320	10	0.9	0.7	1	1	1	1	0.95046439628483	0.26625386996904	1	0.269349845201238	1	0.95046439628483	0.969040247678019	1	0.972136222910217	0.95046439628483	0.913312693498452	1	0.953560371517028	1	1	1	1	1	0.563467492260062	1	0.575851393188854	1	0.0464396284829721	0.953560371517028
640	10	0.9	0.7	1	1	1	1	0.95046439628483	0.195046439628483	1	0.195046439628483	1	0.953560371517028	0.96594427244582	1	0.969040247678019	0.95046439628483	0.913312693498452	1	0.953560371517028	1	1	1	1	1	0.529411764705882	1	0.532507739938081	1	0.0185758513931889	0.981424148606811
1280	10	0.9	0.7	1	1	1	1	0.953560371517028	0.0928792569659443	1	0.0928792569659443	1	0.953560371517028	0.953560371517028	1	0.953560371517028	0.953560371517028	0.925696594427245	1	0.953560371517028	1	1	1	1	1	0.46749226006192	1	0.470588235294118	1	0.00619195046439629	0.993808049535604
2560	10	0.9	0.7	1	1	1	1	0.941176470588235	0.0588235294117647	1	0.0588235294117647	1	0.941176470588235	0.959752321981424	1	0.959752321981424	0.941176470588235	0.925696594427245	1	0.944272445820433	1	1	1	1	1	0.461300309597523	1	0.461300309597523	1	0.00309597523219814	0.996904024767802
5120	10	0.9	0.7	1	1	1	1	0.947368421052632	0.021671826625387	1	0.021671826625387	1	0.947368421052632	0.956656346749226	1	0.956656346749226	0.947368421052632	0.925696594427245	1	0.947368421052632	1	1	1	1	1	0.452012383900929	1	0.461300309597523	1	0	1
10	20	0.9	0.7	1	1	1	1	0.733840304182509	0.939163498098859	0.798479087452472	1	0.988593155893536	1	1	1	1	0.942965779467681	0.984790874524715	1	1	1	1	1	1	1	1	0.813688212927757	1	0.942965779467681	0.908745247148289	0.091254752851711
20	20	0.9	0.7	1	1	1	1	0.911062906724512	0.926247288503254	0.986984815618221	0.989154013015184	1	1	1	1	1	0.986984815618221	0.986984815618221	1	1	1	1	1	1	1	0.980477223427332	0.943600867678959	1	0.997830802603037	0.622559652928417	0.377440347071584
40	20	0.9	0.7	1	1	1	1	0.960502692998205	0.861759425493716	1	0.933572710951526	1	0.992818671454219	1	1	1	0.987432675044883	0.985637342908438	1	1	1	1	1	1	1	0.960502692998205	0.982046678635548	0.987432675044883	1	0.51705565529623	0.48294434470377
