n1	n2	d1	d2	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
20	20	0	0	0.515090543259557	0.0201207243460765	0.515090543259557	0.279678068410463	0.309859154929577	0.35010060362173	0.515090543259557	0.488933601609658	0.498993963782696	0.515090543259557	0.0120724346076459
40	20	0	0	0.536203522504892	0.0273972602739726	0.536203522504892	0.428571428571429	0.526418786692759	0.418786692759295	0.536203522504892	0.534246575342466	0.532289628180039	0.536203522504892	0.0704500978473581
80	20	0	0	0.493333333333333	0.0171428571428571	0.493333333333333	0.426666666666667	0.493333333333333	0.401904761904762	0.493333333333333	0.493333333333333	0.493333333333333	0.493333333333333	0.125714285714286
160	20	0	0	0.489320388349515	0.0271844660194175	0.489320388349515	0.479611650485437	0.487378640776699	0.368932038834951	0.489320388349515	0.489320388349515	0.487378640776699	0.489320388349515	0.238834951456311
320	20	0	0	0.46257197696737	0.0307101727447217	0.46257197696737	0.452975047984645	0.460652591170825	0.289827255278311	0.46257197696737	0.460652591170825	0.460652591170825	0.46257197696737	0.268714011516315
20	40	0	0	0.462776659959759	0.0321931589537223	0.462776659959759	0.203219315895372	0.10261569416499	0.283702213279678	0.458752515090543	0.380281690140845	0.404426559356137	0.462776659959759	0
40	40	0	0	0.500978473581213	0.0156555772994129	0.500978473581213	0.307240704500978	0.336594911937378	0.348336594911937	0.500978473581213	0.481409001956947	0.4853228962818	0.500978473581213	0.00978473581213307
80	40	0	0	0.495238095238095	0.0323809523809524	0.495238095238095	0.4	0.485714285714286	0.398095238095238	0.495238095238095	0.493333333333333	0.493333333333333	0.495238095238095	0.0685714285714286
160	40	0	0	0.49126213592233	0.0310679611650485	0.49126213592233	0.446601941747573	0.49126213592233	0.405825242718447	0.49126213592233	0.49126213592233	0.49126213592233	0.49126213592233	0.130097087378641
320	40	0	0	0.510556621880998	0.0230326295585413	0.510556621880998	0.493282149712092	0.508637236084453	0.389635316698656	0.510556621880998	0.510556621880998	0.508637236084453	0.510556621880998	0.178502879078695
20	80	0	0	0.527162977867203	0.03420523138833	0.527162977867203	0.152917505030181	0.00402414486921529	0.265593561368209	0.519114688128773	0.352112676056338	0.394366197183099	0.527162977867203	0
40	80	0	0	0.522504892367906	0.0332681017612524	0.522504892367906	0.227005870841487	0.103718199608611	0.346379647749511	0.518590998043053	0.469667318982387	0.481409001956947	0.522504892367906	0
80	80	0	0	0.466666666666667	0.019047619047619	0.466666666666667	0.278095238095238	0.329523809523809	0.335238095238095	0.466666666666667	0.445714285714286	0.44952380952381	0.466666666666667	0.0133333333333333
