n1	n2	d1	d2	type	m	sig1	sig2	sdir
20	20	0	0	raw	1000	39	39	498
20	20	0	0	sig1	39	39	3	23
20	20	0	0	bsln	23	23	1	23
20	20	0	0	sig2	1000	39	39	498
20	20	0	0	big2	39	39	3	23
20	20	0	0	s2or	23	23	1	23
50	20	0	0	raw	1000	44	39	499
50	20	0	0	sig1	44	44	2	21
50	20	0	0	bsln	21	21	1	21
50	20	0	0	sig2	1000	44	39	499
50	20	0	0	big2	44	44	2	21
50	20	0	0	s2or	21	21	1	21
100	20	0	0	raw	1000	41	39	519
100	20	0	0	sig1	41	41	3	19
100	20	0	0	bsln	19	19	0	19
100	20	0	0	sig2	1000	41	39	519
100	20	0	0	big2	41	41	3	19
100	20	0	0	s2or	19	19	0	19
150	20	0	0	raw	1000	39	39	490
150	20	0	0	sig1	39	39	1	18
150	20	0	0	bsln	18	18	0	18
150	20	0	0	sig2	1000	39	39	490
150	20	0	0	big2	39	39	1	18
150	20	0	0	s2or	18	18	0	18
200	20	0	0	raw	1000	46	39	504
200	20	0	0	sig1	46	46	0	21
200	20	0	0	bsln	21	21	0	21
200	20	0	0	sig2	1000	46	39	504
200	20	0	0	big2	46	46	0	21
200	20	0	0	s2or	21	21	0	21
250	20	0	0	raw	1000	40	39	510
250	20	0	0	sig1	40	40	2	21
250	20	0	0	bsln	21	21	2	21
250	20	0	0	sig2	1000	40	39	510
250	20	0	0	big2	40	40	2	21
250	20	0	0	s2or	21	21	2	21
300	20	0	0	raw	1000	58	39	502
300	20	0	0	sig1	58	58	2	23
300	20	0	0	bsln	23	23	1	23
300	20	0	0	sig2	1000	58	39	502
300	20	0	0	big2	58	58	2	23
300	20	0	0	s2or	23	23	1	23
350	20	0	0	raw	1000	50	39	494
350	20	0	0	sig1	50	50	0	24
350	20	0	0	bsln	24	24	0	24
350	20	0	0	sig2	1000	50	39	494
350	20	0	0	big2	50	50	0	24
350	20	0	0	s2or	24	24	0	24
400	20	0	0	raw	1000	47	39	490
400	20	0	0	sig1	47	47	3	18
400	20	0	0	bsln	18	18	0	18
400	20	0	0	sig2	1000	47	39	490
400	20	0	0	big2	47	47	3	18
400	20	0	0	s2or	18	18	0	18
450	20	0	0	raw	1000	48	39	475
450	20	0	0	sig1	48	48	2	21
450	20	0	0	bsln	21	21	0	21
450	20	0	0	sig2	1000	48	39	475
450	20	0	0	big2	48	48	2	21
450	20	0	0	s2or	21	21	0	21
500	20	0	0	raw	1000	57	39	499
500	20	0	0	sig1	57	57	0	29
