n1	n2	d1	d2	type	m	sig1	sig2	sigm	sdir	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
20	20	0	0	raw	10000	497	497	419	4938	8218	8213	9933	9428	9427	9999	2432
20	20	0	0	sig1	497	497	28	139	256	154	174	451	311	331	496	6
20	20	0	0	bsln	256	256	10	139	256	154	174	256	243	248	256	6
20	20	0	0	sig2	10	10	10	10	10	10	10	10	10	10	10	6
20	20	0	0	big2	256	256	10	139	256	154	174	256	243	248	256	6
20	20	0	0	s2or	256	256	10	139	256	154	174	256	243	248	256	10
40	20	0	0	raw	10000	511	497	482	5054	8933	7368	9929	9497	9468	10000	3087
40	20	0	0	sig1	511	511	26	238	274	339	214	491	407	408	511	36
40	20	0	0	bsln	274	274	14	219	274	269	214	274	273	272	274	36
40	20	0	0	sig2	14	14	14	14	14	13	11	14	14	13	14	14
40	20	0	0	big2	274	274	36	219	274	270	217	274	273	273	274	36
40	20	0	0	s2or	274	274	14	219	274	270	217	274	273	273	274	36
80	20	0	0	raw	10000	525	497	489	4998	9167	6089	9902	9485	9425	9998	3534
80	20	0	0	sig1	525	525	24	296	259	406	211	501	444	442	523	66
80	20	0	0	bsln	259	259	9	224	259	259	211	259	259	259	259	66
80	20	0	0	sig2	9	9	9	9	9	9	1	9	9	9	9	9
80	20	0	0	big2	259	259	66	224	259	259	219	259	259	259	259	66
80	20	0	0	s2or	259	259	9	224	259	259	219	259	259	259	259	66
160	20	0	0	raw	10000	515	497	503	4945	9341	4781	9847	9474	9417	9999	3880
160	20	0	0	sig1	515	515	27	369	252	439	190	495	453	451	515	123
160	20	0	0	bsln	252	252	14	247	252	251	190	252	252	251	252	123
160	20	0	0	sig2	14	14	14	14	14	13	0	14	14	13	14	14
160	20	0	0	big2	252	252	123	247	252	252	226	252	252	252	252	123
160	20	0	0	s2or	252	252	14	247	252	252	204	252	252	252	252	123
320	20	0	0	raw	10000	521	497	496	4951	9429	3577	9804	9493	9434	9999	4171
320	20	0	0	sig1	521	521	34	406	241	466	151	495	470	468	520	140
320	20	0	0	bsln	241	241	16	236	241	240	151	241	240	240	241	140
320	20	0	0	sig2	16	16	16	16	16	15	0	16	15	15	16	16
320	20	0	0	big2	241	241	140	236	241	241	222	241	241	241	241	140
320	20	0	0	s2or	241	241	16	236	241	241	167	241	241	241	241	140
20	40	0	0	raw	10000	497	511	450	4980	7365	8870	9925	9437	9479	9999	1974
20	40	0	0	sig1	497	497	29	101	230	51	141	433	232	256	496	0
20	40	0	0	bsln	230	230	16	101	230	51	141	228	189	201	230	0
20	40	0	0	sig2	16	16	16	16	16	16	16	16	16	16	16	0
20	40	0	0	big2	230	230	16	101	230	51	141	228	189	201	230	0
20	40	0	0	s2or	230	230	16	101	230	51	141	228	189	201	230	16
40	40	0	0	raw	10000	511	511	463	4988	8297	8293	9940	9473	9467	9999	2472
40	40	0	0	sig1	511	511	18	158	256	172	178	469	338	343	510	5
40	40	0	0	bsln	256	256	8	157	256	172	178	256	246	248	256	5
40	40	0	0	sig2	8	8	8	8	8	8	8	8	8	8	8	5
40	40	0	0	big2	256	256	8	157	256	172	178	256	246	248	256	5
40	40	0	0	s2or	256	256	8	157	256	172	178	256	246	248	256	8
80	40	0	0	raw	10000	525	511	462	5086	8883	7412	9926	9449	9423	9999	3121
80	40	0	0	sig1	525	525	33	243	260	319	209	489	388	388	525	36
80	40	0	0	bsln	260	260	17	210	260	255	209	260	259	259	260	36
80	40	0	0	sig2	17	17	17	17	17	17	14	17	17	17	17	17
80	40	0	0	big2	260	260	36	210	260	255	212	260	259	259	260	36
80	40	0	0	s2or	260	260	17	210	260	255	212	260	259	259	260	36
160	40	0	0	raw	10000	515	511	513	5091	9212	6183	9928	9500	9477	9999	3629
160	40	0	0	sig1	515	515	28	304	253	409	209	496	438	438	514	67
160	40	0	0	bsln	253	253	16	230	253	253	209	253	253	253	253	67
160	40	0	0	sig2	16	16	16	16	16	16	7	16	16	16	16	16
160	40	0	0	big2	253	253	67	230	253	253	218	253	253	253	253	67
160	40	0	0	s2or	253	253	16	230	253	253	218	253	253	253	253	67
320	40	0	0	raw	10000	521	511	522	4919	9333	4879	9860	9480	9438	9999	3833
320	40	0	0	sig1	521	521	27	370	266	443	203	497	455	452	520	93
320	40	0	0	bsln	266	266	12	257	266	265	203	266	266	265	266	93
320	40	0	0	sig2	12	12	12	12	12	11	0	12	12	11	12	12
320	40	0	0	big2	266	266	93	257	266	266	235	266	266	266	266	93
320	40	0	0	s2or	266	266	12	257	266	266	215	266	266	266	266	93
20	80	0	0	raw	10000	497	525	505	5006	6127	9221	9906	9446	9509	9999	1459
20	80	0	0	sig1	497	497	32	76	262	2	132	413	182	210	496	0
20	80	0	0	bsln	262	262	17	76	262	2	132	258	175	196	262	0
20	80	0	0	sig2	17	17	17	17	17	2	17	17	17	17	17	0
20	80	0	0	big2	262	262	17	76	262	2	132	258	175	196	262	0
20	80	0	0	s2or	262	262	17	76	262	17	132	258	175	196	262	17
40	80	0	0	raw	10000	511	525	505	5014	7414	8939	9938	9497	9525	10000	1913
40	80	0	0	sig1	511	511	32	116	267	53	177	460	280	297	511	0
40	80	0	0	bsln	267	267	17	116	267	53	177	265	240	246	267	0
40	80	0	0	sig2	17	17	17	17	17	17	17	17	17	17	17	0
40	80	0	0	big2	267	267	17	116	267	53	177	265	240	246	267	0
40	80	0	0	s2or	267	267	17	116	267	53	177	265	240	246	267	17
80	80	0	0	raw	10000	525	525	456	5052	8322	8319	9918	9452	9453	9999	2528
80	80	0	0	sig1	525	525	33	153	245	173	176	471	321	327	524	7
80	80	0	0	bsln	245	245	10	146	245	173	176	245	234	236	245	7
80	80	0	0	sig2	10	10	10	10	10	10	10	10	10	10	10	7
80	80	0	0	big2	245	245	10	146	245	173	176	245	234	236	245	7
80	80	0	0	s2or	245	245	10	146	245	173	176	245	234	236	245	10
160	80	0	0	raw	10000	515	525	513	5051	8876	7365	9911	9496	9486	9999	3018
160	80	0	0	sig1	515	515	27	231	248	305	187	480	390	390	514	26
160	80	0	0	bsln	248	248	10	204	248	246	187	248	248	248	248	26
160	80	0	0	sig2	10	10	10	10	10	10	9	10	10	10	10	10
160	80	0	0	big2	248	248	26	204	248	246	188	248	248	248	248	26
160	80	0	0	s2or	248	248	10	204	248	246	188	248	248	248	248	26
320	80	0	0	raw	10000	521	525	518	5011	9185	6209	9884	9499	9487	9996	3457
320	80	0	0	sig1	521	521	31	293	253	396	210	491	428	429	518	57
320	80	0	0	bsln	253	253	13	227	253	252	210	253	253	253	253	57
320	80	0	0	sig2	13	13	13	13	13	12	8	13	13	13	13	13
320	80	0	0	big2	253	253	57	227	253	253	215	253	253	253	253	57
320	80	0	0	s2or	253	253	13	227	253	253	215	253	253	253	253	57
20	160	0	0	raw	10000	497	515	516	5031	4857	9365	9866	9447	9497	9999	1073
20	160	0	0	sig1	497	497	29	51	251	0	109	370	121	145	496	0
20	160	0	0	bsln	251	251	10	48	251	0	109	223	120	140	251	0
20	160	0	0	sig2	10	10	10	10	10	0	10	10	10	10	10	0
20	160	0	0	big2	251	251	10	48	251	0	109	223	120	140	251	0
20	160	0	0	s2or	251	251	10	48	251	10	109	223	120	140	251	10
40	160	0	0	raw	10000	511	515	485	4991	6159	9214	9914	9497	9526	9999	1463
40	160	0	0	sig1	511	511	29	80	268	4	142	434	215	233	510	0
40	160	0	0	bsln	268	268	12	78	268	4	142	265	196	208	268	0
40	160	0	0	sig2	12	12	12	12	12	4	12	12	12	12	12	0
40	160	0	0	big2	268	268	12	78	268	4	142	265	196	208	268	0
40	160	0	0	s2or	268	268	12	78	268	12	142	265	196	208	268	12
80	160	0	0	raw	10000	525	515	516	4953	7436	8915	9928	9458	9468	9997	1953
80	160	0	0	sig1	525	525	27	116	241	49	149	462	259	266	522	1
80	160	0	0	bsln	241	241	12	115	241	49	149	241	208	211	241	1
80	160	0	0	sig2	12	12	12	12	12	11	12	12	12	12	12	1
80	160	0	0	big2	241	241	12	115	241	49	149	241	208	211	241	1
80	160	0	0	s2or	241	241	12	115	241	50	149	241	208	211	241	12
160	160	0	0	raw	10000	515	515	547	5078	8360	8359	9944	9498	9496	9997	2592
160	160	0	0	sig1	515	515	23	184	264	187	189	483	337	338	512	5
160	160	0	0	bsln	264	264	10	180	264	187	189	264	256	257	264	5
160	160	0	0	sig2	10	10	10	10	10	10	10	10	10	10	10	5
160	160	0	0	big2	264	264	10	180	264	187	189	264	256	257	264	5
160	160	0	0	s2or	264	264	10	180	264	187	189	264	256	257	264	10
320	160	0	0	raw	10000	521	515	549	5006	8887	7373	9931	9481	9476	9999	2974
320	160	0	0	sig1	521	521	26	268	288	334	225	495	409	409	521	34
320	160	0	0	bsln	288	288	14	238	288	281	225	288	288	288	288	34
320	160	0	0	sig2	14	14	14	14	14	14	11	14	14	14	14	12
320	160	0	0	big2	288	288	36	238	288	281	228	288	288	288	288	34
320	160	0	0	s2or	288	288	14	238	288	281	228	288	288	288	288	36
20	320	0	0	raw	10000	497	521	499	4987	3658	9423	9818	9429	9493	9998	744
20	320	0	0	sig1	497	497	28	43	267	0	90	319	85	117	495	0
20	320	0	0	bsln	267	267	12	40	267	0	90	218	85	110	267	0
20	320	0	0	sig2	12	12	12	12	12	0	10	12	10	11	12	0
20	320	0	0	big2	267	267	12	40	267	0	90	218	85	110	267	0
20	320	0	0	s2or	267	267	12	40	267	12	92	218	87	111	267	12
40	320	0	0	raw	10000	511	521	517	4987	4834	9363	9870	9469	9509	9997	1116
40	320	0	0	sig1	511	511	31	59	244	0	112	388	138	157	508	0
40	320	0	0	bsln	244	244	14	57	244	0	112	226	132	146	244	0
40	320	0	0	sig2	14	14	14	14	14	0	10	14	10	11	14	0
40	320	0	0	big2	244	244	14	57	244	0	112	226	132	146	244	0
40	320	0	0	s2or	244	244	14	57	244	14	116	226	136	149	244	14
80	320	0	0	raw	10000	525	521	545	5015	6158	9189	9912	9481	9497	9997	1579
80	320	0	0	sig1	525	525	27	97	257	3	140	442	212	220	522	0
80	320	0	0	bsln	257	257	15	97	257	3	140	249	187	192	257	0
80	320	0	0	sig2	15	15	15	15	15	3	11	15	12	12	15	0
80	320	0	0	big2	257	257	15	97	257	3	140	249	187	192	257	0
80	320	0	0	s2or	257	257	15	97	257	15	144	249	190	195	257	15
160	320	0	0	raw	10000	515	521	508	4980	7387	8888	9924	9497	9502	9997	1966
160	320	0	0	sig1	515	515	26	122	261	57	161	449	273	277	512	0
160	320	0	0	bsln	261	261	11	122	261	57	161	259	227	229	261	0
160	320	0	0	sig2	11	11	11	11	11	11	11	11	11	11	11	0
160	320	0	0	big2	261	261	11	122	261	57	161	259	227	229	261	0
160	320	0	0	s2or	261	261	11	122	261	57	161	259	227	229	261	11
320	320	0	0	raw	10000	521	521	555	5016	8285	8282	9938	9460	9461	9998	2459
320	320	0	0	sig1	521	521	25	193	269	190	190	483	338	340	520	6
320	320	0	0	bsln	269	269	10	182	269	190	190	269	262	263	269	6
320	320	0	0	sig2	10	10	10	10	10	10	10	10	10	10	10	6
320	320	0	0	big2	269	269	10	182	269	190	190	269	262	263	269	6
320	320	0	0	s2or	269	269	10	182	269	190	190	269	262	263	269	10
20	20	0.2	0	raw	10000	974	497	641	4937	7795	7821	9874	9205	9221	9995	2205
20	20	0.2	0	sig1	974	974	62	302	469	281	301	876	573	605	969	13
20	20	0.2	0	bsln	469	469	27	287	469	281	301	468	444	449	469	13
20	20	0.2	0	sig2	27	27	27	27	27	27	27	27	27	27	27	13
20	20	0.2	0	big2	469	469	27	287	469	281	301	468	444	449	469	13
20	20	0.2	0	s2or	469	469	27	287	469	281	301	468	444	449	469	27
40	20	0.2	0	raw	10000	1459	497	1113	5040	8423	6785	9851	9173	9159	9998	2570
40	20	0.2	0	sig1	1459	1459	71	758	737	854	539	1363	1073	1092	1458	71
40	20	0.2	0	bsln	737	737	44	632	737	686	539	737	727	730	737	71
40	20	0.2	0	sig2	44	44	44	44	44	44	40	44	44	44	44	42
40	20	0.2	0	big2	737	737	73	632	737	686	543	737	727	730	737	71
40	20	0.2	0	s2or	737	737	44	632	737	686	543	737	727	730	737	73
80	20	0.2	0	raw	10000	2432	497	2019	4949	8690	5347	9772	9111	9063	9992	2651
80	20	0.2	0	sig1	2432	2432	127	1669	1204	1822	895	2289	1987	1984	2426	253
