n2	near	d1	prop.true	rwfpr	rwfnr
250	0.3	0.6	0.05	0.805404018755071	0.00027871492849559
300	0.3	0.6	0.05	0.820046053696171	0
350	0.3	0.6	0.05	0.83083517354506	0
400	0.3	0.6	0.05	0.838796589670203	0
450	0.3	0.6	0.05	0.844895886831673	0
500	0.3	0.6	0.05	0.849828506624878	6.55782524969147e-05
50	0.3	0.7	0.05	0.633359366874524	0.00560346012032643
100	0.3	0.7	0.05	0.708559044162311	0.00327111850799421
150	0.3	0.7	0.05	0.753582549598712	0.0014057432662958
200	0.3	0.7	0.05	0.783319928630048	0.000279071472268279
250	0.3	0.7	0.05	0.804751735798288	0
300	0.3	0.7	0.05	0.820046053696171	0
350	0.3	0.7	0.05	0.83083517354506	0
400	0.3	0.7	0.05	0.838796589670203	0
450	0.3	0.7	0.05	0.844895886831673	0
500	0.3	0.7	0.05	0.849803484597445	5.09012368146014e-05
50	0.3	0.8	0.05	0.622490276332694	0.00316302508074382
100	0.3	0.8	0.05	0.703012481621193	0.00174679890721712
150	0.3	0.8	0.05	0.751311027590046	0.000658234830344602
200	0.3	0.8	0.05	0.782704144697929	4.43963839068022e-05
250	0.3	0.8	0.05	0.804751735798288	0
300	0.3	0.8	0.05	0.820046053696171	0
350	0.3	0.8	0.05	0.83083517354506	0
400	0.3	0.8	0.05	0.838796589670203	0
450	0.3	0.8	0.05	0.844895886831673	0
500	0.3	0.8	0.05	0.849778009213524	3.5956967967365e-05
50	0.3	0.9	0.05	0.61605428129873	0.00167148532096031
100	0.3	0.9	0.05	0.699960932305406	0.000895840208459098
150	0.3	0.9	0.05	0.750270953040262	0.000314082409170553
200	0.3	0.9	0.05	0.782587790612486	0
250	0.3	0.9	0.05	0.804751735798288	0
300	0.3	0.9	0.05	0.820046053696171	0
350	0.3	0.9	0.05	0.83083517354506	0
400	0.3	0.9	0.05	0.838796589670203	0
450	0.3	0.9	0.05	0.844895886831673	0
500	0.3	0.9	0.05	0.849751253949335	2.02604551515333e-05
50	0.3	1	0.05	0.61224636918223	0.000772085443248722
100	0.3	1	0.05	0.698228495232607	0.000408768671782117
150	0.3	1	0.05	0.749743990832054	0.000139259606701146
200	0.3	1	0.05	0.782587790612486	0
250	0.3	1	0.05	0.804751735798288	0
300	0.3	1	0.05	0.820046053696171	0
350	0.3	1	0.05	0.83083517354506	0
400	0.3	1	0.05	0.838796589670203	0
450	0.3	1	0.05	0.844895886831673	0
500	0.3	1	0.05	0.849732976242139	9.5366197103629e-06
50	0.1	0.1	0.1	0.832630023591287	0.0971662508788325
100	0.1	0.1	0.1	0.793347504457176	0.0942056911257818
150	0.1	0.1	0.1	0.768122180596698	0.0912775533055672
200	0.1	0.1	0.1	0.751475767049848	0.0885722609292129
250	0.1	0.1	0.1	0.73979939417102	0.0861072770872077
300	0.1	0.1	0.1	0.734103470481033	0.0838752932365111
350	0.1	0.1	0.1	0.733547513030332	0.0818959904231496
400	0.1	0.1	0.1	0.73603629967343	0.0801376781386156
450	0.1	0.1	0.1	0.73763746940406	0.0783523035213951
500	0.1	0.1	0.1	0.73690512398466	0.0763560524313956
50	0.1	0.2	0.1	0.643896623640245	0.0858962720797885
100	0.1	0.2	0.1	0.583491001728057	0.0761539755282898
150	0.1	0.2	0.1	0.549439100993175	0.066709018682124
200	0.1	0.2	0.1	0.529416100181532	0.0581770757294179
250	0.1	0.2	0.1	0.517450011822709	0.0507337143898961
300	0.1	0.2	0.1	0.515254720054315	0.0444258375373597
350	0.1	0.2	0.1	0.520756479486128	0.0391949557444589
400	0.1	0.2	0.1	0.530522948868073	0.0348463969659435
450	0.1	0.2	0.1	0.540069297048034	0.0310943557167464
500	0.1	0.2	0.1	0.547644275462362	0.0276403664379491
50	0.1	0.3	0.1	0.471510344116321	0.0671135349192669
100	0.1	0.3	0.1	0.433161735236993	0.051349525290255
150	0.1	0.3	0.1	0.413892389416775	0.0367517014231215
200	0.1	0.3	0.1	0.406784469191667	0.0250053376691719
250	0.1	0.3	0.1	0.407706390486017	0.0166455607728718
300	0.1	0.3	0.1	0.41814198761632	0.0112565897740646
350	0.1	0.3	0.1	0.43537279453112	0.00800279246456557
400	0.1	0.3	0.1	0.45553516198314	0.0059921726062123
450	0.1	0.3	0.1	0.474095472205545	0.00457579459868419
500	0.1	0.3	0.1	0.48963112857788	0.00339118088073885
50	0.1	0.4	0.1	0.362512100683544	0.0450770575955187
100	0.1	0.4	0.1	0.356365281235618	0.0295555169616801
150	0.1	0.4	0.1	0.357175074552295	0.0164301838400073
200	0.1	0.4	0.1	0.364303770004104	0.00740612695344505
250	0.1	0.4	0.1	0.375985900246748	0.00239501563497718
300	0.1	0.4	0.1	0.394542029421512	0.000242986003804394
350	0.1	0.4	0.1	0.418459621088181	0
400	0.1	0.4	0.1	0.442985073126872	0
450	0.1	0.4	0.1	0.464839116830113	0.000114778430729837
500	0.1	0.4	0.1	0.483605332933053	0.000459165645537331
50	0.1	0.5	0.1	0.304060926337619	0.0259432235281161
100	0.1	0.5	0.1	0.320014967419446	0.0150581793461393
150	0.1	0.5	0.1	0.335555244582872	0.00657618571929477
200	0.1	0.5	0.1	0.352328129022867	0.00154007712234994
250	0.1	0.5	0.1	0.37121278137198	0
300	0.1	0.5	0.1	0.394056873011648	0
350	0.1	0.5	0.1	0.418459621088181	0
400	0.1	0.5	0.1	0.442985073126872	0
450	0.1	0.5	0.1	0.464606792630379	0
500	0.1	0.5	0.1	0.483272438824621	0.000294545773135207
50	0.1	0.6	0.1	0.276004102890451	0.0134811214434522
100	0.1	0.6	0.1	0.303783830278985	0.00729014014739601
150	0.1	0.6	0.1	0.327906962595662	0.00272615820151277
200	0.1	0.6	0.1	0.349813006557472	0.000247803124133241
250	0.1	0.6	0.1	0.37121278137198	0
300	0.1	0.6	0.1	0.394056873011648	0
350	0.1	0.6	0.1	0.418459621088181	0
400	0.1	0.6	0.1	0.442985073126872	0
450	0.1	0.6	0.1	0.464606792630379	0
500	0.1	0.6	0.1	0.482984216831589	0.000151789584784325
50	0.1	0.7	0.1	0.26154426407454	0.00586042324257361
100	0.1	0.7	0.1	0.295675526230419	0.00303890593465883
150	0.1	0.7	0.1	0.324668177188159	0.0010317285133641
200	0.1	0.7	0.1	0.349335546103661	0
250	0.1	0.7	0.1	0.37121278137198	0
300	0.1	0.7	0.1	0.394056873011648	0
350	0.1	0.7	0.1	0.418459621088181	0
400	0.1	0.7	0.1	0.442985073126872	0
450	0.1	0.7	0.1	0.464606792630379	0
500	0.1	0.7	0.1	0.482796217874175	5.85599588927077e-05
50	0.1	0.8	0.1	0.25512801995851	0.00216022510486116
100	0.1	0.8	0.1	0.292149152488628	0.0011043952395803
150	0.1	0.8	0.1	0.323410787612894	0.000363176520134573
200	0.1	0.8	0.1	0.349335546103661	0
250	0.1	0.8	0.1	0.37121278137198	0
300	0.1	0.8	0.1	0.394056873011648	0
350	0.1	0.8	0.1	0.418459621088181	0
400	0.1	0.8	0.1	0.442985073126872	0
450	0.1	0.8	0.1	0.464606792630379	0
500	0.1	0.8	0.1	0.482722487116242	2.19719318390589e-05
50	0.1	0.9	0.1	0.252689046313343	0.000696835750051704
100	0.1	0.9	0.1	0.290808235518284	0.00035446445693176
150	0.1	0.9	0.1	0.322947291253689	0.000115195746986969
200	0.1	0.9	0.1	0.349335546103661	0
250	0.1	0.9	0.1	0.37121278137198	0
300	0.1	0.9	0.1	0.394056873011648	0
350	0.1	0.9	0.1	0.418459621088181	0
400	0.1	0.9	0.1	0.442985073126872	0
450	0.1	0.9	0.1	0.464606792630379	0
500	0.1	0.9	0.1	0.482692591852761	7.1328086707635e-06
50	0.1	1	0.1	0.252007908952397	0.000282313317271025
100	0.1	1	0.1	0.290433367252417	0.000143371511745396
150	0.1	1	0.1	0.322819026454413	4.64236702258743e-05
200	0.1	1	0.1	0.349335546103661	0
250	0.1	1	0.1	0.37121278137198	0
300	0.1	1	0.1	0.394056873011648	0
350	0.1	1	0.1	0.418459621088181	0
400	0.1	1	0.1	0.442985073126872	0
450	0.1	1	0.1	0.464606792630379	0
500	0.1	1	0.1	0.482684054621036	2.89476149078459e-06
50	0.3	0.1	0.1	0.793638305402407	0.0890979700977726
100	0.3	0.1	0.1	0.79498682237466	0.083340367227595
150	0.3	0.1	0.1	0.797444945525855	0.0778588378811094
200	0.3	0.1	0.1	0.801646316870202	0.0734293417173992
250	0.3	0.1	0.1	0.806809352928563	0.0702498870900563
300	0.3	0.1	0.1	0.811678272381312	0.0680024153369927
350	0.3	0.1	0.1	0.81562098311596	0.0663273334653181
400	0.3	0.1	0.1	0.818793236695544	0.0650276115164677
450	0.3	0.1	0.1	0.82116401789711	0.0638772453638805
500	0.3	0.1	0.1	0.822551681510449	0.0626073723472143
50	0.3	0.2	0.1	0.704474973950623	0.077125451873489
100	0.3	0.2	0.1	0.726159477656229	0.0693464707181592
150	0.3	0.2	0.1	0.740103634617368	0.0621717719018584
200	0.3	0.2	0.1	0.751862952436312	0.0565531408091295
250	0.3	0.2	0.1	0.762415539978018	0.0526397739367333
300	0.3	0.2	0.1	0.771402878422588	0.0500337272468808
350	0.3	0.2	0.1	0.778557227942509	0.048246162080427
400	0.3	0.2	0.1	0.783963851510292	0.0467898504620603
450	0.3	0.2	0.1	0.78787890873036	0.0453986509315245
500	0.3	0.2	0.1	0.790713220462041	0.044022711768431
50	0.3	0.3	0.1	0.645707579803485	0.0671933225281642
100	0.3	0.3	0.1	0.6833203646647	0.058943405669624
150	0.3	0.3	0.1	0.706081836311185	0.0513578796767337
200	0.3	0.3	0.1	0.723284991484684	0.0454920995010914
250	0.3	0.3	0.1	0.737524313529776	0.0415044089557758
300	0.3	0.3	0.1	0.749212972034944	0.0389743449736408
350	0.3	0.3	0.1	0.758241488302832	0.0372533705769767
400	0.3	0.3	0.1	0.765032249249081	0.0358489292379867
450	0.3	0.3	0.1	0.770009811392539	0.0344872522352779
500	0.3	0.3	0.1	0.773580799112628	0.0330539006471146
50	0.3	0.4	0.1	0.571848588094967	0.051386652534294
100	0.3	0.4	0.1	0.623519912419961	0.0415253531362768
150	0.3	0.4	0.1	0.655249772918064	0.0325317259808012
200	0.3	0.4	0.1	0.678208559589663	0.0255142951387668
250	0.3	0.4	0.1	0.696208332674285	0.0205785538947714
300	0.3	0.4	0.1	0.710469033689234	0.0172856011502322
350	0.3	0.4	0.1	0.721560306550737	0.0150914262696061
400	0.3	0.4	0.1	0.73023086734346	0.0135026024408172
450	0.3	0.4	0.1	0.737012206896351	0.0121981378126427
500	0.3	0.4	0.1	0.742290715482311	0.0109763125928387
50	0.3	0.5	0.1	0.513593883897222	0.0351744810152423
100	0.3	0.5	0.1	0.578535611774102	0.0254996675876418
150	0.3	0.5	0.1	0.619302451138547	0.0167997889235527
200	0.3	0.5	0.1	0.648519717711269	0.010298222515812
250	0.3	0.5	0.1	0.671230340162483	0.00616565563301485
300	0.3	0.5	0.1	0.689179754369042	0.00385636363799824
350	0.3	0.5	0.1	0.703150250316732	0.00266610473783663
400	0.3	0.5	0.1	0.714143737527719	0.00204888371453039
450	0.3	0.5	0.1	0.722867516482443	0.00167475330956591
500	0.3	0.5	0.1	0.729840687138418	0.00136020183893161
50	0.3	0.6	0.1	0.474492358219469	0.0216487326606247
100	0.3	0.6	0.1	0.550682281890032	0.0139410945707717
150	0.3	0.6	0.1	0.600083357880815	0.00737673734675975
200	0.3	0.6	0.1	0.635386318877308	0.00294708425142081
250	0.3	0.6	0.1	0.662220243176068	0.000588216021727984
300	0.3	0.6	0.1	0.683400853205381	0
350	0.3	0.6	0.1	0.699379214213298	0
400	0.3	0.6	0.1	0.711378161203395	0
450	0.3	0.6	0.1	0.720693141708182	0
500	0.3	0.6	0.1	0.728305482282965	0.000138432890618981
50	0.3	0.7	0.1	0.450027746844439	0.0117563312172036
100	0.3	0.7	0.1	0.53523687986512	0.00688068625005417
150	0.3	0.7	0.1	0.591603254470208	0.00296305212820567
200	0.3	0.7	0.1	0.631324901233491	0.000588968258967312
250	0.3	0.7	0.1	0.661289851708972	0
300	0.3	0.7	0.1	0.683400853205381	0
350	0.3	0.7	0.1	0.699379214213298	0
400	0.3	0.7	0.1	0.711378161203395	0
450	0.3	0.7	0.1	0.720693141708182	0
500	0.3	0.7	0.1	0.728266686206375	0.000107452089448324
50	0.3	0.8	0.1	0.438541670814965	0.00665411170134647
100	0.3	0.8	0.1	0.528586325040394	0.00368054306123909
150	0.3	0.8	0.1	0.588653622583678	0.00138859128722709
200	0.3	0.8	0.1	0.630480930261472	9.37210761622742e-05
250	0.3	0.8	0.1	0.661289851708972	0
300	0.3	0.8	0.1	0.683400853205381	0
350	0.3	0.8	0.1	0.699379214213298	0
400	0.3	0.8	0.1	0.711378161203395	0
450	0.3	0.8	0.1	0.720693141708182	0
500	0.3	0.8	0.1	0.728227189110217	7.59061219822188e-05
50	0.3	0.9	0.1	0.431832004338696	0.00352214987556595
100	0.3	0.9	0.1	0.524953608623006	0.00188933761274604
150	0.3	0.9	0.1	0.587306948121214	0.000662831548549342
200	0.3	0.9	0.1	0.630321564087169	0
250	0.3	0.9	0.1	0.661289851708972	0
300	0.3	0.9	0.1	0.683400853205381	0
350	0.3	0.9	0.1	0.699379214213298	0
400	0.3	0.9	0.1	0.711378161203395	0
450	0.3	0.9	0.1	0.720693141708182	0
500	0.3	0.9	0.1	0.728185709747573	4.27711091397497e-05
50	0.3	1	0.1	0.427893751628631	0.001628561059872
100	0.3	1	0.1	0.522899439050168	0.00086256431901668
150	0.3	1	0.1	0.586625574107587	0.000293947019762016
200	0.3	1	0.1	0.630321564087169	0
250	0.3	1	0.1	0.661289851708972	0
300	0.3	1	0.1	0.683400853205381	0
350	0.3	1	0.1	0.699379214213298	0
400	0.3	1	0.1	0.711378161203395	0
450	0.3	1	0.1	0.720693141708182	0
500	0.3	1	0.1	0.728157374570908	2.01326505025088e-05
50	0.1	0.1	0.15	0.758002462279806	0.145979192100094
100	0.1	0.1	0.15	0.707360549827527	0.141764886432845
150	0.1	0.1	0.15	0.675926652244349	0.137583030318357
200	0.1	0.1	0.15	0.655628902315747	0.133707264577967
250	0.1	0.1	0.15	0.64159707243783	0.13016555674898
300	0.1	0.1	0.15	0.634812606400563	0.126950181213455
350	0.1	0.1	0.15	0.634152505801581	0.124092076827668
400	0.1	0.1	0.15	0.637110405470717	0.121547750846164
450	0.1	0.1	0.15	0.63901734691504	0.118959116868387
500	0.1	0.1	0.15	0.638144761152203	0.116058569047902
50	0.1	0.2	0.15	0.53237802766824	0.129861928848389
100	0.1	0.2	0.15	0.46866547874239	0.115764588408066
150	0.1	0.2	0.15	0.434326910770005	0.101949075109206
200	0.1	0.2	0.15	0.414638370064329	0.0893414586265499
250	0.1	0.2	0.15	0.40304461518118	0.078242069440272
300	0.1	0.2	0.15	0.400931418473696	0.0687617431304541
350	0.1	0.2	0.15	0.406235469690723	0.060847911362956
400	0.1	0.2	0.15	0.415717240523546	0.0542326236908307
450	0.1	0.2	0.15	0.425068176366432	0.0484980845544115
500	0.1	0.2	0.15	0.432547119266732	0.0431970627870503
50	0.1	0.3	0.15	0.35969096059362	0.102543804176283
100	0.1	0.3	0.15	0.324846708893841	0.0791639340300793
150	0.1	0.3	0.15	0.307779502045843	0.0571351643191814
200	0.1	0.3	0.15	0.30155630307548	0.0391386682884064
250	0.1	0.3	0.15	0.30236129479643	0.0261807184393496
300	0.1	0.3	0.15	0.311518672542286	0.0177605115279569
350	0.1	0.3	0.15	0.326823659503668	0.0126507636577973
400	0.1	0.3	0.15	0.345030923298216	0.00948355232606786
450	0.1	0.3	0.15	0.362083051040835	0.00724792963480748
500	0.1	0.3	0.15	0.376576475240922	0.00537527050789396
50	0.1	0.4	0.15	0.263646528969087	0.0697436568649856
100	0.1	0.4	0.15	0.258496331894227	0.0461389617239469
150	0.1	0.4	0.15	0.259173282708211	0.0258452087277875
200	0.1	0.4	0.15	0.265152805854409	0.0117116498872953
250	0.1	0.4	0.15	0.275031046708079	0.00379849691466961
300	0.1	0.4	0.15	0.290927641525502	0.000385863794570829
350	0.1	0.4	0.15	0.311798713897494	0
400	0.1	0.4	0.15	0.333659567488547	0
450	0.1	0.4	0.15	0.353543453879034	0.000182282847547864
500	0.1	0.4	0.15	0.37093080857939	0.000729066165184952
50	0.1	0.5	0.15	0.215741535524033	0.0405845931494353
100	0.1	0.5	0.15	0.228583557108838	0.0237059504594045
150	0.1	0.5	0.15	0.241259143181058	0.0104042829090646
200	0.1	0.5	0.15	0.255128421796688	0.00244379094342415
250	0.1	0.5	0.15	0.270982992041733	0
300	0.1	0.5	0.15	0.29050876245795	0
350	0.1	0.5	0.15	0.311798713897494	0
400	0.1	0.5	0.15	0.333659567488547	0
450	0.1	0.5	0.15	0.353330029306583	0
500	0.1	0.5	0.15	0.370619809304052	0.000467726953216475
50	0.1	0.6	0.15	0.193567561510011	0.0212427364631003
100	0.1	0.6	0.15	0.215520001075029	0.0115290177897179
150	0.1	0.6	0.15	0.234999988458549	0.00432284845606593
200	0.1	0.6	0.15	0.253036083004024	0.000393512306812199
250	0.1	0.6	0.15	0.270982992041733	0
300	0.1	0.6	0.15	0.29050876245795	0
350	0.1	0.6	0.15	0.311798713897494	0
400	0.1	0.6	0.15	0.333659567488547	0
450	0.1	0.6	0.15	0.353330029306583	0
500	0.1	0.6	0.15	0.370350619444071	0.000241056052423276
50	0.1	0.7	0.15	0.182338864050764	0.0092757546510584
100	0.1	0.7	0.15	0.209060133137373	0.00481788524911928
150	0.1	0.7	0.15	0.232361599301317	0.00163763376037532
200	0.1	0.7	0.15	0.252639387723694	0
250	0.1	0.7	0.15	0.270982992041733	0
300	0.1	0.7	0.15	0.29050876245795	0
350	0.1	0.7	0.15	0.311798713897494	0
400	0.1	0.7	0.15	0.333659567488547	0
450	0.1	0.7	0.15	0.353330029306583	0
500	0.1	0.7	0.15	0.370175072315262	9.30037898307067e-05
50	0.1	0.8	0.15	0.177398913918636	0.00342659151418358
100	0.1	0.8	0.15	0.206264254176699	0.00175290073625779
150	0.1	0.8	0.15	0.231339238635055	0.000576686567848487
200	0.1	0.8	0.15	0.252639387723694	0
250	0.1	0.8	0.15	0.270982992041733	0
300	0.1	0.8	0.15	0.29050876245795	0
350	0.1	0.8	0.15	0.311798713897494	0
400	0.1	0.8	0.15	0.333659567488547	0
450	0.1	0.8	0.15	0.353330029306583	0
500	0.1	0.8	0.15	0.370106233130157	3.48961466057085e-05
50	0.1	0.9	0.15	0.175527910781248	0.00110628566220024
100	0.1	0.9	0.15	0.205203258482596	0.000562855600829925
150	0.1	0.9	0.15	0.230962650980014	0.00018294555430296
200	0.1	0.9	0.15	0.252639387723694	0
250	0.1	0.9	0.15	0.270982992041733	0
