n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
20	20	0	0	0	0	0	0	0	0	0	0	0	0	0
40	20	0	0	1	1	1	1	1	1	1	1	1	1	1
80	20	0	0	0	0	0	0	0	0	0	0	0	0	0
160	20	0	0	0	0	0	0	0	0	0	0	0	0	0
320	20	0	0	0	0	0	0	0	0	0	0	0	0	0
20	40	0	0	0	0	0	0	0	0	0	0	0	0	0
40	40	0	0	0	0	0	0	0	0	0	0	0	0	0
80	40	0	0	0	0	0	0	0	0	0	0	0	0	0
160	40	0	0	0	0	0	0	0	0	0	0	0	0	0
320	40	0	0	1	1	1	1	1	0	1	1	1	1	1
20	80	0	0	0	0	0	0	0	0	0	0	0	0	0
40	80	0	0	0	0	0	0	0	0	0	0	0	0	0
80	80	0	0	0	0	0	0	0	0	0	0	0	0	0
160	80	0	0	0	0	0	0	0	0	0	0	0	0	0
320	80	0	0	0	0	0	0	0	0	0	0	0	0	0
20	160	0	0	0	0	0	0	0	0	0	0	0	0	0
40	160	0	0	0	0	0	0	0	0	0	0	0	0	0
80	160	0	0	0	0	0	0	0	0	0	0	0	0	0
160	160	0	0	0	0	0	0	0	0	0	0	0	0	0
320	160	0	0	0	0	0	0	0	0	0	0	0	0	0
20	320	0	0	1	1	1	1	0	1	1	1	1	1	0
40	320	0	0	0	0	0	0	0	0	0	0	0	0	0
80	320	0	0	1	1	1	1	0	1	1	1	1	1	0
160	320	0	0	0	0	0	0	0	0	0	0	0	0	0
320	320	0	0	1	1	1	1	1	1	1	1	1	1	1
20	20	0.2	0	1	1	1	1	1	1	1	1	1	1	0
40	20	0.2	0	0	0	0	0	0	0	0	0	0	0	0
80	20	0.2	0	0	0	0	0	0	0	0	0	0	0	0
160	20	0.2	0	0	0	0	0	0	0	0	0	0	0	0
320	20	0.2	0	1	1	1	1	1	0	1	1	1	1	1
20	40	0.2	0	0	0	0	0	0	0	0	0	0	0	0
40	40	0.2	0	0	0	0	0	0	0	0	0	0	0	0
80	40	0.2	0	0	0	0	0	0	0	0	0	0	0	0
160	40	0.2	0	0	0	0	0	0	0	0	0	0	0	0
320	40	0.2	0	1	1	1	1	1	0	1	1	1	1	1
20	80	0.2	0	0	0	0	0	0	0	0	0	0	0	0
40	80	0.2	0	0	0	0	0	0	0	0	0	0	0	0
80	80	0.2	0	0	0	0	0	0	0	0	0	0	0	0
160	80	0.2	0	0	0	0	0	0	0	0	0	0	0	0
320	80	0.2	0	1	1	1	1	1	0	1	1	1	1	1
20	160	0.2	0	0	0	0	0	0	0	0	0	0	0	0
40	160	0.2	0	1	1	1	1	0	1	1	1	1	1	0
80	160	0.2	0	0	0	0	0	0	0	0	0	0	0	0
160	160	0.2	0	0	0	0	0	0	0	0	0	0	0	0
320	160	0.2	0	1	1	1	1	1	1	1	1	1	1	1
20	320	0.2	0	0	0	0	0	0	0	0	0	0	0	0
40	320	0.2	0	0	0	0	0	0	0	0	0	0	0	0
80	320	0.2	0	1	1	1	1	0	0	1	1	1	1	0
160	320	0.2	0	1	1	1	1	1	1	1	1	1	1	0
320	320	0.2	0	1	1	1	1	1	1	1	1	1	1	0.333333333333333
20	20	0.5	0	1	1	1	1	1	1	1	1	1	1	1
40	20	0.5	0	1	1	1	1	1	1	1	1	1	1	1
80	20	0.5	0	1	1	1	1	1	1	1	1	1	1	1
160	20	0.5	0	1	1	1	1	1	0.333333333333333	1	1	1	1	1
320	20	0.5	0	1	1	1	1	1	0.333333333333333	1	1	1	1	1
20	40	0.5	0	1	1	1	1	1	1	1	1	1	1	0
40	40	0.5	0	1	1	1	1	1	1	1	1	1	1	0
80	40	0.5	0	1	1	1	1	1	0.666666666666667	1	1	1	1	0.333333333333333
160	40	0.5	0	1	1	1	1	1	1	1	1	1	1	0.666666666666667
320	40	0.5	0	1	1	1	1	1	1	1	1	1	1	0.333333333333333
20	80	0.5	0	1	1	1	1	1	1	1	1	1	1	0
40	80	0.5	0	0	0	0	0	0	0	0	0	0	0	0
80	80	0.5	0	1	1	1	1	1	1	1	1	1	1	0.5
160	80	0.5	0	1	1	1	1	1	0.5	1	1	1	1	0
320	80	0.5	0	1	1	1	1	1	1	1	1	1	1	0
20	160	0.5	0	1	1	1	1	0	0	0	0	0	1	0
40	160	0.5	0	0	0	0	0	0	0	0	0	0	0	0
80	160	0.5	0	1	1	1	1	0	0	1	0	0	1	0
160	160	0.5	0	1	1	1	1	1	1	1	1	1	1	1
320	160	0.5	0	1	1	1	1	0	0	1	1	1	1	0
20	320	0.5	0	1	1	1	1	0	0	0	0	0	1	0
40	320	0.5	0	1	1	1	1	0	0	0	0	0	1	0
80	320	0.5	0	1	1	1	1	0	0.666666666666667	1	1	1	1	0
160	320	0.5	0	1	1	1	1	0	0	0.5	0.25	0.25	1	0
320	320	0.5	0	1	1	1	1	0	0	0.25	0	0	1	0
20	20	0.8	0	0	0	0	0	0	0	0	0	0	0	0
40	20	0.8	0	1	1	1	1	1	1	1	1	1	1	0.333333333333333
80	20	0.8	0	1	1	1	1	1	1	1	1	1	1	0.333333333333333
160	20	0.8	0	1	1	1	1	1	0.666666666666667	1	1	1	1	0.333333333333333
320	20	0.8	0	1	1	1	1	1	0.666666666666667	1	1	1	1	0
20	40	0.8	0	1	1	1	1	0.5	0.5	1	1	1	1	0
40	40	0.8	0	1	1	1	1	0.5	0.5	1	0.5	1	1	0
80	40	0.8	0	1	1	1	1	1	0.666666666666667	1	1	1	1	0
160	40	0.8	0	1	1	1	1	1	0.666666666666667	1	1	1	1	0.333333333333333
320	40	0.8	0	1	1	1	1	1	0.333333333333333	1	1	1	1	0
20	80	0.8	0	1	1	1	1	0	1	1	1	1	1	0
40	80	0.8	0	1	1	1	1	1	1	1	1	1	1	0
80	80	0.8	0	1	1	1	1	0.5	0.5	1	1	1	1	0
160	80	0.8	0	1	1	1	1	0	0	0.5	0.5	0.5	1	0
320	80	0.8	0	1	1	1	1	0	0	0.5	0	0	1	0
20	160	0.8	0	0	0	0	0	0	0	0	0	0	0	0
40	160	0.8	0	1	1	1	1	0	1	1	1	1	1	0
80	160	0.8	0	1	1	1	1	0	0	0	0	0	1	0
160	160	0.8	0	1	1	1	1	0	0	1	0	0	1	0
320	160	0.8	0	1	1	1	1	0	0	0	0	0	1	0
20	320	0.8	0	1	1	1	1	0	0.25	0.75	0.25	0.25	1	0
40	320	0.8	0	1	1	1	1	0	0	0.25	0	0	1	0
80	320	0.8	0	1	1	1	1	0	0	0.5	0	0	0.75	0
160	320	0.8	0	1	1	1	1	0	0	0	0	0	0.25	0
320	320	0.8	0	1	1	1	1	0	0	0	0	0	0	0
20	20	1	0	1	1	1	1	1	1	1	1	1	1	0
40	20	1	0	1	1	1	1	0.666666666666667	0.666666666666667	1	1	1	1	0.333333333333333
80	20	1	0	1	1	1	1	1	0.666666666666667	1	1	1	1	0.666666666666667
160	20	1	0	1	1	1	1	1	1	1	1	1	1	0
320	20	1	0	1	1	1	1	1	0	1	1	1	1	0
20	40	1	0	1	1	1	1	0.333333333333333	0.333333333333333	1	0.666666666666667	1	1	0
40	40	1	0	1	1	1	1	0.333333333333333	0.333333333333333	1	1	1	1	0
80	40	1	0	1	1	1	1	0	0	1	0	0	1	0
160	40	1	0	1	1	1	1	0.666666666666667	0	1	0.666666666666667	0.666666666666667	1	0
320	40	1	0	1	1	1	1	0.333333333333333	0	1	0.333333333333333	0.333333333333333	1	0
20	80	1	0	1	1	1	1	0	0.5	0.5	0.5	0.5	1	0
40	80	1	0	1	1	1	1	0	0	1	0	0.5	1	0
80	80	1	0	1	1	1	1	0	0	0.5	0	0	1	0
160	80	1	0	1	1	1	1	0	0	0	0	0	1	0
320	80	1	0	1	1	1	1	0	0	0	0	0	1	0
20	160	1	0	1	1	1	1	0	0	0	0	0	1	0
40	160	1	0	1	1	1	1	0	0	1	0	0	1	0
80	160	1	0	1	1	1	1	0	0	0	0	0	0	0
160	160	1	0	1	1	1	1	0	0	0	0	0	1	0
320	160	1	0	1	1	1	1	0	0	0	0	0	0	0
20	320	1	0	1	1	1	1	0	0	0.5	0	0	0.75	0
40	320	1	0	1	1	1	1	0	0	0.25	0	0	0.5	0
80	320	1	0	1	1	1	1	0	0	0	0	0	0.5	0
160	320	1	0	1	1	1	1	0	0	0	0	0	0	0
320	320	1	0	1	1	1	1	0	0	0	0	0	0	0
20	20	0	0.2	0	0	0	0	0	0	0	0	0	0	0
40	20	0	0.2	0	0	0	0	0	0	0	0	0	0	0
80	20	0	0.2	0	0	0	0	0	0	0	0	0	0	0
160	20	0	0.2	0	0	0	0	0	0	0	0	0	0	0
320	20	0	0.2	0	0	0	0	0	0	0	0	0	0	0
20	40	0	0.2	0	0	0	0	0	0	0	0	0	0	0
40	40	0	0.2	0	0	0	0	0	0	0	0	0	0	0
80	40	0	0.2	0	0	0	0	0	0	0	0	0	0	0
160	40	0	0.2	0	0	0	0	0	0	0	0	0	0	0
320	40	0	0.2	1	1	1	1	0	0	0	0	0	1	1
20	80	0	0.2	0	0	0	0	0	0	0	0	0	0	0
40	80	0	0.2	0	0	0	0	0	0	0	0	0	0	0
80	80	0	0.2	0	0	0	0	0	0	0	0	0	0	0
