n1	n2	d1	d2	sig1	sig2	sdir
200	450	0	0	0.0517	0.0309477756286267	0.5034
250	450	0	0	0.0489	0.0143149284253579	0.4997
300	450	0	0	0.0496	0.0181451612903226	0.5029
350	450	0	0	0.0504	0.0297619047619048	0.5065
400	450	0	0	0.0494	0.0384615384615385	0.5089
450	450	0	0	0.0489	0.0245398773006135	0.497
500	450	0	0	0.0511	0.0136986301369863	0.5093
20	500	0	0	0.0491	0.0244399185336049	0.502
50	500	0	0	0.0498	0.034136546184739	0.5091
100	500	0	0	0.0501	0.0159680638722555	0.5004
150	500	0	0	0.0506	0.0158102766798419	0.503
200	500	0	0	0.0517	0.0251450676982592	0.4997
250	500	0	0	0.0489	0.0265848670756646	0.4972
300	500	0	0	0.0496	0.0221774193548387	0.5054
350	500	0	0	0.0504	0.0297619047619048	0.5034
400	500	0	0	0.0494	0.0283400809716599	0.497
450	500	0	0	0.0489	0.0306748466257669	0.5013
500	500	0	0	0.0511	0.025440313111546	0.5002
20	20	0.1	0	0.0595	0.0235294117647059	0.497
50	20	0.1	0	0.0776	0.0193298969072165	0.5028
100	20	0.1	0	0.1055	0.0360189573459716	0.5037
150	20	0.1	0	0.138	0.0311594202898551	0.4953
200	20	0.1	0	0.1679	0.0232281119714116	0.5103
250	20	0.1	0	0.2074	0.0284474445515911	0.5015
300	20	0.1	0	0.2253	0.0235241899689303	0.5109
350	20	0.1	0	0.2605	0.0257197696737044	0.5029
400	20	0.1	0	0.2881	0.0225616105518917	0.5059
450	20	0.1	0	0.3239	0.0274776165483174	0.5054
500	20	0.1	0	0.354	0.023728813559322	0.5085
20	50	0.1	0	0.0595	0.0235294117647059	0.4981
50	50	0.1	0	0.0776	0.0231958762886598	0.5085
100	50	0.1	0	0.1055	0.018957345971564	0.498
150	50	0.1	0	0.138	0.0239130434782609	0.5068
200	50	0.1	0	0.1679	0.0220369267421084	0.502
250	50	0.1	0	0.2074	0.0260366441658631	0.5064
300	50	0.1	0	0.2253	0.0275188637372392	0.5052
350	50	0.1	0	0.2605	0.0238003838771593	0.509
400	50	0.1	0	0.2881	0.0246442207566817	0.5008
450	50	0.1	0	0.3239	0.0216116085211485	0.5041
500	50	0.1	0	0.354	0.0234463276836158	0.5068
20	100	0.1	0	0.0595	0.0134453781512605	0.5022
50	100	0.1	0	0.0776	0.0231958762886598	0.4978
100	100	0.1	0	0.1055	0.0199052132701422	0.4953
150	100	0.1	0	0.138	0.0268115942028985	0.4979
200	100	0.1	0	0.1679	0.0238237045860631	0.5021
250	100	0.1	0	0.2074	0.023625843780135	0.4931
300	100	0.1	0	0.2253	0.0213049267643142	0.4915
350	100	0.1	0	0.2605	0.0203454894433781	0.4989
400	100	0.1	0	0.2881	0.0274210343630684	0.4979
450	100	0.1	0	0.3239	0.024390243902439	0.4966
500	100	0.1	0	0.354	0.0200564971751412	0.4957
20	150	0.1	0	0.0595	0.0235294117647059	0.498
50	150	0.1	0	0.0776	0.0231958762886598	0.5048
100	150	0.1	0	0.1055	0.0208530805687204	0.4997
150	150	0.1	0	0.138	0.0210144927536232	0.4935
200	150	0.1	0	0.1679	0.0232281119714116	0.4941
250	150	0.1	0	0.2074	0.0226615236258438	0.4953
300	150	0.1	0	0.2253	0.0261873058144696	0.5035
350	150	0.1	0	0.2605	0.0330134357005758	0.4973
400	150	0.1	0	0.2881	0.0253384241582784	0.4949
450	150	0.1	0	0.3239	0.026242667489966	0.4966
500	150	0.1	0	0.354	0.0248587570621469	0.4955
20	200	0.1	0	0.0595	0.00840336134453781	0.5147
50	200	0.1	0	0.0776	0.0244845360824742	0.5019
100	200	0.1	0	0.1055	0.0369668246445498	0.5026
150	200	0.1	0	0.138	0.0202898550724638	0.4984
200	200	0.1	0	0.1679	0.0250148898153663	0.4982
250	200	0.1	0	0.2074	0.0294117647058824	0.5038
300	200	0.1	0	0.2253	0.0288504216600089	0.504
350	200	0.1	0	0.2605	0.0230326295585413	0.5018
400	200	0.1	0	0.2881	0.0308920513710517	0.5044
450	200	0.1	0	0.3239	0.0280950910774931	0.5035
500	200	0.1	0	0.354	0.0290960451977401	0.5056
20	250	0.1	0	0.0595	0.0319327731092437	0.4962
50	250	0.1	0	0.0776	0.0206185567010309	0.4906
100	250	0.1	0	0.1055	0.0199052132701422	0.5033
150	250	0.1	0	0.138	0.0188405797101449	0.4953
200	250	0.1	0	0.1679	0.0273972602739726	0.4951
250	250	0.1	0	0.2074	0.0202507232401157	0.4951
300	250	0.1	0	0.2253	0.0248557478917	0.4911
350	250	0.1	0	0.2605	0.0230326295585413	0.4959
400	250	0.1	0	0.2881	0.0256855258590767	0.4959
450	250	0.1	0	0.3239	0.024390243902439	0.4942
500	250	0.1	0	0.354	0.0248587570621469	0.4947
20	300	0.1	0	0.0595	0.0403361344537815	0.5012
50	300	0.1	0	0.0776	0.0206185567010309	0.4994
100	300	0.1	0	0.1055	0.023696682464455	0.5025
150	300	0.1	0	0.138	0.0173913043478261	0.5017
200	300	0.1	0	0.1679	0.026801667659321	0.4953
250	300	0.1	0	0.2074	0.0255544840887175	0.4985
300	300	0.1	0	0.2253	0.0221926320461607	0.5047
350	300	0.1	0	0.2605	0.0218809980806142	0.5039
400	300	0.1	0	0.2881	0.0211732037486984	0.4997
450	300	0.1	0	0.3239	0.0237727693732634	0.5032
500	300	0.1	0	0.354	0.0242937853107345	0.5053
20	350	0.1	0	0.0595	0.0319327731092437	0.5044
50	350	0.1	0	0.0776	0.0270618556701031	0.4922
100	350	0.1	0	0.1055	0.0293838862559242	0.4957
150	350	0.1	0	0.138	0.0181159420289855	0.5065
200	350	0.1	0	0.1679	0.0214413341274568	0.4955
250	350	0.1	0	0.2074	0.0221793635486982	0.5025
300	350	0.1	0	0.2253	0.0221926320461607	0.4989
350	350	0.1	0	0.2605	0.0264875239923225	0.4977
400	350	0.1	0	0.2881	0.0263797292606734	0.5025
450	350	0.1	0	0.3239	0.0259339302253782	0.4992
500	350	0.1	0	0.354	0.0265536723163842	0.5003
20	400	0.1	0	0.0595	0.0235294117647059	0.504
50	400	0.1	0	0.0776	0.0206185567010309	0.4972
100	400	0.1	0	0.1055	0.0199052132701422	0.5017
150	400	0.1	0	0.138	0.0398550724637681	0.4993
200	400	0.1	0	0.1679	0.0250148898153663	0.5013
250	400	0.1	0	0.2074	0.0241080038572806	0.5045
300	400	0.1	0	0.2253	0.0239680426098535	0.5023
350	400	0.1	0	0.2605	0.0272552783109405	0.5017
400	400	0.1	0	0.2881	0.0232558139534884	0.5043
450	400	0.1	0	0.3239	0.0237727693732634	0.5022
