n1	n2	d1	d2	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	d2.scp1	big2
160	160	0	0.5	1	1	1	1	0.615384615384615	0.615384615384615	0.961538461538462	0.730769230769231	0.730769230769231	1	1	0.961538461538462
320	160	0	0.5	1	1	1	1	0.2	0	0.64	0.28	0.28	0.96	1	1
20	320	0	0.5	1	1	1	1	0.173913043478261	1	1	1	1	1	0.869565217391304	0
40	320	0	0.5	1	1	1	1	0.846153846153846	1	1	1	1	1	1	0.423076923076923
80	320	0	0.5	1	1	1	1	0.55	1	1	1	1	1	1	0.9
160	320	0	0.5	1	1	1	1	0.192307692307692	0.538461538461538	0.961538461538462	0.769230769230769	0.730769230769231	1	1	1
320	320	0	0.5	1	1	1	1	0	0	0.28	0.08	0.08	0.88	1	1
20	20	0.2	0.5	1	1	1	1	1	1	1	1	1	1	1	0.692307692307692
40	20	0.2	0.5	1	1	1	1	0.94	0.8	1	0.98	0.96	1	1	0.96
80	20	0.2	0.5	1	1	1	1	0.89247311827957	0.21505376344086	0.989247311827957	0.946236559139785	0.903225806451613	1	1	1
160	20	0.2	0.5	1	1	1	1	0.712418300653595	0.0065359477124183	0.915032679738562	0.77124183006536	0.712418300653595	1	1	1
320	20	0.2	0.5	1	1	1	1	0.606870229007634	0	0.843511450381679	0.652671755725191	0.572519083969466	0.99236641221374	1	1
20	40	0.2	0.5	1	1	1	1	0.964285714285714	1	1	1	1	1	1	0.142857142857143
40	40	0.2	0.5	1	1	1	1	0.973684210526316	0.960526315789474	1	1	1	1	1	0.671052631578947
80	40	0.2	0.5	1	1	1	1	0.87741935483871	0.587096774193548	1	0.948387096774194	0.948387096774194	1	1	0.948387096774194
160	40	0.2	0.5	1	1	1	1	0.745318352059925	0.217228464419476	0.951310861423221	0.823970037453184	0.805243445692884	1	1	1
320	40	0.2	0.5	1	1	1	1	0.623471882640587	0.0122249388753056	0.872860635696821	0.699266503667482	0.655256723716381	0.992665036674817	1	1
20	80	0.2	0.5	1	1	1	1	0.7	0.975	1	0.9875	1	1	1	0.0875
40	80	0.2	0.5	1	1	1	1	0.972727272727273	0.990909090909091	1	1	1	1	1	0.4
80	80	0.2	0.5	1	1	1	1	0.898617511520737	0.894009216589862	1	0.990783410138249	0.986175115207373	1	1	0.815668202764977
160	80	0.2	0.5	1	1	1	1	0.690594059405941	0.425742574257426	0.96039603960396	0.844059405940594	0.836633663366337	1	1	0.957920792079208
320	80	0.2	0.5	1	1	1	1	0.517741935483871	0.130645161290323	0.862903225806452	0.608064516129032	0.590322580645161	0.991935483870968	1	0.988709677419355
20	160	0.2	0.5	1	1	1	1	0.402173913043478	0.978260869565217	1	0.978260869565217	1	1	0.978260869565217	0.0434782608695652
40	160	0.2	0.5	1	1	1	1	0.808	1	1	1	1	1	1	0.328
80	160	0.2	0.5	1	1	1	1	0.830645161290323	0.959677419354839	1	0.991935483870968	0.983870967741935	1	1	0.774193548387097
160	160	0.2	0.5	1	1	1	1	0.577181208053691	0.565995525727069	0.982102908277405	0.818791946308725	0.814317673378076	1	1	0.939597315436242
320	160	0.2	0.5	1	1	1	1	0.37410071942446	0.192805755395683	0.841726618705036	0.555395683453237	0.541007194244604	0.988489208633094	1	0.981294964028777
20	320	0.2	0.5	1	1	1	1	0.182795698924731	1	1	1	1	1	0.989247311827957	0.010752688172043
40	320	0.2	0.5	1	1	1	1	0.752	1	1	1	1	1	1	0.248
80	320	0.2	0.5	1	1	1	1	0.686746987951807	0.983935742971888	1	0.991967871485944	0.991967871485944	1	1	0.78714859437751
160	320	0.2	0.5	1	1	1	1	0.314031180400891	0.583518930957684	0.955456570155902	0.755011135857461	0.743875278396437	1	1	0.955456570155902
320	320	0.2	0.5	1	1	1	1	0.131994261119082	0.130559540889527	0.715925394548063	0.344332855093257	0.338593974175036	0.975609756097561	1	0.995695839311334
20	20	0.5	0.5	1	1	1	1	0.979865771812081	0.973154362416107	1	0.993288590604027	1	1	1	0.503355704697987
40	20	0.5	0.5	1	1	1	1	0.960869565217391	0.817391304347826	0.995652173913044	0.978260869565217	0.965217391304348	1	1	0.843478260869565
80	20	0.5	0.5	1	1	1	1	0.909365558912387	0.513595166163142	0.990936555891239	0.942598187311178	0.921450151057402	1	1	0.960725075528701
160	20	0.5	0.5	1	1	1	1	0.903225806451613	0.268817204301075	0.981182795698925	0.93010752688172	0.897849462365591	1	1	0.978494623655914
320	20	0.5	0.5	1	1	1	1	0.914438502673797	0.128342245989305	0.970588235294118	0.914438502673797	0.903743315508021	1	1	0.997326203208556
20	40	0.5	0.5	1	1	1	1	0.835555555555556	0.968888888888889	1	0.977777777777778	0.986666666666667	1	1	0.173333333333333
40	40	0.5	0.5	1	1	1	1	0.964383561643836	0.958904109589041	1	0.997260273972603	1	1	1	0.515068493150685
80	40	0.5	0.5	1	1	1	1	0.958490566037736	0.837735849056604	0.99811320754717	0.983018867924528	0.981132075471698	1	1	0.711320754716981
160	40	0.5	0.5	1	1	1	1	0.932773109243697	0.672268907563025	0.989915966386555	0.959663865546219	0.949579831932773	1	1	0.811764705882353
320	40	0.5	0.5	1	1	1	1	0.948160535117057	0.523411371237458	0.991638795986622	0.963210702341137	0.951505016722408	1	1	0.836120401337793
20	80	0.5	0.5	1	1	1	1	0.523809523809524	0.889880952380952	0.982142857142857	0.904761904761905	0.946428571428571	1	1	0.0357142857142857
40	80	0.5	0.5	1	1	1	1	0.829501915708812	0.946360153256705	0.996168582375479	0.977011494252874	0.978927203065134	1	1	0.262452107279693
80	80	0.5	0.5	1	1	1	1	0.906683480453972	0.905422446406053	0.998738965952081	0.981084489281211	0.98234552332913	1	1	0.517023959646911
160	80	0.5	0.5	1	1	1	1	0.922121896162528	0.796839729119639	0.99548532731377	0.969525959367946	0.966139954853273	1	1	0.579006772009029
320	80	0.5	0.5	1	1	1	1	0.942632170978628	0.688413948256468	0.993250843644544	0.958380202474691	0.957255343082115	1	1	0.598425196850394
20	160	0.5	0.5	1	1	1	1	0.235135135135135	0.878378378378378	0.978378378378378	0.875675675675676	0.908108108108108	1	0.978378378378378	0.0135135135135135
40	160	0.5	0.5	1	1	1	1	0.651006711409396	0.944630872483222	0.98993288590604	0.963087248322148	0.971476510067114	0.998322147651007	1	0.197986577181208
80	160	0.5	0.5	1	1	1	1	0.816742081447964	0.93552036199095	0.996606334841629	0.967194570135747	0.967194570135747	1	1	0.408371040723982
160	160	0.5	0.5	1	1	1	1	0.837373737373737	0.833333333333333	0.996969696969697	0.956565656565657	0.955555555555556	1	1	0.498989898989899
320	160	0.5	0.5	1	1	1	1	0.906532663316583	0.752763819095477	0.997989949748744	0.957788944723618	0.955778894472362	1	1	0.50251256281407
20	320	0.5	0.5	1	1	1	1	0.120320855614973	0.911764705882353	0.96524064171123	0.890374331550802	0.922459893048128	1	0.959893048128342	0.00267379679144385
40	320	0.5	0.5	1	1	1	1	0.543478260869565	0.941471571906355	0.989966555183946	0.944816053511706	0.953177257525084	1	1	0.172240802675585
80	320	0.5	0.5	1	1	1	1	0.680539932508436	0.942632170978628	0.991001124859393	0.968503937007874	0.976377952755906	1	1	0.403824521934758
160	320	0.5	0.5	1	1	1	1	0.75678391959799	0.906532663316583	0.998994974874372	0.960804020100502	0.962814070351759	1	1	0.487437185929648
320	320	0.5	0.5	1	1	1	1	0.843	0.84	0.993	0.957	0.955	1	1	0.495
20	20	0.8	0.5	1	1	1	1	0.936507936507937	0.956349206349206	1	0.992063492063492	0.996031746031746	1	1	0.361111111111111
40	20	0.8	0.5	1	1	1	1	0.982857142857143	0.888571428571429	1	0.994285714285714	0.994285714285714	1	1	0.548571428571429
80	20	0.8	0.5	1	1	1	1	0.978552278820375	0.798927613941019	0.994638069705094	0.989276139410188	0.981233243967828	1	1	0.605898123324397
160	20	0.8	0.5	1	1	1	1	0.986631016042781	0.727272727272727	1	0.991978609625668	0.981283422459893	1	1	0.588235294117647
320	20	0.8	0.5	1	1	1	1	0.981283422459893	0.625668449197861	0.994652406417112	0.983957219251337	0.981283422459893	1	1	0.577540106951872
20	40	0.8	0.5	1	1	1	1	0.708641975308642	0.893827160493827	0.992592592592593	0.938271604938272	0.958024691358025	1	1	0.116049382716049
40	40	0.8	0.5	1	1	1	1	0.864674868189807	0.880492091388401	0.994727592267135	0.959578207381371	0.968365553602812	1	1	0.291739894551845
80	40	0.8	0.5	1	1	1	1	0.921008403361344	0.779831932773109	0.998319327731092	0.973109243697479	0.981512605042017	1	1	0.273949579831933
160	40	0.8	0.5	1	1	1	1	0.961538461538462	0.600334448160535	0.998327759197324	0.981605351170569	0.98494983277592	1	1	0.202341137123746
320	40	0.8	0.5	1	1	1	1	0.978260869565217	0.439799331103679	1	0.988294314381271	0.993311036789298	1	1	0.204013377926421
20	80	0.8	0.5	1	1	1	1	0.345779220779221	0.823051948051948	0.959415584415584	0.845779220779221	0.873376623376623	1	1	0.0340909090909091
40	80	0.8	0.5	1	1	1	1	0.552913198573127	0.7705112960761	0.96551724137931	0.852556480380499	0.873959571938169	0.997621878715815	1	0.130796670630202
80	80	0.8	0.5	1	1	1	1	0.586245772266065	0.608793686583991	0.975197294250282	0.810597519729425	0.830890642615558	1	1	0.121758737316798
160	80	0.8	0.5	1	1	1	1	0.602924634420697	0.420697412823397	0.970753655793026	0.753655793025872	0.784026996625422	1	1	0.0764904386951631
320	80	0.8	0.5	1	1	1	1	0.632170978627672	0.259842519685039	0.937007874015748	0.717660292463442	0.755905511811024	1	1	0.0652418447694038
20	160	0.8	0.5	1	1	1	1	0.142020497803807	0.7701317715959	0.925329428989751	0.761346998535871	0.806734992679356	0.998535871156662	0.964860907759883	0.0102489019033675
40	160	0.8	0.5	1	1	1	1	0.346765641569459	0.722163308589608	0.92576882290562	0.758218451749735	0.783669141039236	0.99575821845175	1	0.0752916224814422
80	160	0.8	0.5	1	1	1	1	0.348790322580645	0.551411290322581	0.894153225806452	0.659274193548387	0.679435483870968	0.992943548387097	1	0.0645161290322581
160	160	0.8	0.5	1	1	1	1	0.30251256281407	0.308542713567839	0.829145728643216	0.524623115577889	0.54572864321608	0.986934673366834	1	0.0301507537688442
320	160	0.8	0.5	1	1	1	1	0.28643216080402	0.165829145728643	0.721608040201005	0.414070351758794	0.426130653266332	0.969849246231156	1	0.0120603015075377
20	320	0.8	0.5	1	1	1	1	0.061046511627907	0.780523255813954	0.898255813953488	0.765988372093023	0.803779069767442	0.997093023255814	0.959302325581395	0.00290697674418605
40	320	0.8	0.5	1	1	1	1	0.237341772151899	0.732067510548523	0.908227848101266	0.74789029535865	0.776371308016878	0.992616033755274	1	0.0632911392405063
80	320	0.8	0.5	1	1	1	1	0.207622868605817	0.551654964894684	0.835506519558676	0.603811434302909	0.624874623871615	0.987963891675025	1	0.0531594784353059
160	320	0.8	0.5	1	1	1	1	0.139	0.288	0.724	0.415	0.431	0.975	1	0.015
320	320	0.8	0.5	1	1	1	1	0.111	0.116	0.559	0.268	0.275	0.91	1	0.006
20	20	1	0.5	1	1	1	1	0.862385321100917	0.899082568807339	0.990825688073395	0.951070336391437	0.972477064220184	1	1	0.226299694189602
40	20	1	0.5	1	1	1	1	0.948924731182796	0.833333333333333	1	0.986559139784946	0.989247311827957	1	1	0.344086021505376
80	20	1	0.5	1	1	1	1	0.975935828877005	0.729946524064171	0.997326203208556	0.991978609625668	0.994652406417112	1	1	0.275401069518717
160	20	1	0.5	1	1	1	1	0.994652406417112	0.572192513368984	1	0.997326203208556	0.994652406417112	1	1	0.267379679144385
320	20	1	0.5	1	1	1	1	0.997326203208556	0.425133689839572	1	0.997326203208556	0.994652406417112	1	1	0.245989304812834
20	40	1	0.5	1	1	1	1	0.506849315068493	0.792563600782779	0.970645792563601	0.835616438356164	0.880626223091976	1	1	0.0587084148727984
40	40	1	0.5	1	1	1	1	0.627118644067797	0.650847457627119	0.98135593220339	0.838983050847458	0.86271186440678	1	1	0.0983050847457627
80	40	1	0.5	1	1	1	1	0.665551839464883	0.42809364548495	0.978260869565217	0.831103678929766	0.859531772575251	1	1	0.0585284280936455
160	40	1	0.5	1	1	1	1	0.665551839464883	0.24247491638796	0.981605351170569	0.775919732441472	0.816053511705686	1	1	0.0451505016722408
320	40	1	0.5	1	1	1	1	0.697324414715719	0.150501672240803	0.966555183946488	0.755852842809365	0.79933110367893	1	1	0.040133779264214
20	80	1	0.5	1	1	1	1	0.213245033112583	0.68476821192053	0.909933774834437	0.705960264900662	0.764238410596026	0.996026490066225	1	0.0225165562913907
40	80	1	0.5	1	1	1	1	0.279545454545455	0.494318181818182	0.878409090909091	0.607954545454545	0.660227272727273	0.992045454545455	1	0.0352272727272727
80	80	1	0.5	1	1	1	1	0.259842519685039	0.277840269966254	0.81214848143982	0.455568053993251	0.493813273340832	0.984251968503937	1	0.0168728908886389
160	80	1	0.5	1	1	1	1	0.215973003374578	0.111361079865017	0.676040494938133	0.346456692913386	0.377952755905512	0.973003374578178	1	0.0078740157480315
320	80	1	0.5	1	1	1	1	0.200224971878515	0.0393700787401575	0.521934758155231	0.258717660292463	0.27896512935883	0.974128233970754	1	0.00899887514060742
20	160	1	0.5	1	1	1	1	0.0881316098707403	0.618096357226792	0.842538190364277	0.611045828437133	0.668625146886016	0.982373678025852	0.965922444183314	0.00235017626321974
40	160	1	0.5	1	1	1	1	0.117886178861789	0.429878048780488	0.761178861788618	0.483739837398374	0.517276422764228	0.974593495934959	1	0.0233739837398374
80	160	1	0.5	1	1	1	1	0.0864321608040201	0.184924623115578	0.593969849246231	0.265326633165829	0.291457286432161	0.919597989949749	1	0.00804020100502513
160	160	1	0.5	1	1	1	1	0.0412060301507538	0.0462311557788945	0.378894472361809	0.123618090452261	0.130653266331658	0.797989949748744	1	0.00201005025125628
320	160	1	0.5	1	1	1	1	0.0241206030150754	0.00703517587939699	0.220100502512563	0.0552763819095477	0.0592964824120603	0.64321608040201	1	0
20	320	1	0.5	1	1	1	1	0.0339181286549708	0.632748538011696	0.801169590643275	0.595321637426901	0.657309941520468	0.981286549707602	0.962573099415205	0.00233918128654971
40	320	1	0.5	1	1	1	1	0.0758341759352882	0.41051567239636	0.686552072800809	0.420626895854398	0.460060667340748	0.963599595551062	1	0.0182002022244692
80	320	1	0.5	1	1	1	1	0.033	0.157	0.454	0.197	0.213	0.887	1	0.004
160	320	1	0.5	1	1	1	1	0.005	0.031	0.202	0.062	0.066	0.653	1	0
320	320	1	0.5	1	1	1	1	0.001	0.001	0.056	0.012	0.012	0.364	1	0
20	20	0	0.8	1	1	1	1	0.736842105263158	0.684210526315789	1	0.947368421052632	0.842105263157895	1	1	0.842105263157895
40	20	0	0.8	1	1	1	1	0.733333333333333	0.533333333333333	1	0.866666666666667	0.733333333333333	1	1	1
80	20	0	0.8	1	1	1	1	0.533333333333333	0.0666666666666667	0.866666666666667	0.666666666666667	0.533333333333333	1	1	1
160	20	0	0.8	1	1	1	1	0.5	0	0.6875	0.5	0.5	1	1	1
320	20	0	0.8	1	1	1	1	0.466666666666667	0	0.733333333333333	0.533333333333333	0.466666666666667	1	1	1
20	40	0	0.8	1	1	1	1	0.91304347826087	1	1	1	1	1	1	0.347826086956522
40	40	0	0.8	1	1	1	1	0.625	0.583333333333333	1	0.833333333333333	0.791666666666667	1	1	0.916666666666667
80	40	0	0.8	1	1	1	1	0.526315789473684	0.157894736842105	0.947368421052632	0.631578947368421	0.578947368421053	1	1	1
160	40	0	0.8	1	1	1	1	0.333333333333333	0.0416666666666667	0.666666666666667	0.458333333333333	0.416666666666667	0.875	1	1
320	40	0	0.8	1	1	1	1	0.25	0	0.458333333333333	0.25	0.25	0.833333333333333	1	1
20	80	0	0.8	1	1	1	1	1	1	1	1	1	1	1	0.739130434782609
40	80	0	0.8	1	1	1	1	0.538461538461538	0.769230769230769	1	0.884615384615385	0.846153846153846	1	1	0.961538461538462
80	80	0	0.8	1	1	1	1	0.2	0.15	1	0.75	0.7	1	1	1
160	80	0	0.8	1	1	1	1	0.115384615384615	0.0384615384615385	0.5	0.153846153846154	0.153846153846154	1	1	1
320	80	0	0.8	1	1	1	1	0	0	0.16	0.04	0.04	0.72	1	1
20	160	0	0.8	1	1	1	1	0.739130434782609	1	1	1	1	1	1	0.608695652173913
40	160	0	0.8	1	1	1	1	0.346153846153846	0.923076923076923	1	0.961538461538462	0.961538461538462	1	1	1
80	160	0	0.8	1	1	1	1	0.05	0.2	1	0.55	0.55	1	1	1
160	160	0	0.8	1	1	1	1	0	0	0.192307692307692	0	0	0.961538461538462	1	1
320	160	0	0.8	1	1	1	1	0	0	0	0	0	0.28	1	1
20	320	0	0.8	1	1	1	1	0.565217391304348	1	1	1	1	1	1	0.695652173913043
40	320	0	0.8	1	1	1	1	0.153846153846154	0.961538461538462	1	1	0.961538461538462	1	1	0.961538461538462
80	320	0	0.8	1	1	1	1	0.05	0.3	0.8	0.45	0.45	1	1	1
160	320	0	0.8	1	1	1	1	0	0	0.115384615384615	0	0	0.538461538461538	1	1
320	320	0	0.8	1	1	1	1	0	0	0	0	0	0.04	1	1
20	20	0.2	0.8	1	1	1	1	0.923076923076923	0.892307692307692	1	0.969230769230769	0.938461538461538	1	1	0.753846153846154
40	20	0.2	0.8	1	1	1	1	0.852272727272727	0.625	0.988636363636364	0.943181818181818	0.931818181818182	1	1	0.965909090909091
80	20	0.2	0.8	1	1	1	1	0.666666666666667	0.121212121212121	0.909090909090909	0.751515151515151	0.727272727272727	1	1	1
160	20	0.2	0.8	1	1	1	1	0.560897435897436	0.00320512820512821	0.852564102564103	0.618589743589744	0.567307692307692	0.987179487179487	1	1
320	20	0.2	0.8	1	1	1	1	0.387755102040816	0	0.655102040816327	0.420408163265306	0.371428571428571	0.969387755102041	1	1
20	40	0.2	0.8	1	1	1	1	0.956521739130435	0.989130434782609	1	1	1	1	1	0.543478260869565
40	40	0.2	0.8	1	1	1	1	0.838983050847458	0.838983050847458	0.991525423728814	0.974576271186441	0.966101694915254	1	1	0.864406779661017
80	40	0.2	0.8	1	1	1	1	0.523404255319149	0.297872340425532	0.931914893617021	0.71063829787234	0.693617021276596	1	1	0.974468085106383
160	40	0.2	0.8	1	1	1	1	0.418981481481481	0.0740740740740741	0.756944444444444	0.527777777777778	0.490740740740741	0.990740740740741	1	1
320	40	0.2	0.8	1	1	1	1	0.300911854103343	0.00911854103343465	0.557750759878419	0.344984802431611	0.32370820668693	0.945288753799392	1	1
20	80	0.2	0.8	1	1	1	1	0.935483870967742	1	1	1	1	1	1	0.602150537634409
40	80	0.2	0.8	1	1	1	1	0.685483870967742	0.887096774193548	1	0.983870967741935	0.967741935483871	1	1	0.895161290322581
80	80	0.2	0.8	1	1	1	1	0.32258064516129	0.310483870967742	0.915322580645161	0.649193548387097	0.600806451612903	0.995967741935484	1	0.979838709677419
160	80	0.2	0.8	1	1	1	1	0.149220489977728	0.0623608017817372	0.621380846325167	0.287305122494432	0.267260579064588	0.942093541202673	1	1
320	80	0.2	0.8	1	1	1	1	0.0778097982708934	0.00720461095100865	0.321325648414986	0.122478386167147	0.11671469740634	0.811239193083574	1	1
20	160	0.2	0.8	1	1	1	1	0.849462365591398	1	1	1	1	1	1	0.559139784946237
40	160	0.2	0.8	1	1	1	1	0.464	0.936	1	0.944	0.944	1	1	0.904
80	160	0.2	0.8	1	1	1	1	0.116465863453815	0.269076305220884	0.859437751004016	0.477911646586345	0.449799196787149	1	1	1
160	160	0.2	0.8	1	1	1	1	0.0133630289532294	0.0111358574610245	0.32293986636971	0.0623608017817372	0.0623608017817372	0.853006681514477	1	0.997772828507795
320	160	0.2	0.8	1	1	1	1	0.00430416068866571	0	0.084648493543759	0.0100430416068867	0.0100430416068867	0.466284074605452	1	1
20	320	0.2	0.8	1	1	1	1	0.731182795698925	1	1	1	1	1	1	0.548387096774194
40	320	0.2	0.8	1	1	1	1	0.312	0.984	1	1	1	1	1	0.976
80	320	0.2	0.8	1	1	1	1	0.036144578313253	0.248995983935743	0.779116465863454	0.389558232931727	0.373493975903614	1	1	0.995983935742972
160	320	0.2	0.8	1	1	1	1	0.0022271714922049	0.0044543429844098	0.122494432071269	0.0133630289532294	0.0133630289532294	0.654788418708241	1	1
320	320	0.2	0.8	1	1	1	1	0	0	0.00717360114777618	0	0	0.121951219512195	1	1
20	20	0.5	0.8	1	1	1	1	0.955056179775281	0.955056179775281	1	0.99625468164794	0.99250936329588	1	1	0.629213483146067
40	20	0.5	0.8	1	1	1	1	0.873762376237624	0.690594059405941	0.985148514851485	0.940594059405941	0.918316831683168	1	1	0.888613861386139
80	20	0.5	0.8	1	1	1	1	0.818780889621087	0.375617792421746	0.960461285008237	0.871499176276771	0.843492586490939	1	1	0.967051070840198
160	20	0.5	0.8	1	1	1	1	0.778425655976676	0.157434402332362	0.924198250728863	0.809037900874636	0.769679300291545	0.998542274052478	1	0.992711370262391
320	20	0.5	0.8	1	1	1	1	0.8125	0.0755813953488372	0.902616279069767	0.82703488372093	0.777616279069767	0.998546511627907	1	0.998546511627907
20	40	0.5	0.8	1	1	1	1	0.876056338028169	0.974647887323944	1	0.991549295774648	0.991549295774648	1	1	0.414084507042254
40	40	0.5	0.8	1	1	1	1	0.890070921985816	0.863475177304965	0.99822695035461	0.980496453900709	0.976950354609929	1	1	0.728723404255319
80	40	0.5	0.8	1	1	1	1	0.785714285714286	0.564285714285714	0.980952380952381	0.882142857142857	0.860714285714286	0.997619047619048	1	0.869047619047619
160	40	0.5	0.8	1	1	1	1	0.725344644750795	0.348886532343584	0.928950159066808	0.792152704135737	0.763520678685048	0.99575821845175	1	0.926829268292683
320	40	0.5	0.8	1	1	1	1	0.738396624472574	0.225738396624473	0.915611814345992	0.772151898734177	0.746835443037975	0.9957805907173	1	0.939873417721519
20	80	0.5	0.8	1	1	1	1	0.815013404825737	0.973190348525469	0.994638069705094	0.973190348525469	0.978552278820375	1	1	0.46112600536193
40	80	0.5	0.8	1	1	1	1	0.756711409395973	0.911073825503356	0.998322147651007	0.979865771812081	0.968120805369127	1	1	0.763422818791946
80	80	0.5	0.8	1	1	1	1	0.606094808126411	0.593679458239278	0.968397291196388	0.82392776523702	0.802483069977427	0.998871331828442	1	0.878103837471783
160	80	0.5	0.8	1	1	1	1	0.540785498489426	0.347432024169184	0.899295065458207	0.678751258811682	0.655589123867069	0.992950654582075	1	0.934541792547835
320	80	0.5	0.8	1	1	1	1	0.55667001003009	0.214643931795386	0.823470411233701	0.632898696088265	0.618856569709127	0.99197592778335	1	0.955867602808425
20	160	0.5	0.8	1	1	1	1	0.713903743315508	0.983957219251337	0.997326203208556	0.981283422459893	0.983957219251337	1	1	0.425133689839572
40	160	0.5	0.8	1	1	1	1	0.608695652173913	0.956521739130435	1	0.979933110367893	0.978260869565217	1	1	0.790969899665552
80	160	0.5	0.8	1	1	1	1	0.399325084364454	0.607424071991001	0.959505061867267	0.796400449943757	0.773903262092238	1	1	0.930258717660292
160	160	0.5	0.8	1	1	1	1	0.309547738693467	0.300502512562814	0.828140703517588	0.558793969849246	0.534673366834171	0.985929648241206	1	0.975879396984925
320	160	0.5	0.8	1	1	1	1	0.278	0.146	0.74	0.43	0.415	0.971	1	0.986
20	320	0.5	0.8	1	1	1	1	0.609625668449198	0.986631016042781	0.994652406417112	0.978609625668449	0.986631016042781	1	1	0.409090909090909
40	320	0.5	0.8	1	1	1	1	0.451505016722408	0.989966555183946	1	0.996655518394649	0.996655518394649	1	1	0.806020066889632
80	320	0.5	0.8	1	1	1	1	0.260967379077615	0.641169853768279	0.929133858267717	0.743532058492688	0.716535433070866	1	1	0.946006749156355
160	320	0.5	0.8	1	1	1	1	0.155778894472362	0.299497487437186	0.720603015075377	0.438190954773869	0.430150753768844	0.965829145728643	1	0.98391959798995
320	320	0.5	0.8	1	1	1	1	0.122	0.117	0.562	0.252	0.246	0.911	1	0.997
20	20	0.8	0.8	1	1	1	1	0.931106471816284	0.931106471816284	1	0.979123173277662	0.985386221294363	1	1	0.507306889352818
40	20	0.8	0.8	1	1	1	1	0.945205479452055	0.823439878234399	0.995433789954338	0.980213089802131	0.971080669710807	1	1	0.681887366818874
80	20	0.8	0.8	1	1	1	1	0.944606413994169	0.709912536443149	0.988338192419825	0.966472303206997	0.946064139941691	1	1	0.731778425655977
160	20	0.8	0.8	1	1	1	1	0.956395348837209	0.593023255813954	0.989825581395349	0.969476744186046	0.944767441860465	1	1	0.731104651162791
320	20	0.8	0.8	1	1	1	1	0.957848837209302	0.479651162790698	0.976744186046512	0.963662790697674	0.943313953488372	1	1	0.734011627906977
20	40	0.8	0.8	1	1	1	1	0.788018433179724	0.929339477726575	0.998463901689708	0.960061443932412	0.970814132104455	1	1	0.331797235023041
40	40	0.8	0.8	1	1	1	1	0.879732739420935	0.880846325167038	0.997772828507795	0.972160356347439	0.967706013363029	1	1	0.501113585746102
80	40	0.8	0.8	1	1	1	1	0.922751322751323	0.785185185185185	0.995767195767196	0.971428571428571	0.965079365079365	1	1	0.51957671957672
160	40	0.8	0.8	1	1	1	1	0.954641350210971	0.659282700421941	0.99789029535865	0.974683544303797	0.968354430379747	1	1	0.535864978902954
320	40	0.8	0.8	1	1	1	1	0.965189873417722	0.509493670886076	0.991561181434599	0.973628691983122	0.967299578059072	1	1	0.530590717299578
20	80	0.8	0.8	1	1	1	1	0.685131195335277	0.935860058309038	0.992711370262391	0.941690962099125	0.965014577259475	1	1	0.300291545189504
40	80	0.8	0.8	1	1	1	1	0.783068783068783	0.920634920634921	0.996825396825397	0.966137566137566	0.968253968253968	1	1	0.483597883597884
80	80	0.8	0.8	1	1	1	1	0.836016096579477	0.834004024144869	0.994969818913481	0.942655935613682	0.941649899396378	1	1	0.505030181086519
160	80	0.8	0.8	1	1	1	1	0.889669007021063	0.735205616850552	0.993981945837513	0.955867602808425	0.953861584754263	1	1	0.501504513540622
320	80	0.8	0.8	1	1	1	1	0.923771313941825	0.624874623871615	0.987963891675025	0.952858575727182	0.953861584754263	1	1	0.511534603811434
20	160	0.8	0.8	1	1	1	1	0.594476744186046	0.960755813953488	0.986918604651163	0.957848837209302	0.969476744186046	1	1	0.267441860465116
40	160	0.8	0.8	1	1	1	1	0.674050632911392	0.956751054852321	0.992616033755274	0.968354430379747	0.969409282700422	1	1	0.489451476793249
80	160	0.8	0.8	1	1	1	1	0.740220661985958	0.890672016048144	0.993981945837513	0.952858575727182	0.952858575727182	0.998996990972919	1	0.494483450351053
160	160	0.8	0.8	1	1	1	1	0.85	0.845	0.994	0.959	0.958	1	1	0.508
320	160	0.8	0.8	1	1	1	1	0.916	0.777	0.996	0.962	0.962	1	1	0.502
20	320	0.8	0.8	1	1	1	1	0.475290697674419	0.959302325581395	0.981104651162791	0.946220930232558	0.965116279069767	1	1	0.267441860465116
40	320	0.8	0.8	1	1	1	1	0.527426160337553	0.968354430379747	0.990506329113924	0.970464135021097	0.971518987341772	1	1	0.475738396624473
80	320	0.8	0.8	1	1	1	1	0.633901705115346	0.923771313941825	0.994984954864594	0.950852557673019	0.9518555667001	1	1	0.494483450351053
160	320	0.8	0.8	1	1	1	1	0.756	0.913	0.998	0.959	0.963	1	1	0.498
320	320	0.8	0.8	1	1	1	1	0.843	0.84	0.995	0.949	0.945	1	1	0.509
20	20	1	0.8	1	1	1	1	0.905882352941176	0.915966386554622	0.998319327731092	0.973109243697479	0.976470588235294	1	1	0.38655462184874
40	20	1	0.8	1	1	1	1	0.95	0.826470588235294	1	0.986764705882353	0.988235294117647	1	1	0.441176470588235
80	20	1	0.8	1	1	1	1	0.976744186046512	0.726744186046512	0.997093023255814	0.98546511627907	0.988372093023256	1	1	0.4375
160	20	1	0.8	1	1	1	1	0.991279069767442	0.613372093023256	0.997093023255814	0.991279069767442	0.988372093023256	1	1	0.418604651162791
