n1	n2	d1	d2	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	d2.scp1	big2
320	160	0.5	0	1	1	1	1	0.384615384615385	0.192307692307692	1	0.692307692307692	0.730769230769231	1	1	0
20	320	0.5	0	1	1	1	1	0	0.444444444444444	0.555555555555556	0.444444444444444	0.444444444444444	1	0	0
40	320	0.5	0	1	1	1	1	0	0.473684210526316	0.894736842105263	0.526315789473684	0.631578947368421	0.947368421052632	0.210526315789474	0
80	320	0.5	0	1	1	1	1	0.0434782608695652	0.434782608695652	0.652173913043478	0.478260869565217	0.478260869565217	1	1	0
160	320	0.5	0	1	1	1	1	0.04	0.2	0.8	0.28	0.32	1	1	0
320	320	0.5	0	1	1	1	1	0.04	0.04	0.44	0.16	0.16	0.84	1	0
20	20	0.8	0	1	1	1	1	0.846153846153846	0.923076923076923	1	1	1	1	1	0.307692307692308
40	20	0.8	0	1	1	1	1	1	0.954545454545455	1	1	1	1	1	0.5
80	20	0.8	0	1	1	1	1	1	0.869565217391304	1	1	1	1	1	0.478260869565217
160	20	0.8	0	1	1	1	1	1	0.91304347826087	1	1	1	1	1	0.347826086956522
320	20	0.8	0	1	1	1	1	1	0.739130434782609	1	1	1	1	1	0.434782608695652
20	40	0.8	0	1	1	1	1	0.428571428571429	0.785714285714286	0.928571428571429	0.785714285714286	0.857142857142857	1	1	0.0714285714285714
40	40	0.8	0	1	1	1	1	0.769230769230769	0.807692307692308	1	1	1	1	1	0.0769230769230769
80	40	0.8	0	1	1	1	1	0.846153846153846	0.769230769230769	1	0.961538461538462	1	1	1	0.0769230769230769
160	40	0.8	0	1	1	1	1	0.846153846153846	0.423076923076923	1	0.961538461538462	1	1	1	0.0384615384615385
320	40	0.8	0	1	1	1	1	1	0.153846153846154	1	1	1	1	1	0.0384615384615385
20	80	0.8	0	1	1	1	1	0.111111111111111	0.777777777777778	1	0.777777777777778	0.888888888888889	1	1	0
40	80	0.8	0	1	1	1	1	0.473684210526316	0.684210526315789	1	0.842105263157895	0.842105263157895	1	1	0.0526315789473684
80	80	0.8	0	1	1	1	1	0.4	0.4	0.9	0.6	0.65	1	1	0.05
160	80	0.8	0	1	1	1	1	0.2	0.05	0.95	0.4	0.4	1	1	0
320	80	0.8	0	1	1	1	1	0.1	0.05	0.8	0.25	0.3	1	1	0
20	160	0.8	0	1	1	1	1	0	0.363636363636364	0.636363636363636	0.363636363636364	0.409090909090909	1	0.136363636363636	0
