n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
20	20	0	0	1	0.0554414784394251	0.31211498973306	0.558521560574949	0.338809034907598	0.388090349075975	0.68788501026694	0.763860369609856	0.936344969199179	0.946611909650924	0.942505133470226	1	1	0.681724845995893	0.712525667351129	0.997946611909651	0.997946611909651	0.997946611909651	0.558521560574949	0.558521560574949	0.558521560574949	0.558521560574949	0.558521560574949	0.505133470225873	0.558521560574949	0.558521560574949	0.544147843942505	0.0143737166324435
40	20	0	0	1	0.0465116279069767	0.410852713178295	0.5	0.61046511627907	0.405038759689922	0.961240310077519	0.527131782945736	0.992248062015504	0.87984496124031	0.945736434108527	1	0.996124031007752	0.763565891472868	0.771317829457364	1	0.967054263565892	0.996124031007752	0.5	0.5	0.5	0.5	0.5	0.492248062015504	0.5	0.5	0.443798449612403	0.0562015503875969
80	20	0	0	1	0.0499040307101727	0.581573896353167	0.479846449136276	0.750479846449136	0.387715930902111	1	0.441458733205374	1	0.894433781190019	0.953934740882918	1	0.994241842610365	0.825335892514395	0.825335892514395	1	0.928982725527831	1	0.479846449136276	0.479846449136276	0.479846449136276	0.479846449136276	0.477927063339731	0.479846449136276	0.479846449136276	0.479846449136276	0.353166986564299	0.126679462571977
160	20	0	0	1	0.0389863547758285	0.664717348927875	0.477582846003899	0.857699805068226	0.350877192982456	1	0.366471734892788	1	0.925925925925926	0.968810916179337	1	0.978557504873294	0.888888888888889	0.883040935672515	1	0.935672514619883	0.998050682261209	0.0565302144249513	0.477582846003899	0.0545808966861598	0.477582846003899	0.461988304093567	0.477582846003899	0.467836257309941	0.477582846003899	0.290448343079922	0.187134502923977
320	20	0	0	1	0.043557168784029	0.767695099818512	0.493647912885662	0.907441016333938	0.315789473684211	1	0.333938294010889	1	0.927404718693285	0.969147005444646	1	0.981851179673321	0.920145190562613	0.911070780399274	1	0.931034482758621	1	0	0.493647912885662	0	0.493647912885662	0.457350272232305	0.493647912885662	0.464609800362976	0.493647912885662	0.246823956442831	0.246823956442831
20	40	0	0	1	0.0492813141683778	0.186858316221766	0.486652977412731	0.0944558521560575	0.316221765913758	0.176591375770021	0.958932238193018	0.759753593429158	0.993839835728953	0.878850102669405	0.995893223819302	1	0.482546201232033	0.527720739219713	0.928131416837782	1	0.995893223819302	0.486652977412731	0.275154004106776	0.486652977412731	0.486652977412731	0.486652977412731	0.334702258726899	0.486652977412731	0.455852156057495	0.486652977412731	0
40	40	0	0	1	0.0426356589147287	0.304263565891473	0.492248062015504	0.341085271317829	0.358527131782946	0.631782945736434	0.664728682170543	0.922480620155039	0.930232558139535	0.922480620155039	1	1	0.625968992248062	0.64922480620155	0.996124031007752	0.996124031007752	0.998062015503876	0.492248062015504	0.492248062015504	0.492248062015504	0.492248062015504	0.492248062015504	0.451550387596899	0.492248062015504	0.492248062015504	0.484496124031008	0.00968992248062015
80	40	0	0	1	0.0460652591170825	0.443378119001919	0.495201535508637	0.614203454894434	0.385796545105566	0.965451055662188	0.518234165067178	0.998080614203455	0.877159309021113	0.946257197696737	1	1	0.754318618042226	0.756238003838772	1	0.973128598848369	1	0.495201535508637	0.495201535508637	0.495201535508637	0.495201535508637	0.495201535508637	0.489443378119002	0.495201535508637	0.495201535508637	0.452975047984645	0.0422264875239923
160	40	0	0	1	0.050682261208577	0.573099415204678	0.49317738791423	0.752436647173489	0.426900584795322	1	0.46588693957115	1	0.871345029239766	0.947368421052632	1	0.982456140350877	0.816764132553606	0.818713450292398	1	0.914230019493177	1	0.49317738791423	0.49317738791423	0.49317738791423	0.49317738791423	0.489278752436647	0.491228070175439	0.491228070175439	0.49317738791423	0.378167641325536	0.115009746588694
320	40	0	0	1	0.0453720508166969	0.693284936479129	0.459165154264973	0.867513611615245	0.361161524500907	1	0.38475499092559	1	0.907441016333938	0.961887477313975	1	0.981851179673321	0.88929219600726	0.88929219600726	1	0.936479128856624	1	0.058076225045372	0.459165154264973	0.0544464609800363	0.459165154264973	0.448275862068966	0.459165154264973	0.450090744101633	0.459165154264973	0.288566243194192	0.17059891107078
20	80	0	0	1	0.0574948665297741	0.151950718685832	0.503080082135524	0.00205338809034908	0.291581108829569	0.0082135523613963	1	0.570841889117043	1	0.837782340862423	0.956878850102669	1	0.367556468172485	0.431211498973306	0.720739219712526	1	0.995893223819302	0.503080082135524	0.0657084188911704	0.503080082135524	0.256673511293634	0.503080082135524	0.260780287474333	0.503080082135524	0.28952772073922	0.503080082135524	0
40	80	0	0	1	0.0658914728682171	0.213178294573643	0.507751937984496	0.116279069767442	0.304263565891473	0.199612403100775	0.901162790697674	0.74031007751938	0.984496124031008	0.872093023255814	0.992248062015504	1	0.507751937984496	0.521317829457364	0.912790697674419	1	0.998062015503876	0.507751937984496	0.304263565891473	0.507751937984496	0.507751937984496	0.507751937984496	0.346899224806202	0.507751937984496	0.467054263565891	0.507751937984496	0
80	80	0	0	1	0.0499040307101727	0.324376199616123	0.497120921305182	0.343570057581574	0.358925143953935	0.660268714011516	0.667946257197697	0.938579654510557	0.938579654510557	0.938579654510557	1	1	0.660268714011516	0.664107485604607	0.998080614203455	0.998080614203455	0.998080614203455	0.497120921305182	0.497120921305182	0.497120921305182	0.497120921305182	0.497120921305182	0.443378119001919	0.497120921305182	0.497120921305182	0.481765834932821	0.0153550863723608
160	80	0	0	1	0.0526315789473684	0.446393762183236	0.481481481481481	0.600389863547758	0.364522417153996	0.961013645224172	0.495126705653021	0.996101364522417	0.900584795321637	0.95906432748538	1	0.998050682261209	0.752436647173489	0.754385964912281	1	0.976608187134503	0.998050682261209	0.481481481481481	0.481481481481481	0.481481481481481	0.481481481481481	0.47953216374269	0.475633528265107	0.481481481481481	0.481481481481481	0.428849902534113	0.0526315789473684
