cutoff	n2	d2.020	d2.200
0.05	50	0.768962258252519	0.761668660839544
0.05	100	0.575612530288062	0.566045424185396
0.05	150	0.483108364448317	0.482890969341278
0.05	200	0.447490062523973	0.438064729332702
0.05	250	0.419820862845947	0.414602053957357
0.05	300	0.39508977092597	0.390782393939505
0.05	350	0.377108388974952	0.377882448181156
0.05	400	0.370982341201746	0.364729933342286
0.05	450	0.376104512746193	0.353180136332101
0.05	500	0.362987399708964	0.341061059438344
0.2	50	0.59160492799449	0.587867792837449
0.2	100	0.447695026315887	0.429687978732333
0.2	150	0.364017369259997	0.363215971955193
0.2	200	0.337776886752232	0.325297926771088
0.2	250	0.311083560143164	0.305759542679355
0.2	300	0.285580230047617	0.278834469263954
0.2	350	0.270067518840509	0.271510984052139
0.2	400	0.252209563058616	0.253605831778397
0.2	450	0.260263411415703	0.240740570249714
0.2	500	0.250326917995888	0.221925431508448
