n1	n2	d1	d2	type	m	sig1	sig2	sdir
20	100	0	0	big2	491	491	27	246
20	100	0	0	s2or	246	246	16	246
50	100	0	0	raw	10000	498	501	4959
50	100	0	0	sig1	498	498	31	249
50	100	0	0	bsln	249	249	14	249
50	100	0	0	sig2	10000	498	501	4959
50	100	0	0	big2	498	498	31	249
50	100	0	0	s2or	249	249	14	249
100	100	0	0	raw	10000	501	501	4962
100	100	0	0	sig1	501	501	34	259
100	100	0	0	bsln	259	259	17	259
100	100	0	0	sig2	10000	501	501	4962
100	100	0	0	big2	501	501	34	259
100	100	0	0	s2or	259	259	17	259
150	100	0	0	raw	10000	506	501	5068
150	100	0	0	sig1	506	506	23	247
150	100	0	0	bsln	247	247	7	247
150	100	0	0	sig2	10000	506	501	5068
150	100	0	0	big2	506	506	23	247
150	100	0	0	s2or	247	247	7	247
200	100	0	0	raw	10000	517	501	4951
200	100	0	0	sig1	517	517	29	238
200	100	0	0	bsln	238	238	16	238
200	100	0	0	sig2	10000	517	501	4951
200	100	0	0	big2	517	517	29	238
200	100	0	0	s2or	238	238	16	238
250	100	0	0	raw	10000	489	501	4990
250	100	0	0	sig1	489	489	29	239
250	100	0	0	bsln	239	239	13	239
250	100	0	0	sig2	10000	489	501	4990
250	100	0	0	big2	489	489	29	239
250	100	0	0	s2or	239	239	13	239
300	100	0	0	raw	10000	496	501	4934
300	100	0	0	sig1	496	496	26	241
300	100	0	0	bsln	241	241	14	241
300	100	0	0	sig2	10000	496	501	4934
300	100	0	0	big2	496	496	26	241
300	100	0	0	s2or	241	241	14	241
350	100	0	0	raw	10000	504	501	4992
350	100	0	0	sig1	504	504	23	246
350	100	0	0	bsln	246	246	11	246
350	100	0	0	sig2	10000	504	501	4992
350	100	0	0	big2	504	504	23	246
350	100	0	0	s2or	246	246	11	246
400	100	0	0	raw	10000	494	501	5084
400	100	0	0	sig1	494	494	22	261
400	100	0	0	bsln	261	261	11	261
400	100	0	0	sig2	10000	494	501	5084
400	100	0	0	big2	494	494	22	261
400	100	0	0	s2or	261	261	11	261
450	100	0	0	raw	10000	489	501	5031
450	100	0	0	sig1	489	489	24	238
450	100	0	0	bsln	238	238	10	238
450	100	0	0	sig2	10000	489	501	5031
450	100	0	0	big2	489	489	24	238
450	100	0	0	s2or	238	238	10	238
500	100	0	0	raw	10000	511	501	5074
500	100	0	0	sig1	511	511	33	265
500	100	0	0	bsln	265	265	13	265
500	100	0	0	sig2	10000	511	501	5074
500	100	0	0	big2	511	511	33	265
500	100	0	0	s2or	265	265	13	265
20	150	0	0	raw	10000	491	506	5026
20	150	0	0	sig1	491	491	24	233
20	150	0	0	bsln	233	233	14	233
20	150	0	0	sig2	10000	491	506	5026
20	150	0	0	big2	491	491	24	233
20	150	0	0	s2or	233	233	14	233
50	150	0	0	raw	10000	498	506	5055
50	150	0	0	sig1	498	498	24	255
50	150	0	0	bsln	255	255	15	255
50	150	0	0	sig2	10000	498	506	5055
50	150	0	0	big2	498	498	24	255
50	150	0	0	s2or	255	255	15	255
100	150	0	0	raw	10000	501	506	5104
100	150	0	0	sig1	501	501	17	245
100	150	0	0	bsln	245	245	11	245
100	150	0	0	sig2	10000	501	506	5104
100	150	0	0	big2	501	501	17	245
100	150	0	0	s2or	245	245	11	245
150	150	0	0	raw	10000	506	506	5020
150	150	0	0	sig1	506	506	21	254
150	150	0	0	bsln	254	254	12	254
150	150	0	0	sig2	10000	506	506	5020
150	150	0	0	big2	506	506	21	254
150	150	0	0	s2or	254	254	12	254
200	150	0	0	raw	10000	517	506	4947
200	150	0	0	sig1	517	517	21	255
200	150	0	0	bsln	255	255	10	255
200	150	0	0	sig2	10000	517	506	4947
200	150	0	0	big2	517	517	21	255
200	150	0	0	s2or	255	255	10	255
250	150	0	0	raw	10000	489	506	5062
250	150	0	0	sig1	489	489	26	262
250	150	0	0	bsln	262	262	8	262
250	150	0	0	sig2	10000	489	506	5062
250	150	0	0	big2	489	489	26	262
250	150	0	0	s2or	262	262	8	262
300	150	0	0	raw	10000	496	506	4932
300	150	0	0	sig1	496	496	28	261
300	150	0	0	bsln	261	261	16	261
300	150	0	0	sig2	10000	496	506	4932
300	150	0	0	big2	496	496	28	261
300	150	0	0	s2or	261	261	16	261
350	150	0	0	raw	10000	504	506	5018
350	150	0	0	sig1	504	504	16	238
350	150	0	0	bsln	238	238	7	238
350	150	0	0	sig2	10000	504	506	5018
350	150	0	0	big2	504	504	16	238
350	150	0	0	s2or	238	238	7	238
400	150	0	0	raw	10000	494	506	4976
400	150	0	0	sig1	494	494	32	235
400	150	0	0	bsln	235	235	14	235
400	150	0	0	sig2	10000	494	506	4976
400	150	0	0	big2	494	494	32	235
400	150	0	0	s2or	235	235	14	235
450	150	0	0	raw	10000	489	506	4979
450	150	0	0	sig1	489	489	30	267
450	150	0	0	bsln	267	267	22	267
450	150	0	0	sig2	10000	489	506	4979
450	150	0	0	big2	489	489	30	267
450	150	0	0	s2or	267	267	22	267
500	150	0	0	raw	10000	511	506	4990
500	150	0	0	sig1	511	511	31	262
500	150	0	0	bsln	262	262	16	262
500	150	0	0	sig2	10000	511	506	4990
500	150	0	0	big2	511	511	31	262
500	150	0	0	s2or	262	262	16	262
20	200	0	0	raw	10000	491	517	5047
20	200	0	0	sig1	491	491	32	233
20	200	0	0	bsln	233	233	17	233
20	200	0	0	sig2	10000	491	517	5047
20	200	0	0	big2	491	491	32	233
20	200	0	0	s2or	233	233	17	233
50	200	0	0	raw	10000	498	517	4972
50	200	0	0	sig1	498	498	29	264
50	200	0	0	bsln	264	264	11	264
50	200	0	0	sig2	10000	498	517	4972
50	200	0	0	big2	498	498	29	264
50	200	0	0	s2or	264	264	11	264
100	200	0	0	raw	10000	501	517	5017
100	200	0	0	sig1	501	501	23	245
100	200	0	0	bsln	245	245	14	245
100	200	0	0	sig2	10000	501	517	5017
100	200	0	0	big2	501	501	23	245
100	200	0	0	s2or	245	245	14	245
150	200	0	0	raw	10000	506	517	5065
150	200	0	0	sig1	506	506	28	251
150	200	0	0	bsln	251	251	21	251
150	200	0	0	sig2	10000	506	517	5065
150	200	0	0	big2	506	506	28	251
150	200	0	0	s2or	251	251	21	251
200	200	0	0	raw	10000	517	517	5068
200	200	0	0	sig1	517	517	26	268
200	200	0	0	bsln	268	268	21	268
200	200	0	0	sig2	10000	517	517	5068
200	200	0	0	big2	517	517	26	268
200	200	0	0	s2or	268	268	21	268
250	200	0	0	raw	10000	489	517	4995
250	200	0	0	sig1	489	489	28	261
250	200	0	0	bsln	261	261	15	261
250	200	0	0	sig2	10000	489	517	4995
