n1	n2	d1	d2	type	m	sig1	sig2	sdir
20	20	0	0	raw	100	5	5	40
20	20	0	0	sig1	5	5	0	2
20	20	0	0	bsln	2	2	0	2
20	20	0	0	sig2	100	5	5	40
20	20	0	0	big2	5	5	0	2
20	20	0	0	s2or	2	2	0	2
50	20	0	0	raw	100	5	5	55
50	20	0	0	sig1	5	5	0	4
50	20	0	0	bsln	4	4	0	4
50	20	0	0	sig2	100	5	5	55
50	20	0	0	big2	5	5	0	4
50	20	0	0	s2or	4	4	0	4
100	20	0	0	raw	100	6	5	54
100	20	0	0	sig1	6	6	0	4
100	20	0	0	bsln	4	4	0	4
100	20	0	0	sig2	100	6	5	54
100	20	0	0	big2	6	6	0	4
100	20	0	0	s2or	4	4	0	4
150	20	0	0	raw	100	3	5	42
150	20	0	0	sig1	3	3	0	0
150	20	0	0	bsln	0	NA	NA	NA
150	20	0	0	sig2	100	3	5	42
150	20	0	0	big2	3	3	0	0
150	20	0	0	s2or	0	NA	NA	NA
200	20	0	0	raw	100	3	5	50
200	20	0	0	sig1	3	3	0	2
200	20	0	0	bsln	2	2	0	2
200	20	0	0	sig2	100	3	5	50
200	20	0	0	big2	3	3	0	2
200	20	0	0	s2or	2	2	0	2
250	20	0	0	raw	100	6	5	54
250	20	0	0	sig1	6	6	0	1
250	20	0	0	bsln	1	1	0	1
250	20	0	0	sig2	100	6	5	54
250	20	0	0	big2	6	6	0	1
250	20	0	0	s2or	1	1	0	1
300	20	0	0	raw	100	4	5	46
300	20	0	0	sig1	4	4	0	3
300	20	0	0	bsln	3	3	0	3
300	20	0	0	sig2	100	4	5	46
300	20	0	0	big2	4	4	0	3
300	20	0	0	s2or	3	3	0	3
350	20	0	0	raw	100	4	5	56
350	20	0	0	sig1	4	4	0	1
350	20	0	0	bsln	1	1	0	1
350	20	0	0	sig2	100	4	5	56
350	20	0	0	big2	4	4	0	1
350	20	0	0	s2or	1	1	0	1
400	20	0	0	raw	100	6	5	44
400	20	0	0	sig1	6	6	0	2
400	20	0	0	bsln	2	2	0	2
400	20	0	0	sig2	100	6	5	44
400	20	0	0	big2	6	6	0	2
400	20	0	0	s2or	2	2	0	2
450	20	0	0	raw	100	5	5	54
450	20	0	0	sig1	5	5	0	3
450	20	0	0	bsln	3	3	0	3
450	20	0	0	sig2	100	5	5	54
450	20	0	0	big2	5	5	0	3
450	20	0	0	s2or	3	3	0	3
500	20	0	0	raw	100	6	5	56
500	20	0	0	sig1	6	6	2	5
500	20	0	0	bsln	5	5	1	5
500	20	0	0	sig2	100	6	5	56
500	20	0	0	big2	6	6	2	5
500	20	0	0	s2or	5	5	1	5
20	50	0	0	raw	100	5	5	51
20	50	0	0	sig1	5	5	0	5
20	50	0	0	bsln	5	5	0	5
20	50	0	0	sig2	100	5	5	51
20	50	0	0	big2	5	5	0	5
20	50	0	0	s2or	5	5	0	5
50	50	0	0	raw	100	5	5	42
50	50	0	0	sig1	5	5	0	2
50	50	0	0	bsln	2	2	0	2
50	50	0	0	sig2	100	5	5	42
50	50	0	0	big2	5	5	0	2
50	50	0	0	s2or	2	2	0	2
100	50	0	0	raw	100	6	5	45
100	50	0	0	sig1	6	6	0	3
100	50	0	0	bsln	3	3	0	3
100	50	0	0	sig2	100	6	5	45
100	50	0	0	big2	6	6	0	3
100	50	0	0	s2or	3	3	0	3
150	50	0	0	raw	100	3	5	55
150	50	0	0	sig1	3	3	0	1
150	50	0	0	bsln	1	1	0	1
150	50	0	0	sig2	100	3	5	55
150	50	0	0	big2	3	3	0	1
150	50	0	0	s2or	1	1	0	1
200	50	0	0	raw	100	3	5	45
200	50	0	0	sig1	3	3	1	1
200	50	0	0	bsln	1	1	1	1
200	50	0	0	sig2	100	3	5	45
200	50	0	0	big2	3	3	1	1
200	50	0	0	s2or	1	1	1	1
250	50	0	0	raw	100	6	5	55
250	50	0	0	sig1	6	6	0	1
250	50	0	0	bsln	1	1	0	1
250	50	0	0	sig2	100	6	5	55
250	50	0	0	big2	6	6	0	1
250	50	0	0	s2or	1	1	0	1
300	50	0	0	raw	100	4	5	49
300	50	0	0	sig1	4	4	0	2
300	50	0	0	bsln	2	2	0	2
300	50	0	0	sig2	100	4	5	49
300	50	0	0	big2	4	4	0	2
300	50	0	0	s2or	2	2	0	2
350	50	0	0	raw	100	4	5	43
350	50	0	0	sig1	4	4	0	1
350	50	0	0	bsln	1	1	0	1
350	50	0	0	sig2	100	4	5	43
350	50	0	0	big2	4	4	0	1
350	50	0	0	s2or	1	1	0	1
400	50	0	0	raw	100	6	5	45
400	50	0	0	sig1	6	6	1	4
400	50	0	0	bsln	4	4	0	4
400	50	0	0	sig2	100	6	5	45
400	50	0	0	big2	6	6	1	4
400	50	0	0	s2or	4	4	0	4
450	50	0	0	raw	100	5	5	51
450	50	0	0	sig1	5	5	0	1
450	50	0	0	bsln	1	1	0	1
450	50	0	0	sig2	100	5	5	51
450	50	0	0	big2	5	5	0	1
450	50	0	0	s2or	1	1	0	1
500	50	0	0	raw	100	6	5	45
500	50	0	0	sig1	6	6	0	2
500	50	0	0	bsln	2	2	0	2
500	50	0	0	sig2	100	6	5	45
500	50	0	0	big2	6	6	0	2
500	50	0	0	s2or	2	2	0	2
20	100	0	0	raw	100	5	6	54
20	100	0	0	sig1	5	5	1	1
20	100	0	0	bsln	1	1	0	1
20	100	0	0	sig2	100	5	6	54
20	100	0	0	big2	5	5	1	1
20	100	0	0	s2or	1	1	0	1
50	100	0	0	raw	100	5	6	47
50	100	0	0	sig1	5	5	1	2
50	100	0	0	bsln	2	2	0	2
50	100	0	0	sig2	100	5	6	47
50	100	0	0	big2	5	5	1	2
50	100	0	0	s2or	2	2	0	2
100	100	0	0	raw	100	6	6	48
100	100	0	0	sig1	6	6	0	3
100	100	0	0	bsln	3	3	0	3
100	100	0	0	sig2	100	6	6	48
100	100	0	0	big2	6	6	0	3
100	100	0	0	s2or	3	3	0	3
150	100	0	0	raw	100	3	6	44
150	100	0	0	sig1	3	3	0	1
150	100	0	0	bsln	1	1	0	1
150	100	0	0	sig2	100	3	6	44
150	100	0	0	big2	3	3	0	1
150	100	0	0	s2or	1	1	0	1
200	100	0	0	raw	100	3	6	42
200	100	0	0	sig1	3	3	0	2
200	100	0	0	bsln	2	2	0	2
200	100	0	0	sig2	100	3	6	42
200	100	0	0	big2	3	3	0	2
200	100	0	0	s2or	2	2	0	2
250	100	0	0	raw	100	6	6	44
250	100	0	0	sig1	6	6	0	3
250	100	0	0	bsln	3	3	0	3
250	100	0	0	sig2	100	6	6	44
250	100	0	0	big2	6	6	0	3
250	100	0	0	s2or	3	3	0	3
300	100	0	0	raw	100	4	6	48
300	100	0	0	sig1	4	4	0	3
300	100	0	0	bsln	3	3	0	3
300	100	0	0	sig2	100	4	6	48
300	100	0	0	big2	4	4	0	3
300	100	0	0	s2or	3	3	0	3
350	100	0	0	raw	100	4	6	50
350	100	0	0	sig1	4	4	0	2
350	100	0	0	bsln	2	2	0	2
350	100	0	0	sig2	100	4	6	50
350	100	0	0	big2	4	4	0	2
350	100	0	0	s2or	2	2	0	2
400	100	0	0	raw	100	6	6	44
400	100	0	0	sig1	6	6	1	3
400	100	0	0	bsln	3	3	1	3
400	100	0	0	sig2	100	6	6	44
400	100	0	0	big2	6	6	1	3
400	100	0	0	s2or	3	3	1	3
450	100	0	0	raw	100	5	6	48
450	100	0	0	sig1	5	5	0	3
450	100	0	0	bsln	3	3	0	3
450	100	0	0	sig2	100	5	6	48
450	100	0	0	big2	5	5	0	3
450	100	0	0	s2or	3	3	0	3
500	100	0	0	raw	100	6	6	60
500	100	0	0	sig1	6	6	0	4
500	100	0	0	bsln	4	4	0	4
500	100	0	0	sig2	100	6	6	60
500	100	0	0	big2	6	6	0	4
500	100	0	0	s2or	4	4	0	4
20	150	0	0	raw	100	5	3	54
20	150	0	0	sig1	5	5	1	3
20	150	0	0	bsln	3	3	0	3
20	150	0	0	sig2	100	5	3	54
20	150	0	0	big2	5	5	1	3
20	150	0	0	s2or	3	3	0	3
50	150	0	0	raw	100	5	3	41
50	150	0	0	sig1	5	5	0	2
50	150	0	0	bsln	2	2	0	2
50	150	0	0	sig2	100	5	3	41
50	150	0	0	big2	5	5	0	2
50	150	0	0	s2or	2	2	0	2
100	150	0	0	raw	100	6	3	46
100	150	0	0	sig1	6	6	0	1
100	150	0	0	bsln	1	1	0	1
100	150	0	0	sig2	100	6	3	46
100	150	0	0	big2	6	6	0	1
100	150	0	0	s2or	1	1	0	1
150	150	0	0	raw	100	3	3	48
150	150	0	0	sig1	3	3	0	1
150	150	0	0	bsln	1	1	0	1
150	150	0	0	sig2	100	3	3	48
150	150	0	0	big2	3	3	0	1
150	150	0	0	s2or	1	1	0	1
200	150	0	0	raw	100	3	3	48
200	150	0	0	sig1	3	3	0	0
200	150	0	0	bsln	0	NA	NA	NA
200	150	0	0	sig2	100	3	3	48
200	150	0	0	big2	3	3	0	0
200	150	0	0	s2or	0	NA	NA	NA
250	150	0	0	raw	100	6	3	52
250	150	0	0	sig1	6	6	0	4
250	150	0	0	bsln	4	4	0	4
250	150	0	0	sig2	100	6	3	52
250	150	0	0	big2	6	6	0	4
250	150	0	0	s2or	4	4	0	4
300	150	0	0	raw	100	4	3	48
300	150	0	0	sig1	4	4	0	2
300	150	0	0	bsln	2	2	0	2
300	150	0	0	sig2	100	4	3	48
300	150	0	0	big2	4	4	0	2
300	150	0	0	s2or	2	2	0	2
350	150	0	0	raw	100	4	3	52
350	150	0	0	sig1	4	4	0	0
350	150	0	0	bsln	0	NA	NA	NA
350	150	0	0	sig2	100	4	3	52
350	150	0	0	big2	4	4	0	0
350	150	0	0	s2or	0	NA	NA	NA
400	150	0	0	raw	100	6	3	40
400	150	0	0	sig1	6	6	0	2
400	150	0	0	bsln	2	2	0	2
400	150	0	0	sig2	100	6	3	40
400	150	0	0	big2	6	6	0	2
400	150	0	0	s2or	2	2	0	2
450	150	0	0	raw	100	5	3	48
450	150	0	0	sig1	5	5	0	3
450	150	0	0	bsln	3	3	0	3
450	150	0	0	sig2	100	5	3	48
450	150	0	0	big2	5	5	0	3
450	150	0	0	s2or	3	3	0	3
500	150	0	0	raw	100	6	3	48
500	150	0	0	sig1	6	6	0	2
500	150	0	0	bsln	2	2	0	2
500	150	0	0	sig2	100	6	3	48
500	150	0	0	big2	6	6	0	2
500	150	0	0	s2or	2	2	0	2
20	200	0	0	raw	100	5	3	52
20	200	0	0	sig1	5	5	0	3
20	200	0	0	bsln	3	3	0	3
20	200	0	0	sig2	100	5	3	52
20	200	0	0	big2	5	5	0	3
20	200	0	0	s2or	3	3	0	3
50	200	0	0	raw	100	5	3	59
50	200	0	0	sig1	5	5	1	3
50	200	0	0	bsln	3	3	0	3
50	200	0	0	sig2	100	5	3	59
50	200	0	0	big2	5	5	1	3
50	200	0	0	s2or	3	3	0	3
100	200	0	0	raw	100	6	3	48
100	200	0	0	sig1	6	6	0	4
100	200	0	0	bsln	4	4	0	4
100	200	0	0	sig2	100	6	3	48
100	200	0	0	big2	6	6	0	4
100	200	0	0	s2or	4	4	0	4
150	200	0	0	raw	100	3	3	46
150	200	0	0	sig1	3	3	0	2
150	200	0	0	bsln	2	2	0	2
150	200	0	0	sig2	100	3	3	46
150	200	0	0	big2	3	3	0	2
150	200	0	0	s2or	2	2	0	2
200	200	0	0	raw	100	3	3	40
200	200	0	0	sig1	3	3	0	0
200	200	0	0	bsln	0	NA	NA	NA
200	200	0	0	sig2	100	3	3	40
200	200	0	0	big2	3	3	0	0
200	200	0	0	s2or	0	NA	NA	NA
250	200	0	0	raw	100	6	3	44
250	200	0	0	sig1	6	6	2	3
250	200	0	0	bsln	3	3	1	3
250	200	0	0	sig2	100	6	3	44
250	200	0	0	big2	6	6	2	3
250	200	0	0	s2or	3	3	1	3
300	200	0	0	raw	100	4	3	58
300	200	0	0	sig1	4	4	0	2
300	200	0	0	bsln	2	2	0	2
300	200	0	0	sig2	100	4	3	58
300	200	0	0	big2	4	4	0	2
300	200	0	0	s2or	2	2	0	2
350	200	0	0	raw	100	4	3	50
350	200	0	0	sig1	4	4	0	3
350	200	0	0	bsln	3	3	0	3
350	200	0	0	sig2	100	4	3	50
350	200	0	0	big2	4	4	0	3
350	200	0	0	s2or	3	3	0	3
400	200	0	0	raw	100	6	3	52
400	200	0	0	sig1	6	6	1	3
400	200	0	0	bsln	3	3	1	3
400	200	0	0	sig2	100	6	3	52
400	200	0	0	big2	6	6	1	3
400	200	0	0	s2or	3	3	1	3
450	200	0	0	raw	100	5	3	44
450	200	0	0	sig1	5	5	0	1
450	200	0	0	bsln	1	1	0	1
450	200	0	0	sig2	100	5	3	44
450	200	0	0	big2	5	5	0	1
450	200	0	0	s2or	1	1	0	1
500	200	0	0	raw	100	6	3	52
500	200	0	0	sig1	6	6	0	3
500	200	0	0	bsln	3	3	0	3
500	200	0	0	sig2	100	6	3	52
500	200	0	0	big2	6	6	0	3
500	200	0	0	s2or	3	3	0	3
20	250	0	0	raw	100	5	6	56
20	250	0	0	sig1	5	5	0	5
20	250	0	0	bsln	5	5	0	5
20	250	0	0	sig2	100	5	6	56
20	250	0	0	big2	5	5	0	5
20	250	0	0	s2or	5	5	0	5
50	250	0	0	raw	100	5	6	61
50	250	0	0	sig1	5	5	1	2
50	250	0	0	bsln	2	2	0	2
50	250	0	0	sig2	100	5	6	61
50	250	0	0	big2	5	5	1	2
50	250	0	0	s2or	2	2	0	2
100	250	0	0	raw	100	6	6	54
100	250	0	0	sig1	6	6	0	5
100	250	0	0	bsln	5	5	0	5
