n1	n2	d1	d2	type	m	sig1	sig2	sdir
100	250	0	0	sig2	100	6	6	54
100	250	0	0	big2	6	6	0	5
100	250	0	0	s2or	5	5	0	5
150	250	0	0	raw	100	3	6	48
150	250	0	0	sig1	3	3	0	0
150	250	0	0	bsln	0	NA	NA	NA
150	250	0	0	sig2	100	3	6	48
150	250	0	0	big2	3	3	0	0
150	250	0	0	s2or	0	NA	NA	NA
200	250	0	0	raw	100	3	6	42
200	250	0	0	sig1	3	3	0	2
200	250	0	0	bsln	2	2	0	2
200	250	0	0	sig2	100	3	6	42
200	250	0	0	big2	3	3	0	2
200	250	0	0	s2or	2	2	0	2
250	250	0	0	raw	100	6	6	44
250	250	0	0	sig1	6	6	0	2
250	250	0	0	bsln	2	2	0	2
250	250	0	0	sig2	100	6	6	44
250	250	0	0	big2	6	6	0	2
250	250	0	0	s2or	2	2	0	2
300	250	0	0	raw	100	4	6	50
300	250	0	0	sig1	4	4	0	1
300	250	0	0	bsln	1	1	0	1
300	250	0	0	sig2	100	4	6	50
300	250	0	0	big2	4	4	0	1
300	250	0	0	s2or	1	1	0	1
350	250	0	0	raw	100	4	6	46
350	250	0	0	sig1	4	4	0	4
350	250	0	0	bsln	4	4	0	4
350	250	0	0	sig2	100	4	6	46
350	250	0	0	big2	4	4	0	4
350	250	0	0	s2or	4	4	0	4
400	250	0	0	raw	100	6	6	48
400	250	0	0	sig1	6	6	0	2
400	250	0	0	bsln	2	2	0	2
400	250	0	0	sig2	100	6	6	48
400	250	0	0	big2	6	6	0	2
400	250	0	0	s2or	2	2	0	2
450	250	0	0	raw	100	5	6	54
450	250	0	0	sig1	5	5	0	3
450	250	0	0	bsln	3	3	0	3
450	250	0	0	sig2	100	5	6	54
450	250	0	0	big2	5	5	0	3
450	250	0	0	s2or	3	3	0	3
500	250	0	0	raw	100	6	6	42
500	250	0	0	sig1	6	6	0	4
500	250	0	0	bsln	4	4	0	4
500	250	0	0	sig2	100	6	6	42
500	250	0	0	big2	6	6	0	4
500	250	0	0	s2or	4	4	0	4
20	300	0	0	raw	100	5	4	52
20	300	0	0	sig1	5	5	1	3
20	300	0	0	bsln	3	3	0	3
20	300	0	0	sig2	100	5	4	52
20	300	0	0	big2	5	5	1	3
20	300	0	0	s2or	3	3	0	3
50	300	0	0	raw	100	5	4	47
50	300	0	0	sig1	5	5	1	3
50	300	0	0	bsln	3	3	0	3
50	300	0	0	sig2	100	5	4	47
50	300	0	0	big2	5	5	1	3
50	300	0	0	s2or	3	3	0	3
100	300	0	0	raw	100	6	4	50
100	300	0	0	sig1	6	6	0	3
100	300	0	0	bsln	3	3	0	3
100	300	0	0	sig2	100	6	4	50
100	300	0	0	big2	6	6	0	3
100	300	0	0	s2or	3	3	0	3
150	300	0	0	raw	100	3	4	42
150	300	0	0	sig1	3	3	0	2
150	300	0	0	bsln	2	2	0	2
150	300	0	0	sig2	100	3	4	42
150	300	0	0	big2	3	3	0	2
150	300	0	0	s2or	2	2	0	2
200	300	0	0	raw	100	3	4	50
200	300	0	0	sig1	3	3	0	2
200	300	0	0	bsln	2	2	0	2
200	300	0	0	sig2	100	3	4	50
200	300	0	0	big2	3	3	0	2
200	300	0	0	s2or	2	2	0	2
250	300	0	0	raw	100	6	4	60
250	300	0	0	sig1	6	6	0	1
250	300	0	0	bsln	1	1	0	1
250	300	0	0	sig2	100	6	4	60
250	300	0	0	big2	6	6	0	1
250	300	0	0	s2or	1	1	0	1
300	300	0	0	raw	100	4	4	62
300	300	0	0	sig1	4	4	0	1
300	300	0	0	bsln	1	1	0	1
300	300	0	0	sig2	100	4	4	62
300	300	0	0	big2	4	4	0	1
300	300	0	0	s2or	1	1	0	1
350	300	0	0	raw	100	4	4	44
350	300	0	0	sig1	4	4	1	3
350	300	0	0	bsln	3	3	1	3
350	300	0	0	sig2	100	4	4	44
350	300	0	0	big2	4	4	1	3
350	300	0	0	s2or	3	3	1	3
400	300	0	0	raw	100	6	4	46
400	300	0	0	sig1	6	6	0	4
400	300	0	0	bsln	4	4	0	4
400	300	0	0	sig2	100	6	4	46
400	300	0	0	big2	6	6	0	4
400	300	0	0	s2or	4	4	0	4
450	300	0	0	raw	100	5	4	50
450	300	0	0	sig1	5	5	0	3
450	300	0	0	bsln	3	3	0	3
450	300	0	0	sig2	100	5	4	50
450	300	0	0	big2	5	5	0	3
450	300	0	0	s2or	3	3	0	3
500	300	0	0	raw	100	6	4	48
500	300	0	0	sig1	6	6	0	3
500	300	0	0	bsln	3	3	0	3
500	300	0	0	sig2	100	6	4	48
500	300	0	0	big2	6	6	0	3
500	300	0	0	s2or	3	3	0	3
20	350	0	0	raw	100	5	4	52
20	350	0	0	sig1	5	5	0	3
20	350	0	0	bsln	3	3	0	3
20	350	0	0	sig2	100	5	4	52
20	350	0	0	big2	5	5	0	3
20	350	0	0	s2or	3	3	0	3
50	350	0	0	raw	100	5	4	51
50	350	0	0	sig1	5	5	0	5
50	350	0	0	bsln	5	5	0	5
50	350	0	0	sig2	100	5	4	51
50	350	0	0	big2	5	5	0	5
50	350	0	0	s2or	5	5	0	5
100	350	0	0	raw	100	6	4	50
100	350	0	0	sig1	6	6	0	2
100	350	0	0	bsln	2	2	0	2
100	350	0	0	sig2	100	6	4	50
100	350	0	0	big2	6	6	0	2
100	350	0	0	s2or	2	2	0	2
150	350	0	0	raw	100	3	4	52
150	350	0	0	sig1	3	3	0	2
150	350	0	0	bsln	2	2	0	2
150	350	0	0	sig2	100	3	4	52
150	350	0	0	big2	3	3	0	2
150	350	0	0	s2or	2	2	0	2
200	350	0	0	raw	100	3	4	50
200	350	0	0	sig1	3	3	0	1
200	350	0	0	bsln	1	1	0	1
200	350	0	0	sig2	100	3	4	50
200	350	0	0	big2	3	3	0	1
200	350	0	0	s2or	1	1	0	1
250	350	0	0	raw	100	6	4	48
250	350	0	0	sig1	6	6	1	3
250	350	0	0	bsln	3	3	0	3
250	350	0	0	sig2	100	6	4	48
250	350	0	0	big2	6	6	1	3
250	350	0	0	s2or	3	3	0	3
300	350	0	0	raw	100	4	4	54
300	350	0	0	sig1	4	4	0	1
300	350	0	0	bsln	1	1	0	1
300	350	0	0	sig2	100	4	4	54
300	350	0	0	big2	4	4	0	1
300	350	0	0	s2or	1	1	0	1
350	350	0	0	raw	100	4	4	52
350	350	0	0	sig1	4	4	0	0
350	350	0	0	bsln	0	NA	NA	NA
350	350	0	0	sig2	100	4	4	52
350	350	0	0	big2	4	4	0	0
350	350	0	0	s2or	0	NA	NA	NA
400	350	0	0	raw	100	6	4	56
400	350	0	0	sig1	6	6	0	4
400	350	0	0	bsln	4	4	0	4
400	350	0	0	sig2	100	6	4	56
400	350	0	0	big2	6	6	0	4
400	350	0	0	s2or	4	4	0	4
450	350	0	0	raw	100	5	4	58
450	350	0	0	sig1	5	5	0	3
450	350	0	0	bsln	3	3	0	3
450	350	0	0	sig2	100	5	4	58
450	350	0	0	big2	5	5	0	3
450	350	0	0	s2or	3	3	0	3
500	350	0	0	raw	100	6	4	54
500	350	0	0	sig1	6	6	0	3
500	350	0	0	bsln	3	3	0	3
500	350	0	0	sig2	100	6	4	54
500	350	0	0	big2	6	6	0	3
500	350	0	0	s2or	3	3	0	3
20	400	0	0	raw	100	5	6	56
20	400	0	0	sig1	5	5	1	4
20	400	0	0	bsln	4	4	1	4
20	400	0	0	sig2	100	5	6	56
20	400	0	0	big2	5	5	1	4
20	400	0	0	s2or	4	4	1	4
50	400	0	0	raw	100	5	6	51
50	400	0	0	sig1	5	5	0	3
50	400	0	0	bsln	3	3	0	3
50	400	0	0	sig2	100	5	6	51
50	400	0	0	big2	5	5	0	3
50	400	0	0	s2or	3	3	0	3
100	400	0	0	raw	100	6	6	44
100	400	0	0	sig1	6	6	0	5
100	400	0	0	bsln	5	5	0	5
100	400	0	0	sig2	100	6	6	44
100	400	0	0	big2	6	6	0	5
100	400	0	0	s2or	5	5	0	5
150	400	0	0	raw	100	3	6	42
150	400	0	0	sig1	3	3	0	2
150	400	0	0	bsln	2	2	0	2
150	400	0	0	sig2	100	3	6	42
150	400	0	0	big2	3	3	0	2
150	400	0	0	s2or	2	2	0	2
200	400	0	0	raw	100	3	6	56
200	400	0	0	sig1	3	3	0	2
200	400	0	0	bsln	2	2	0	2
200	400	0	0	sig2	100	3	6	56
200	400	0	0	big2	3	3	0	2
200	400	0	0	s2or	2	2	0	2
250	400	0	0	raw	100	6	6	42
250	400	0	0	sig1	6	6	0	2
250	400	0	0	bsln	2	2	0	2
250	400	0	0	sig2	100	6	6	42
250	400	0	0	big2	6	6	0	2
250	400	0	0	s2or	2	2	0	2
300	400	0	0	raw	100	4	6	50
300	400	0	0	sig1	4	4	2	2
300	400	0	0	bsln	2	2	1	2
300	400	0	0	sig2	100	4	6	50
300	400	0	0	big2	4	4	2	2
300	400	0	0	s2or	2	2	1	2
350	400	0	0	raw	100	4	6	48
350	400	0	0	sig1	4	4	0	3
350	400	0	0	bsln	3	3	0	3
350	400	0	0	sig2	100	4	6	48
350	400	0	0	big2	4	4	0	3
350	400	0	0	s2or	3	3	0	3
400	400	0	0	raw	100	6	6	52
400	400	0	0	sig1	6	6	0	5
400	400	0	0	bsln	5	5	0	5
400	400	0	0	sig2	100	6	6	52
400	400	0	0	big2	6	6	0	5
400	400	0	0	s2or	5	5	0	5
450	400	0	0	raw	100	5	6	44
450	400	0	0	sig1	5	5	0	2
450	400	0	0	bsln	2	2	0	2
450	400	0	0	sig2	100	5	6	44
450	400	0	0	big2	5	5	0	2
450	400	0	0	s2or	2	2	0	2
500	400	0	0	raw	100	6	6	46
500	400	0	0	sig1	6	6	0	2
500	400	0	0	bsln	2	2	0	2
500	400	0	0	sig2	100	6	6	46
500	400	0	0	big2	6	6	0	2
500	400	0	0	s2or	2	2	0	2
20	450	0	0	raw	100	5	5	48
20	450	0	0	sig1	5	5	0	2
20	450	0	0	bsln	2	2	0	2
20	450	0	0	sig2	100	5	5	48
20	450	0	0	big2	5	5	0	2
20	450	0	0	s2or	2	2	0	2
50	450	0	0	raw	100	5	5	51
50	450	0	0	sig1	5	5	0	4
50	450	0	0	bsln	4	4	0	4
50	450	0	0	sig2	100	5	5	51
50	450	0	0	big2	5	5	0	4
50	450	0	0	s2or	4	4	0	4
100	450	0	0	raw	100	6	5	48
100	450	0	0	sig1	6	6	0	4
100	450	0	0	bsln	4	4	0	4
100	450	0	0	sig2	100	6	5	48
100	450	0	0	big2	6	6	0	4
100	450	0	0	s2or	4	4	0	4
150	450	0	0	raw	100	3	5	44
150	450	0	0	sig1	3	3	0	2
150	450	0	0	bsln	2	2	0	2
150	450	0	0	sig2	100	3	5	44
150	450	0	0	big2	3	3	0	2
150	450	0	0	s2or	2	2	0	2
200	450	0	0	raw	100	3	5	56
200	450	0	0	sig1	3	3	0	2
200	450	0	0	bsln	2	2	0	2
200	450	0	0	sig2	100	3	5	56
200	450	0	0	big2	3	3	0	2
200	450	0	0	s2or	2	2	0	2
250	450	0	0	raw	100	6	5	50
250	450	0	0	sig1	6	6	0	4
250	450	0	0	bsln	4	4	0	4
250	450	0	0	sig2	100	6	5	50
250	450	0	0	big2	6	6	0	4
250	450	0	0	s2or	4	4	0	4
300	450	0	0	raw	100	4	5	52
300	450	0	0	sig1	4	4	0	3
300	450	0	0	bsln	3	3	0	3
300	450	0	0	sig2	100	4	5	52
300	450	0	0	big2	4	4	0	3
300	450	0	0	s2or	3	3	0	3
350	450	0	0	raw	100	4	5	48
350	450	0	0	sig1	4	4	1	3
350	450	0	0	bsln	3	3	1	3
350	450	0	0	sig2	100	4	5	48
350	450	0	0	big2	4	4	1	3
350	450	0	0	s2or	3	3	1	3
400	450	0	0	raw	100	6	5	48
400	450	0	0	sig1	6	6	0	3
400	450	0	0	bsln	3	3	0	3
400	450	0	0	sig2	100	6	5	48
400	450	0	0	big2	6	6	0	3
400	450	0	0	s2or	3	3	0	3
450	450	0	0	raw	100	5	5	58
450	450	0	0	sig1	5	5	0	3
450	450	0	0	bsln	3	3	0	3
450	450	0	0	sig2	100	5	5	58
450	450	0	0	big2	5	5	0	3
450	450	0	0	s2or	3	3	0	3
500	450	0	0	raw	100	6	5	48
500	450	0	0	sig1	6	6	0	4
500	450	0	0	bsln	4	4	0	4
500	450	0	0	sig2	100	6	5	48
500	450	0	0	big2	6	6	0	4
500	450	0	0	s2or	4	4	0	4
20	500	0	0	raw	100	5	6	54
20	500	0	0	sig1	5	5	1	3
20	500	0	0	bsln	3	3	0	3
20	500	0	0	sig2	100	5	6	54
20	500	0	0	big2	5	5	1	3
20	500	0	0	s2or	3	3	0	3
50	500	0	0	raw	100	5	6	49
50	500	0	0	sig1	5	5	1	4
50	500	0	0	bsln	4	4	1	4
50	500	0	0	sig2	100	5	6	49
50	500	0	0	big2	5	5	1	4
50	500	0	0	s2or	4	4	1	4
100	500	0	0	raw	100	6	6	42
100	500	0	0	sig1	6	6	0	3
100	500	0	0	bsln	3	3	0	3
100	500	0	0	sig2	100	6	6	42
100	500	0	0	big2	6	6	0	3
100	500	0	0	s2or	3	3	0	3
150	500	0	0	raw	100	3	6	48
150	500	0	0	sig1	3	3	0	2
150	500	0	0	bsln	2	2	0	2
150	500	0	0	sig2	100	3	6	48
150	500	0	0	big2	3	3	0	2
150	500	0	0	s2or	2	2	0	2
200	500	0	0	raw	100	3	6	52
200	500	0	0	sig1	3	3	0	2
200	500	0	0	bsln	2	2	0	2
200	500	0	0	sig2	100	3	6	52
200	500	0	0	big2	3	3	0	2
200	500	0	0	s2or	2	2	0	2
250	500	0	0	raw	100	6	6	44
250	500	0	0	sig1	6	6	0	3
250	500	0	0	bsln	3	3	0	3
250	500	0	0	sig2	100	6	6	44
250	500	0	0	big2	6	6	0	3
250	500	0	0	s2or	3	3	0	3
300	500	0	0	raw	100	4	6	50
300	500	0	0	sig1	4	4	0	4
300	500	0	0	bsln	4	4	0	4
300	500	0	0	sig2	100	4	6	50
300	500	0	0	big2	4	4	0	4
300	500	0	0	s2or	4	4	0	4
350	500	0	0	raw	100	4	6	58
350	500	0	0	sig1	4	4	0	2
350	500	0	0	bsln	2	2	0	2
350	500	0	0	sig2	100	4	6	58
350	500	0	0	big2	4	4	0	2
