cutoff	n2	d2
0.05	50	0.753637522232592
0.05	100	0.536327022512985
0.05	150	0.474140792258216
0.05	200	0.422409910280661
0.05	250	0.41994788575074
0.05	300	0.438969469171767
0.05	350	0.326198178947861
0.05	400	0.368363644022817
0.05	450	0.360139391543878
0.05	500	0.246492469278882
0.2	50	0.568514427311203
0.2	100	0.400504605183639
0.2	150	0.35109295738026
0.2	200	0.327633958410147
0.2	250	0.289109271627253
0.2	300	0.312892764845099
0.2	350	0.214010397785002
0.2	400	0.274866521613392
0.2	450	0.242843470413433
0.2	500	NA
