n1	n2	d1	d2	sig1	sig2	sdir
20	20	0	0	1	0	0.4
50	20	0	0	1	0	0.8
100	20	0	0	1	0	0.666666666666667
150	20	0	0	1	0	0
200	20	0	0	1	0	0.666666666666667
250	20	0	0	1	0	0.166666666666667
300	20	0	0	1	0	0.75
350	20	0	0	1	0	0.25
400	20	0	0	1	0	0.333333333333333
450	20	0	0	1	0	0.6
500	20	0	0	1	0.333333333333333	0.833333333333333
20	50	0	0	1	0	1
50	50	0	0	1	0	0.4
100	50	0	0	1	0	0.5
150	50	0	0	1	0	0.333333333333333
200	50	0	0	1	0.333333333333333	0.333333333333333
250	50	0	0	1	0	0.166666666666667
300	50	0	0	1	0	0.5
350	50	0	0	1	0	0.25
400	50	0	0	1	0.166666666666667	0.666666666666667
450	50	0	0	1	0	0.2
500	50	0	0	1	0	0.333333333333333
20	100	0	0	1	0.2	0.2
50	100	0	0	1	0.2	0.4
100	100	0	0	1	0	0.5
150	100	0	0	1	0	0.333333333333333
200	100	0	0	1	0	0.666666666666667
250	100	0	0	1	0	0.5
300	100	0	0	1	0	0.75
350	100	0	0	1	0	0.5
400	100	0	0	1	0.166666666666667	0.5
450	100	0	0	1	0	0.6
500	100	0	0	1	0	0.666666666666667
20	150	0	0	1	0.2	0.6
50	150	0	0	1	0	0.4
100	150	0	0	1	0	0.166666666666667
150	150	0	0	1	0	0.333333333333333
200	150	0	0	1	0	0
250	150	0	0	1	0	0.666666666666667
300	150	0	0	1	0	0.5
350	150	0	0	1	0	0
400	150	0	0	1	0	0.333333333333333
450	150	0	0	1	0	0.6
500	150	0	0	1	0	0.333333333333333
20	200	0	0	1	0	0.6
50	200	0	0	1	0.2	0.6
100	200	0	0	1	0	0.666666666666667
150	200	0	0	1	0	0.666666666666667
200	200	0	0	1	0	0
250	200	0	0	1	0.333333333333333	0.5
300	200	0	0	1	0	0.5
350	200	0	0	1	0	0.75
400	200	0	0	1	0.166666666666667	0.5
450	200	0	0	1	0	0.2
500	200	0	0	1	0	0.5
20	250	0	0	1	0	1
50	250	0	0	1	0.2	0.4
100	250	0	0	1	0	0.833333333333333
150	250	0	0	1	0	0
200	250	0	0	1	0	0.666666666666667
250	250	0	0	1	0	0.333333333333333
300	250	0	0	1	0	0.25
350	250	0	0	1	0	1
400	250	0	0	1	0	0.333333333333333
450	250	0	0	1	0	0.6
500	250	0	0	1	0	0.666666666666667
20	300	0	0	1	0.2	0.6
50	300	0	0	1	0.2	0.6
100	300	0	0	1	0	0.5
150	300	0	0	1	0	0.666666666666667
200	300	0	0	1	0	0.666666666666667
250	300	0	0	1	0	0.166666666666667
300	300	0	0	1	0	0.25
350	300	0	0	1	0.25	0.75
400	300	0	0	1	0	0.666666666666667
450	300	0	0	1	0	0.6
500	300	0	0	1	0	0.5
20	350	0	0	1	0	0.6
50	350	0	0	1	0	1
100	350	0	0	1	0	0.333333333333333
150	350	0	0	1	0	0.666666666666667
200	350	0	0	1	0	0.333333333333333
250	350	0	0	1	0.166666666666667	0.5
300	350	0	0	1	0	0.25
350	350	0	0	1	0	0
400	350	0	0	1	0	0.666666666666667
450	350	0	0	1	0	0.6
500	350	0	0	1	0	0.5
20	400	0	0	1	0.2	0.8
50	400	0	0	1	0	0.6
100	400	0	0	1	0	0.833333333333333
150	400	0	0	1	0	0.666666666666667
200	400	0	0	1	0	0.666666666666667
250	400	0	0	1	0	0.333333333333333
300	400	0	0	1	0.5	0.5
350	400	0	0	1	0	0.75
400	400	0	0	1	0	0.833333333333333
450	400	0	0	1	0	0.4
