n1	n2	d1	d2	sig1	sig2	sdir
20	20	0	0	0.05	0	0.4
50	20	0	0	0.05	0	0.55
100	20	0	0	0.06	0	0.54
150	20	0	0	0.03	NA	0.42
200	20	0	0	0.03	0	0.5
250	20	0	0	0.06	0	0.54
300	20	0	0	0.04	0	0.46
350	20	0	0	0.04	0	0.56
400	20	0	0	0.06	0	0.44
450	20	0	0	0.05	0	0.54
500	20	0	0	0.06	0.166666666666667	0.56
20	50	0	0	0.05	0	0.51
50	50	0	0	0.05	0	0.42
100	50	0	0	0.06	0	0.45
150	50	0	0	0.03	0	0.55
200	50	0	0	0.03	0.333333333333333	0.45
250	50	0	0	0.06	0	0.55
300	50	0	0	0.04	0	0.49
350	50	0	0	0.04	0	0.43
400	50	0	0	0.06	0	0.45
450	50	0	0	0.05	0	0.51
500	50	0	0	0.06	0	0.45
20	100	0	0	0.05	0	0.54
50	100	0	0	0.05	0	0.47
100	100	0	0	0.06	0	0.48
150	100	0	0	0.03	0	0.44
200	100	0	0	0.03	0	0.42
250	100	0	0	0.06	0	0.44
300	100	0	0	0.04	0	0.48
350	100	0	0	0.04	0	0.5
400	100	0	0	0.06	0.166666666666667	0.44
450	100	0	0	0.05	0	0.48
500	100	0	0	0.06	0	0.6
20	150	0	0	0.05	0	0.54
50	150	0	0	0.05	0	0.41
100	150	0	0	0.06	0	0.46
150	150	0	0	0.03	0	0.48
200	150	0	0	0.03	NA	0.48
250	150	0	0	0.06	0	0.52
300	150	0	0	0.04	0	0.48
350	150	0	0	0.04	NA	0.52
400	150	0	0	0.06	0	0.4
450	150	0	0	0.05	0	0.48
500	150	0	0	0.06	0	0.48
20	200	0	0	0.05	0	0.52
50	200	0	0	0.05	0	0.59
100	200	0	0	0.06	0	0.48
150	200	0	0	0.03	0	0.46
200	200	0	0	0.03	NA	0.4
250	200	0	0	0.06	0.166666666666667	0.44
300	200	0	0	0.04	0	0.58
350	200	0	0	0.04	0	0.5
400	200	0	0	0.06	0.166666666666667	0.52
450	200	0	0	0.05	0	0.44
500	200	0	0	0.06	0	0.52
20	250	0	0	0.05	0	0.56
50	250	0	0	0.05	0	0.61
100	250	0	0	0.06	0	0.54
150	250	0	0	0.03	NA	0.48
200	250	0	0	0.03	0	0.42
250	250	0	0	0.06	0	0.44
300	250	0	0	0.04	0	0.5
350	250	0	0	0.04	0	0.46
400	250	0	0	0.06	0	0.48
450	250	0	0	0.05	0	0.54
500	250	0	0	0.06	0	0.42
20	300	0	0	0.05	0	0.52
50	300	0	0	0.05	0	0.47
100	300	0	0	0.06	0	0.5
150	300	0	0	0.03	0	0.42
200	300	0	0	0.03	0	0.5
250	300	0	0	0.06	0	0.6
300	300	0	0	0.04	0	0.62
350	300	0	0	0.04	0.25	0.44
400	300	0	0	0.06	0	0.46
450	300	0	0	0.05	0	0.5
500	300	0	0	0.06	0	0.48
20	350	0	0	0.05	0	0.52
50	350	0	0	0.05	0	0.51
100	350	0	0	0.06	0	0.5
150	350	0	0	0.03	0	0.52
200	350	0	0	0.03	0	0.5
250	350	0	0	0.06	0	0.48
300	350	0	0	0.04	0	0.54
350	350	0	0	0.04	NA	0.52
400	350	0	0	0.06	0	0.56
450	350	0	0	0.05	0	0.58
500	350	0	0	0.06	0	0.54
20	400	0	0	0.05	0.2	0.56
50	400	0	0	0.05	0	0.51
100	400	0	0	0.06	0	0.44
150	400	0	0	0.03	0	0.42
200	400	0	0	0.03	0	0.56
250	400	0	0	0.06	0	0.42
300	400	0	0	0.04	0.25	0.5
350	400	0	0	0.04	0	0.48
400	400	0	0	0.06	0	0.52
450	400	0	0	0.05	0	0.44
500	400	0	0	0.06	0	0.46
20	450	0	0	0.05	0	0.48
50	450	0	0	0.05	0	0.51
100	450	0	0	0.06	0	0.48
150	450	0	0	0.03	0	0.44
200	450	0	0	0.03	0	0.56
250	450	0	0	0.06	0	0.5
300	450	0	0	0.04	0	0.52
350	450	0	0	0.04	0.25	0.48
400	450	0	0	0.06	0	0.48
450	450	0	0	0.05	0	0.58
500	450	0	0	0.06	0	0.48
20	500	0	0	0.05	0	0.54
50	500	0	0	0.05	0.2	0.49
100	500	0	0	0.06	0	0.42
150	500	0	0	0.03	0	0.48
200	500	0	0	0.03	0	0.52
250	500	0	0	0.06	0	0.44
300	500	0	0	0.04	0	0.5
350	500	0	0	0.04	0	0.58
400	500	0	0	0.06	0	0.44
450	500	0	0	0.05	0	0.48
500	500	0	0	0.06	0	0.52
20	20	0.1	0	0.03	0	0.44
50	20	0.1	0	0.06	0	0.5
100	20	0.1	0	0.12	0	0.5
150	20	0.1	0	0.13	0.0769230769230769	0.47
200	20	0.1	0	0.1	0.2	0.5
250	20	0.1	0	0.24	0	0.49
300	20	0.1	0	0.25	0	0.48
350	20	0.1	0	0.23	0	0.46
400	20	0.1	0	0.37	0.0540540540540541	0.51
450	20	0.1	0	0.24	0.0833333333333333	0.47
500	20	0.1	0	0.36	0.0277777777777778	0.48
20	50	0.1	0	0.03	0	0.49
50	50	0.1	0	0.06	0	0.45
100	50	0.1	0	0.12	0	0.53
150	50	0.1	0	0.13	0	0.56
200	50	0.1	0	0.1	0	0.53
