n2	near	d1	prop.true	rwfpr	rwfnr
50	0.1	0.1	0.05	0.919420740387626	0.0490094784342002
100	0.1	0.1	0.05	0.851306084346013	0.0468868640755269
150	0.1	0.1	0.05	0.813272499470208	0.0449238885398265
200	0.1	0.1	0.05	0.807096950228122	0.0432650898872796
250	0.1	0.1	0.05	0.800521401196302	0.041661309808692
300	0.1	0.1	0.05	0.798657755006155	0.0401598239150461
350	0.1	0.1	0.05	0.800038757646921	0.0387174199803
400	0.1	0.1	0.05	0.811568455822065	0.0376464534154546
450	0.1	0.1	0.05	0.836935851763612	0.0374358482179907
500	0.1	0.1	0.05	0.863047232850592	0.0378026185634516
50	0.1	0.2	0.05	0.763348524548449	0.0426692970465595
100	0.1	0.2	0.05	0.658989391997602	0.0380314857911372
150	0.1	0.2	0.05	0.617274933875956	0.0335309630910594
200	0.1	0.2	0.05	0.615335735869118	0.0290038779022693
250	0.1	0.2	0.05	0.608790936856127	0.0245233691060692
300	0.1	0.2	0.05	0.610885408950094	0.0205857604432999
350	0.1	0.2	0.05	0.622662635232224	0.0176635467098487
400	0.1	0.2	0.05	0.650408622783878	0.0158857652182657
450	0.1	0.2	0.05	0.693741546506845	0.0148392319707777
500	0.1	0.2	0.05	0.736009361375834	0.0139277040317236
50	0.1	0.3	0.05	0.611608195228414	0.0332491762579166
100	0.1	0.3	0.05	0.496279645063465	0.024883014958003
150	0.1	0.3	0.05	0.463362833148812	0.0173754080977258
200	0.1	0.3	0.05	0.480540663078087	0.0116097737674096
250	0.1	0.3	0.05	0.49586824419256	0.00765002241984099
300	0.1	0.3	0.05	0.518651787035612	0.00524163526147453
350	0.1	0.3	0.05	0.546057467008257	0.00385851044954588
400	0.1	0.3	0.05	0.584064002621028	0.00298987988415359
450	0.1	0.3	0.05	0.635625798132329	0.00232332606210811
500	0.1	0.3	0.05	0.686177455496702	0.00170666204514418
50	0.1	0.4	0.05	0.499327782754807	0.0223671343615621
100	0.1	0.4	0.05	0.416446622801151	0.014423956056143
150	0.1	0.4	0.05	0.405340232714713	0.00785418383693268
200	0.1	0.4	0.05	0.436809269663789	0.00345103927235003
250	0.1	0.4	0.05	0.463106623874307	0.0010598746718727
300	0.1	0.4	0.05	0.493966214544137	5.64095410179899e-05
350	0.1	0.4	0.05	0.528214861606628	0
400	0.1	0.4	0.05	0.570779781537655	0
450	0.1	0.4	0.05	0.626439741565533	9.96804634548429e-05
500	0.1	0.4	0.05	0.680958798377738	0.000304232344336906
50	0.1	0.5	0.05	0.42824734086649	0.0123154499696045
100	0.1	0.5	0.05	0.374972282093756	0.00710136096329646
150	0.1	0.5	0.05	0.38200677738399	0.00314256431094371
200	0.1	0.5	0.05	0.424327032662925	0.000784905747522322
250	0.1	0.5	0.05	0.45827437958975	0
300	0.1	0.5	0.05	0.493711916257772	0
350	0.1	0.5	0.05	0.528214861606628	0
400	0.1	0.5	0.05	0.570779781537655	0
450	0.1	0.5	0.05	0.62603510923027	0
500	0.1	0.5	0.05	0.68013208626053	7.97268248580146e-05
