n2	near	prop.true	RWFPR_02	RWFPR_05	RWFPR_08	RWFNR_02	RWFNR_05	RWFNR_08
150	0.1	0.1	0.43	0.23	0.22	0.07	0.01	0
150	0.1	0.25	0.2	0.09	0.08	0.18	0.02	0
150	0.1	0.5	0.08	0.03	0.03	0.4	0.06	0
150	0.1	0.75	0.03	0.01	0.01	0.66	0.15	0.01
150	0.1	0.9	0.01	0	0	0.86	0.35	0.03
150	0.3	0.1	0.68	0.54	0.5	0.06	0.02	0
150	0.3	0.25	0.41	0.28	0.25	0.16	0.05	0
150	0.3	0.5	0.19	0.11	0.1	0.37	0.13	0.01
150	0.3	0.75	0.07	0.04	0.04	0.63	0.3	0.03
150	0.3	0.9	0.03	0.01	0.01	0.84	0.56	0.1
