n2	dsig
5	1.45844507220241
10	0.939560899481302
15	0.747972532343959
20	0.640169643991407
25	0.568693388642186
30	0.516841231993781
35	0.477008311176576
40	0.445166937866914
45	0.418957489588976
50	0.396893490901696
55	0.377985652345708
60	0.361546593642764
65	0.347081827283863
70	0.334225300286886
75	0.322699451905998
80	0.312289476915654
85	0.302826184621576
90	0.29417425415294
95	0.286223986560141
100	0.27888538623929
105	0.272083832067735
110	0.265756857035164
115	0.259851715778905
120	0.254323521873523
125	0.249133803578933
130	0.244249371294224
135	0.239641420204689
140	0.23528481249374
145	0.231157498141327
150	0.227240043755883
155	0.223515246404534
160	0.219967814894065
165	0.216584105006719
170	0.213351898217844
175	0.210260215700192
180	0.207299161151755
185	0.204459787312606
190	0.201733982063454
195	0.199114370799048
200	0.196594232397627
205	0.194167426603825
210	0.191828331037026
215	0.18957178635272
220	0.187393048338406
225	0.185287745930922
230	0.183251844309186
235	0.181281612352747
240	0.179373593868652
245	0.177524582081532
250	0.175731596958346
255	0.17399186500289
260	0.172302801208318
265	0.170661992900473
270	0.169067185242269
275	0.167516268201019
280	0.166007264807342
285	0.164538320557062
290	0.163107693826874
295	0.161713747191134
300	0.160354939541328
305	0.159029818921967
310	0.157737016007192
315	0.156475238151451
320	0.155243263955487
325	0.154039938295687
330	0.152864167770832
335	0.151714916525428
340	0.150591202413366
345	0.149492093469613
350	0.148416704661113
355	0.147364194891181
360	0.146333764234316
365	0.145324651380791
370	0.144336131272465
375	0.143367512913132
380	0.142418137338377
385	0.141487375731397
390	0.140574627672525
395	0.139679319511412
400	0.13880090285181
405	0.137938853139895
410	0.137092668347836
415	0.136261867745141
420	0.135445990750926
425	0.134644595860882
430	0.133857259643277
435	0.133083575798783
440	0.132323154279414
445	0.1315756204622
450	0.130840614373655
455	0.13011778996137
460	0.129406814409388
465	0.128707367494288
470	0.128019140979147
475	0.127341838042766
480	0.126675172741778
485	0.126018869503407
490	0.125372662646833
495	0.124736295931298
500	0.124109522129176
505	0.123492102622415
510	0.122883807020842
515	0.122284412800951
520	0.121693704963887
525	0.121111475711424
530	0.120537524138842
535	0.119971655943662
540	0.119413683149278
545	0.118863423842608
550	0.118320701924909
555	0.117785346875009
560	0.117257193524204
565	0.116736081842171
570	0.116221856733247
575	0.115714367842499
580	0.115213469371025
585	0.114719019899977
590	0.114230882222817
595	0.113748923185363
600	0.113273013533197
605	0.112803027766031
610	0.112338843998671
615	0.111880343828225
620	0.111427412207218
625	0.110979937322317
630	0.110537810478371
635	0.110100925987488
640	0.109669181062904
645	0.109242475717386
650	0.108820712665957
655	0.108403797232719
660	0.107991637261567
665	0.10758414303062
670	0.107181227170164
675	0.106782804583966
680	0.106388792373766
685	0.105999109766822
690	0.10561367804635
695	0.105232420484726
700	0.104855262279321
705	0.104482130490846
710	0.104112953984103
715	0.103747663371007
720	0.103386190955804
725	0.103028470682372
730	0.102674438083511
735	0.102324030232136
740	0.101977185694294
745	0.101633844483919
750	0.101293948019252
755	0.100957439080851
760	0.10062426177113
765	0.100294361475351
770	0.0999676848240225
775	0.0996441796566257
780	0.0993237949866335
785	0.0990064809677525
790	0.0986921888613464
795	0.0983808710049896
800	0.098072480782104
805	0.0977669725926382
810	0.097464301824743
815	0.0971644248274075
820	0.0968672988840142
825	0.0965728821867793
830	0.0962811338120417
835	0.0959920136963687
840	0.095705482613446
845	0.0954215021517218
850	0.0951400346927773
855	0.0948610433903934
860	0.0945844921502902
865	0.0943103456105112
870	0.0940385691224303
875	0.0937691287323569
880	0.0935019911637173
885	0.0932371237997921
890	0.0929744946669876
895	0.0927140724186232
900	0.0924558263192152
905	0.0921997262292398
910	0.0919457425903578
915	0.0916938464110843
920	0.0914440092528876
925	0.0911962032167039
930	0.09095040092985
935	0.0907065755333231
940	0.0904647006694729
945	0.0902247504700332
950	0.089986699544501
955	0.0897505229688512
960	0.089516196274575
965	0.089283695438032
970	0.0890529968701047
975	0.0888240774061455
980	0.0885969142962066
985	0.0883714851955431
990	0.0881477681553814
995	0.087925741613942
1000	0.087705384387711
1005	0.0874866756629505
1010	0.087269594987441
1015	0.0870541222624472
1020	0.0868402377349026
1025	0.0866279219898025
1030	0.0864171559428017
1035	0.0862079208330092
1040	0.0860001982159732
1045	0.0857939699568523
1050	0.085589218223765
1055	0.0853859254813132
1060	0.0851840744842744
1065	0.084983648271457
1070	0.0847846301597137
1075	0.0845870037381087
1080	0.0843907528622334
1085	0.084195861648667
1090	0.0840023144695767
1095	0.0838100959474542
1100	0.0836191909499837
1105	0.0834295845850381
1110	0.0832412621957997
1115	0.0830542093560009
1120	0.0828684118652827
1125	0.0826838557446663
1130	0.0825005272321357
1135	0.0823184127783271
1140	0.0821374990423227
1145	0.081957772887546
1150	0.0817792213777547
1155	0.0816018317731303
1160	0.0814255915264596
1165	0.0812504882794071
