n1	pval	d1
5	0.01	2.12213327981752
5	0.02	1.83188180101516
5	0.03	1.66577047393
5	0.04	1.54887410456574
5	0.05	1.45844507220241
10	0.01	1.28727771324603
10	0.02	1.14145887149466
10	0.03	1.0537157327101
10	0.04	0.989998190515214
10	0.05	0.939560899481302
20	0.01	0.857469802878948
20	0.02	0.767980516527374
20	0.03	0.712982245384789
20	0.04	0.672513374443464
20	0.05	0.640169643991407
40	0.01	0.590397975790603
40	0.02	0.531090955670363
40	0.03	0.494285870228533
40	0.04	0.467039349635126
40	0.05	0.445166937866914
60	0.01	0.47800421547151
60	0.02	0.430576587976811
60	0.03	0.401051527927854
60	0.04	0.37915177015451
60	0.05	0.361546593642764
80	0.01	0.412250910905522
80	0.02	0.371596155447614
80	0.03	0.346248344250247
80	0.04	0.327428939254487
80	0.05	0.312289476915654
100	0.01	0.367821006273781
100	0.02	0.331679515872989
100	0.03	0.309124968042415
100	0.04	0.292369835106494
100	0.05	0.27888538623929
120	0.01	0.335225291332631
120	0.02	0.302366098826332
120	0.03	0.281847403877958
120	0.04	0.266598862933188
120	0.05	0.254323521873523
140	0.01	0.30999803111405
140	0.02	0.279663908764035
140	0.03	0.260713750914008
140	0.04	0.246627068035604
140	0.05	0.23528481249374
160	0.01	0.289724855817582
160	0.02	0.26141102566202
160	0.03	0.24371722555958
160	0.04	0.230561801977958
160	0.05	0.219967814894065
180	0.01	0.272971167588331
180	0.02	0.246321302636446
180	0.03	0.229663141408945
180	0.04	0.217275775603872
180	0.05	0.207299161151755
200	0.01	0.258823840493437
200	0.02	0.23357536227066
200	0.03	0.217789991680346
200	0.04	0.206050179326866
200	0.05	0.196594232397627
