n1	n2	d.sig	d.close
20	110	0.265771328567103	0.267980823910007
20	111	0.264559559192132	0.268997076035554
20	112	0.263364293628472	0.269999685928376
20	113	0.262185155073255	0.270988956846948
20	114	0.26102177803212	0.271965182719741
20	115	0.259873807923743	0.272928648507014
20	116	0.258740900703821	0.27387963054558
20	117	0.257622722507229	0.274818396877506
20	118	0.25651894930712	0.275745207563634
20	119	0.255429266589853	0.276660314982755
20	120	0.25435336904465	0.277563964117243
20	121	0.25322992511077	0.278456392825853
20	122	0.252180717318729	0.279337832104394
20	123	0.251144431080965	0.280208506334911
20	124	0.250120795056116	0.281068633523993
20	125	0.249109545742392	0.281918425530761
20	126	0.248110427236836	0.282758088285085
20	127	0.247123191003544	0.283587821996527
20	128	0.246147595650219	0.284407821354475
20	129	0.245183406712495	0.285218275719927
20	130	0.244230396445467	0.286019369309331
20	131	0.243288343621943	0.286811281370873
20	132	0.242357033336954	0.287594186353599
20	133	0.241436256818074	0.288368254069698
20	134	0.240525811241188	0.289133649850294
20	135	0.239625499551306	0.289890534695043
20	136	0.238735130288123	0.290639065415839
20	137	0.237854517416006	0.291379394774892
20	138	0.236983480158129	0.29211167161745
20	139	0.23612184283452	0.292836040999409
20	140	0.235269434703789	0.293552644310028
20	141	0.234426089808333	0.294261619389999
20	142	0.233591646822852	0.294963100645043
20	143	0.232765948906013	0.295657219155263
20	144	0.231948843555133	0.296344102780407
20	145	0.231140182463768	0.297023876261249
20	146	0.230338666646513	0.297704503004722
20	147	0.229548238415988	0.298370195961243
20	148	0.22876589683644	0.299029131648379
20	149	0.227991501641845	0.299681423914361
20	150	0.227224916044649	0.300327183929451
20	151	0.226466006640365	0.300966520265602
20	152	0.225714643314364	0.301599538973317
20	153	0.224970699150775	0.30222634365582
20	154	0.224234050343387	0.302847035540644
20	155	0.2235045761085	0.303461713548759
20	156	0.222782158599644	0.30407047436132
20	157	0.222066682824108	0.304673412484142
20	158	0.221358036561232	0.305270620309986
20	159	0.220656110282429	0.305862188178747
20	160	0.219960797072876	0.306448204435628
20	161	0.219271992554875	0.30702875548736
20	162	0.218589594812834	0.307603925856573
20	163	0.21791350431987	0.308173798234361
20	164	0.217243623866002	0.308738453531122
20	165	0.216579858487947	0.309297970925734
20	166	0.215922115400481	0.309852427913135
20	167	0.215270303929399	0.310401900350353
20	168	0.214624335446041	0.310946462501051
20	169	0.213984123303409	0.311486187078645
20	170	0.213349582773863	0.312021145288035
20	171	0.212720630988416	0.312551406866004
20	172	0.212097186877613	0.313077040120336
20	173	0.211479171114025	0.31359811196769
20	174	0.210866506056344	0.314114687970281
20	175	0.210259115695097	0.314626832371401
20	176	0.209656925599976	0.315134608129834
20	177	0.209059862868802	0.315638076953183
20	178	0.208467856078108	0.316137299330165
20	179	0.207880835235361	0.316632334561901
20	180	0.207298731732813	0.317123240792227
20	181	0.206721478302979	0.317610075037082
20	182	0.206149008975752	0.318092893212975
20	183	0.205581259037126	0.318571750164584
20	184	0.205018164989545	0.319046699691508
20	185	0.204459664513844	0.319517794574196
20	186	0.203905696432787	0.319985086599093
20	187	0.203356200676176	0.320448626583013
20	188	0.202806541056627	0.320908464396776
20	189	0.202255551597878	0.32136464898813
20	190	0.201709911244422	0.32182007966366
20	191	0.201230593981647	0.322274210396674
20	192	0.200695467896066	0.322724569603128
20	193	0.200165506115687	0.323171205142824
20	194	0.199640646189855	0.323614164321229
20	195	0.199120825252267	0.324053493899829
20	196	0.198605980029597	0.324489240105884
20	197	0.198096046851935	0.324860413485358
20	198	0.197590961664984	0.32528912953654
20	199	0.197120244226025	0.325714397780639
20	200	0.196594686760246	0.326136262394354
20	201	0.196102960971296	0.32655476706071
20	202	0.195615394553692	0.32696995497566
20	203	0.195131925093482	0.327381868854237
20	204	0.194652490494836	0.327790550936267
20	205	0.194177028996757	0.328196042991658
20	206	0.193705479190447	0.328598386325294
20	207	0.193237780037306	0.328997621781537
20	208	0.192773870887473	0.329393789748366
20	209	0.19231369149889	0.329786930161164
20	210	0.191857182056815	0.330177082506169
20	211	0.191343248037498	0.330564285823604
20	212	0.190893900853449	0.330948578710512
20	213	0.190448046936518	0.331329999323292
20	214	0.190005628383725	0.331690974228102
20	215	0.189566587822033	0.332098237454066
20	216	0.189130831572903	0.332456654626382
20	217	0.188692215532099	0.33282730761189
20	218	0.188256649164531	0.333195407291022
20	219	0.18782409721582	0.333560982791681
20	220	0.187394524914024	0.333924062779303
20	221	0.186967897962228	0.334284675466409
20	222	0.186544182531714	0.334642848621921
20	223	0.186123345255683	0.334998609580229
20	224	0.185705353223482	0.335351985250039
20	225	0.185290173975308	0.335703002122979
20	226	0.184877775497358	0.336051686282001
20	227	0.184468126217385	0.336398063409558
20	228	0.184061195000615	0.33674215879558
20	229	0.183656951146007	0.337083997345247
20	230	0.18325536438281	0.337423603586565
20	231	0.182856404867377	0.33776100167775
20	232	0.18246004318021	0.338096215414436
20	233	0.182066250323195	0.338430497003107
20	234	0.181674997716996	0.33876334046924
20	235	0.181286257198567	0.339094045845039
20	236	0.180900001018761	0.339422634139224
20	237	0.180516201839986	0.339749126097738
20	238	0.1801348327339	0.340073542210988
20	239	0.179755867179092	0.340395902720795
20	240	0.179379279058729	0.340716227627062
20	241	0.179005042658151	0.341034536694153
20	242	0.178633132662368	0.341350849456993
20	243	0.17826352415345	0.341665185226897
20	244	0.17789619260778	0.341977563097128
20	245	0.177531113893152	0.342288001948181
20	246	0.177168264265687	0.342596520452821
20	247	0.176807620366562	0.34290313708085
20	248	0.17644215003024	0.343207870103634
20	249	0.176085754548702	0.343510737598383
20	250	0.17573150974936	0.343811757452186
20	251	0.175379394103612	0.34404991220957
20	252	0.175029386382664	0.344347289701079
20	253	0.174681465652207	0.34464287210913
20	254	0.174335611267206	0.344936676596158
20	255	0.173991802866802	0.345228720151299
20	256	0.17364846989531	0.345519019593124
20	257	0.173306615981569	0.345807591572181
20	258	0.172966812240372	0.346094452573344
20	259	0.172651935207279	0.346379618917987
20	260	0.172316969685477	0.346663106765981
20	261	0.17198399045166	0.34694493211753
20	262	0.171652977712701	0.347225110814847
20	263	0.171323911825801	0.347503658543679
20	264	0.170996773304457	0.347802801544559
20	265	0.170671542824484	0.348076796895555
20	266	0.17034820123003	0.348349265473738
20	267	0.170026729539533	0.348620221138948
20	268	0.169707108951559	0.348889677559474
